Gene = ND-B14.5B
index = 1299
Annotated 5SS: [321 544]
Annotated 3SS: [399 598]
SMsplice 5SS: [321 544]
SMsplice 3SS: [399 598]
top_k =  1000
Partition function (log Z): 2.784677599741433

Sorted 5' Splice Sites (High to Low Probability):
Position 544: 0.9982225162812347
Position 321: 0.9582851473250755
Position 303: 0.03920610717429178
Position 10: 0.0012548715643272486
Position 126: 0.0011841618909816248
Position 710: 0.0005770656477408637
Position 349: 0.00036147827686067234
Position 8: 0.0003259283279232905
Position 537: 0.00023308041080785506
Position 344: 0.00020652330463598307
Position 686: 0.00019149094007989468
Position 817: 0.00015622483200733575
Position 823: 0.00014520024401229787
Position 689: 6.394140492303429e-05
Position 548: 6.095165270147429e-05
Position 759: 4.404509583576709e-05
Position 258: 2.730842950276715e-05
Position 629: 2.282778641104314e-05
Position 311: 2.27418730999899e-05
Position 14: 1.824852447668347e-05
Position 640: 1.4690350125587236e-05
Position 146: 1.164239854659835e-05
Position 269: 1.0044151700420484e-05
Position 649: 8.892864285638282e-06
Position 634: 8.09253717599346e-06
Position 325: 5.178561910114207e-06
Position 70: 4.9463933896915095e-06
Position 45: 3.729814850485575e-06
Position 130: 2.155221644739467e-06
Position 109: 1.7196567017931949e-06
Position 75: 1.0744439165946244e-06
Position 100: 9.479180231242037e-07
Position 619: 5.705128774459898e-07
Position 668: 4.215239915598722e-07
Position 313: 4.020043017249111e-07
Position 665: 3.8320439964430547e-07
Position 473: 3.7387656659724573e-07
Position 495: 1.4657972458778203e-07
Position 173: 1.0829802497057231e-07
Position 168: 8.023242708834576e-08
Position 58: 3.4553621545084225e-08
Position 391: 8.110038259077572e-09
Position 358: 7.853947316098966e-09
Position 435: 5.328950728104837e-09
Position 582: 2.238253023951214e-09
Position 260: 2.1013913892187e-09
Position 364: 6.610181225550231e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 598: 0.9978010365562482
Position 399: 0.9968049606008033
Position 70: 0.0012760667611366548
Position 407: 0.0010810152019145587
Position 205: 0.000972436744509669
Position 774: 0.0006964241765895386
Position 802: 0.0006396948598183102
Position 873: 0.0004916377191183117
Position 93: 0.00025384340059726165
Position 410: 0.0001654498432185043
Position 444: 0.00016063758595727715
Position 606: 0.00010161877800450086
Position 464: 6.713010078094112e-05
Position 168: 3.77249533303595e-05
Position 461: 3.0448671847058873e-05
Position 75: 3.0258994051736528e-05
Position 847: 2.3804834390503625e-05
Position 130: 2.3353766907882588e-05
Position 736: 9.458615769075972e-06
Position 619: 5.538494527206972e-06
Position 487: 4.653588943168e-06
Position 701: 4.182076658628095e-06
Position 542: 1.499269992147019e-06
Position 109: 1.3257569934699257e-06
Position 689: 7.817107930147294e-07
Position 640: 1.7802281955965924e-07
Position 426: 9.851854907444556e-08
Position 649: 7.210507652609778e-08
Position 307: 5.93746443055022e-08
Position 447: 5.703032208003921e-08
Position 627: 4.168928785719485e-08
Position 686: 1.1806760279669245e-08
Position 325: 9.917077529320982e-09
Position 629: 3.318540208501495e-09
Position 548: 2.9939977604261913e-09
Position 473: 1.873612291294635e-09
Position 466: 6.847738944214778e-10
Position 565: 6.383875815704066e-10
Position 98: 5.020286900848432e-10
Position 217: 1.7772472515996304e-10
Position 100: 1.872216567795646e-12
