Gene = PARK7
index = 998
Annotated 5SS: [  131  1213  3763  7742  9301 16076]
Annotated 3SS: [ 1099  3660  7681  9230 15988 23230]
SMsplice 5SS: [  131  1213  3763  9301 16076]
SMsplice 3SS: [ 1099  3660  9230 15988 23230]
top_k =  1000
Partition function (log Z): 2.4996956073708625

Sorted 5' Splice Sites (High to Low Probability):
Position 1213: 0.9993334804654672
Position 3763: 0.978059843307954
Position 16076: 0.8038599722873798
Position 9301: 0.7364961463334354
Position 131: 0.6452811804238769
Position 21342: 0.48915238368014724
Position 7742: 0.4830907095850676
Position 419: 0.3495069276017967
Position 3556: 0.29666623415942606
Position 9338: 0.24231783712352176
Position 3564: 0.2304687282218096
Position 18694: 0.20866400188603243
Position 3964: 0.14183393101977762
Position 3984: 0.12155184690517158
Position 7486: 0.10411023361751612
Position 73: 0.10330043764666759
Position 7713: 0.09872244718556429
Position 19323: 0.09775418561011673
Position 21575: 0.09256996893588415
Position 18741: 0.07249050165322397
Position 2687: 0.05873651677536684
Position 15754: 0.039843323502484894
Position 3521: 0.03807796808408101
Position 21962: 0.03401036178585275
Position 4016: 0.03185847654566077
Position 8614: 0.028869626706903302
Position 7090: 0.024765960671071535
Position 18808: 0.02370012014047659
Position 2296: 0.022697623970614794
Position 999: 0.020456546759905332
Position 8806: 0.019498428587947206
Position 535: 0.017841250232217432
Position 14604: 0.01693214496551468
Position 6996: 0.016929237221344293
Position 5942: 0.016530503023932525
Position 4741: 0.014780035611363112
Position 34: 0.01419477307448881
Position 20139: 0.013558831319072179
Position 4479: 0.013119223860845517
Position 9342: 0.011431540199072039
Position 6243: 0.011335730301403866
Position 2606: 0.010590811237360645
Position 17508: 0.010192227744554354
Position 4020: 0.00895574672115727
Position 17416: 0.00874457559249371
Position 19806: 0.008535140502727056
Position 10523: 0.008006394484526523
Position 2467: 0.0076715133451258355
Position 3897: 0.007233108394278678
Position 46: 0.005794462655666209
Position 17831: 0.005148132470047074
Position 8782: 0.004732330992089981
Position 1923: 0.004396168192051256
Position 490: 0.004255470063271706
Position 21625: 0.003960656978398681
Position 2887: 0.003855144452632739
Position 17449: 0.0035314344903172833
Position 846: 0.003413790750951523
Position 2430: 0.00323210576143916
Position 251: 0.0031600730509297524
Position 9014: 0.0028610609351270066
Position 6432: 0.0025249084060135476
Position 3968: 0.002506265760594355
Position 8560: 0.0024755953544489807
Position 16477: 0.0023984646067768682
Position 19111: 0.0019341769477303455
Position 216: 0.001890285191878379
Position 9347: 0.0018753363102841517
Position 19075: 0.0018236771756258757
Position 13883: 0.0015973265900969392
Position 17437: 0.0014362916601550289
Position 7506: 0.001282209940514586
Position 7606: 0.0012343252796879146
Position 3071: 0.0012047833940319747
Position 8195: 0.0011977676415656302
Position 1573: 0.0011803460584996145
Position 7580: 0.0011121988352551914
Position 8252: 0.0010704898806924907
Position 3292: 0.0010633274376308712
Position 517: 0.0010541391502731834
Position 342: 0.000996480408640337
Position 158: 0.0009478979708555733
Position 4364: 0.0009329235925085224
Position 125: 0.0008945620227615245
Position 21045: 0.000850336420938527
Position 188: 0.0008055188482536468
Position 198: 0.0007245509058463034
Position 23473: 0.0006998292834840962
Position 66: 0.0006668780796524666
Position 80: 0.0006363104737446223
Position 2138: 0.0006335333069498706
Position 1858: 0.0005992846402343031
Position 3995: 0.0005754080309775261
Position 439: 0.0005457064803265349
Position 4242: 0.0005157221369071851
Position 3035: 0.0005154070680532868
Position 1682: 0.000502076893610485
Position 2907: 0.000492345736154667
Position 2684: 0.00047710384057072976
Position 934: 0.0004705838696854047
Position 160: 0.0004302813002664368
Position 6806: 0.00036503788216889227
Position 8247: 0.0003488032387372337
Position 963: 0.00028033064155752593
Position 1816: 0.0002605434319368275
Position 4503: 0.0002494978221580018
Position 5328: 0.0002330243752187312
Position 5677: 0.00020560641270899079
Position 574: 0.00018751441055916474
Position 3767: 0.00018492236423759575
Position 412: 0.00016564100881197294
Position 2925: 0.0001611243946929248
Position 5794: 0.00015315813607306764
Position 4344: 0.0001474990146584451
Position 5219: 0.00013189809694427087
Position 104: 0.00012386348317497528
Position 664: 0.00011239834465353517
Position 986: 9.833033158218984e-05
Position 709: 8.455749598492088e-05
Position 323: 7.64185153495461e-05
Position 2733: 7.301498648757918e-05
Position 182: 6.791887299974737e-05
Position 748: 6.123404397039165e-05
Position 2150: 6.118194323496433e-05
Position 525: 6.096506114493984e-05
Position 326: 6.0254756086841474e-05
Position 206: 5.5684743530579124e-05
Position 970: 5.2344765481012336e-05
Position 789: 5.1707979290718136e-05
Position 826: 5.125454992998187e-05
Position 2671: 4.809688660079797e-05
Position 6512: 4.655006290730837e-05
Position 2870: 3.7614281225379256e-05
Position 2071: 3.6834241984141045e-05
Position 1043: 3.28005047294128e-05
Position 50: 2.7218063143160618e-05
Position 3707: 2.1419436745187307e-05
Position 2691: 1.9812485180849292e-05
Position 5: 1.9395579894142894e-05
Position 783: 1.6578689804649327e-05
Position 2891: 1.5356076222969854e-05
Position 617: 1.5009016780219117e-05
Position 1481: 1.3765117706517465e-05
Position 3721: 1.358554573280677e-05
Position 3313: 1.3333391861065727e-05
Position 2877: 1.264586046181173e-05
Position 281: 1.2306133710015404e-05
Position 218: 1.1919462101157743e-05
Position 520: 1.1835483995901753e-05
Position 3783: 1.1218500881750598e-05
Position 731: 8.52038748483647e-06
Position 1948: 7.3012877860217495e-06
Position 3988: 7.212287637813559e-06
Position 3287: 6.977850135807254e-06
Position 2757: 6.285349235174393e-06
Position 763: 5.674977975083777e-06
Position 714: 5.615293481776751e-06
Position 572: 4.735883196115124e-06
Position 761: 4.419918797587312e-06
Position 4024: 4.130684008681926e-06
Position 559: 4.057582586797121e-06
Position 3667: 4.024789984264981e-06
Position 3700: 3.858968169004139e-06
Position 68: 3.5287637304386935e-06
Position 622: 3.511640593564261e-06
Position 3: 2.722045608626227e-06
Position 405: 2.629741884519516e-06
Position 77: 1.5752926942244713e-06
Position 3713: 1.243988957701533e-06
Position 3957: 1.0928805555275565e-06
Position 592: 9.037530901906983e-07
Position 4059: 8.391246705311696e-07
Position 291: 7.674796509015104e-07
Position 4002: 7.568409631546139e-07
Position 2280: 6.687659802409329e-07
Position 300: 6.156794189930319e-07
Position 3921: 5.573814124711789e-07
Position 1667: 3.6118154424902647e-07
Position 1780: 1.7368380295767682e-07
Position 1893: 1.6273639510047043e-07
Position 200: 1.4450761470610095e-07
Position 3833: 1.3756960462368682e-07
Position 1189: 1.1488917514565496e-07
Position 1180: 1.0157056217716245e-07
Position 38: 5.709685865430246e-08
Position 1637: 3.476756425856115e-08
Position 3972: 2.780179347996903e-08
Position 1452: 1.674156396807169e-08
Position 1195: 1.2975946518846294e-08
Position 1217: 1.134478773186397e-08
Position 1582: 7.475339469789087e-09
Position 167: 4.406808220989053e-09
Position 1593: 3.904323882424955e-09
Position 1665: 2.2337665880000396e-09
Position 1860: 8.922920165577704e-10
Position 1293: 8.25213955516461e-10
Position 1383: 4.51263830983671e-10
Position 1253: 2.554926447240447e-10
Position 469: 8.416285619513444e-12
Position 390: 6.089299478388048e-12
Position 480: 2.957268512475577e-12
Position 483: 5.329499439823695e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 9230: 0.9920662478688526
Position 1099: 0.9900464171829648
Position 23230: 0.9728433767510555
Position 3660: 0.908251759725521
Position 15988: 0.7954353199105477
Position 21222: 0.4946450712818757
Position 7681: 0.39245980847458645
Position 3408: 0.32142787014806434
Position 3887: 0.2858931971702386
Position 7421: 0.23481032580178873
Position 3433: 0.15997261318317973
Position 281: 0.14121617589957752
Position 18654: 0.12275073464687154
Position 19229: 0.09016995391832122
Position 21449: 0.08589431225498004
Position 18563: 0.07846007593005455
Position 3465: 0.0759419287543913
Position 18582: 0.06100410885161501
Position 3628: 0.05767339862840748
Position 18600: 0.0393262599750523
Position 7565: 0.03632541439389981
Position 21888: 0.03481733795555
Position 2637: 0.034051610056949955
Position 17343: 0.025577349619375044
Position 5856: 0.024331029451435136
Position 15667: 0.02231874202704712
Position 3930: 0.020919379763451398
Position 2530: 0.018484725004587033
Position 6897: 0.01777084801218611
Position 20020: 0.016849076206494784
Position 21490: 0.016366330042504873
Position 905: 0.01615964856701076
Position 8641: 0.0160346171282816
Position 8503: 0.015926364550002764
Position 232: 0.014992307608912557
Position 2178: 0.013493633804949915
Position 7601: 0.012041665193231563
Position 15717: 0.010084706088591678
Position 19061: 0.009921890787525237
Position 8536: 0.00934825120692816
Position 2567: 0.009268116134030321
Position 15609: 0.009017558530167087
Position 4395: 0.00899252394782194
Position 3679: 0.008896773384142952
Position 19701: 0.008804533691760975
Position 8644: 0.00819614245175559
Position 6877: 0.007857889633564444
Position 6873: 0.0075330514118535224
Position 2174: 0.007213468461010606
Position 14416: 0.007102542766741168
Position 3666: 0.006788447669136324
Position 6947: 0.006687351190820875
Position 16018: 0.006547807608839282
Position 17651: 0.006478657401634896
Position 4453: 0.006153317674936255
Position 14484: 0.0061369892821605924
Position 10399: 0.0057145834378158275
Position 8386: 0.005708069361793208
Position 321: 0.005553767456561983
Position 4191: 0.005314559748905692
Position 2466: 0.004917778559273588
Position 7709: 0.0043453680439152495
Position 1741: 0.00426682801058148
Position 18722: 0.004115805942454638
Position 7635: 0.00405521216044979
Position 23192: 0.003973406236693422
Position 2198: 0.003918411145780028
Position 7506: 0.0038286197161239437
Position 14545: 0.0036960289876345636
Position 4364: 0.0034684394827290323
Position 2112: 0.0031634162414488224
Position 3600: 0.0028668045420468867
Position 8890: 0.0028610609351270066
Position 4678: 0.002839073908487527
Position 16358: 0.0028254026522872805
Position 2338: 0.0028089549256753096
Position 2571: 0.002759866122058445
Position 7942: 0.0026198517672276003
Position 2764: 0.002489475458182181
Position 3413: 0.0023956530507165817
Position 995: 0.002390516337490139
Position 6727: 0.002211530318397891
Position 10402: 0.002207118549310593
Position 6007: 0.0020259021614673677
Position 18841: 0.001996107851436806
Position 3367: 0.0019654128164787953
Position 709: 0.0019017573123353462
Position 2335: 0.001874693747372066
Position 7454: 0.0016899835802192211
Position 4435: 0.0016836979341637486
Position 3229: 0.0016725219744574507
Position 3604: 0.001310313389346367
Position 13788: 0.001258098811816562
Position 2890: 0.0012390284746702394
Position 2427: 0.0010940945742455676
Position 880: 0.0010342458659370556
Position 6325: 0.0010276234615079682
Position 20935: 0.0010069942796508088
Position 3550: 0.0009655055454739548
Position 1409: 0.0009083546932562694
Position 1136: 0.0008868609133006955
Position 2857: 0.0008716925093987889
Position 6349: 0.0008511979805487477
Position 970: 0.0007826938410777555
Position 15874: 0.0007778653765243445
Position 1765: 0.0007254827941782286
Position 23594: 0.0006998292834840962
Position 6376: 0.0006926370268641403
Position 5861: 0.0006684195015466104
Position 4519: 0.0006363376847643999
Position 1159: 0.0006207444504910803
Position 731: 0.0005753333858589837
Position 773: 0.0005010791167735298
Position 2537: 0.0004985382877305949
Position 2362: 0.0004857381387167142
Position 4516: 0.0004471230951196117
Position 5965: 0.00041875891997526364
Position 2017: 0.000411488969418162
Position 1585: 0.00041080589201602705
Position 2413: 0.00037888899742005065
Position 13808: 0.00037340676902908147
Position 1432: 0.0003731249076254271
Position 5151: 0.00036500339249795187
Position 8280: 0.00036253694262814855
Position 1051: 0.000344590939656815
Position 20821: 0.00031213261741349973
Position 3311: 0.0002855952309501484
Position 431: 0.00028031376807558927
Position 2037: 0.0002653846496014085
Position 5911: 0.0002432998182010964
Position 3099: 0.000242918314994137
Position 3172: 0.00024053738749376456
Position 3199: 0.00022341949205147515
Position 21513: 0.0002186496785635475
Position 3378: 0.000212006436249465
Position 939: 0.0002047703773099204
Position 1845: 0.00020209241245505228
Position 16117: 0.00019361064104699092
Position 3339: 0.0001860109303402057
Position 5945: 0.00017846857986491128
Position 5553: 0.00017322923674465858
Position 340: 0.0001717522809273972
Position 2032: 0.00016970150384852867
Position 446: 0.00016813182349680782
Position 5667: 0.0001536248519667615
Position 22119: 0.00014562168037234025
Position 3483: 0.00013120026662662742
Position 3343: 0.00013063247056488525
Position 111: 0.00012900903268156215
Position 3486: 0.00012835578303851885
Position 2924: 0.00012188831133732389
Position 1445: 0.00010105566897273444
Position 21574: 9.967852659242893e-05
Position 21407: 9.955300210965422e-05
Position 19374: 9.743402133535864e-05
Position 2255: 9.732467135160595e-05
Position 14752: 9.712929574625493e-05
Position 4656: 9.451127519654869e-05
Position 10494: 9.364570504410825e-05
Position 2224: 8.948883272235908e-05
Position 1138: 8.685642447837531e-05
Position 20040: 7.594241442413121e-05
Position 17379: 7.253194519287667e-05
Position 2470: 7.137438719884011e-05
Position 9245: 6.889387672590107e-05
Position 617: 6.69463180703725e-05
Position 3058: 6.212887813312417e-05
Position 15082: 6.0264821498734406e-05
Position 2943: 5.838385404161769e-05
Position 9118: 5.7211590637909815e-05
Position 17675: 5.194760086425056e-05
Position 490: 5.182245738318666e-05
Position 826: 5.0022379111482085e-05
Position 1704: 4.9421964892351924e-05
Position 3555: 4.756313431676787e-05
Position 1192: 4.462438876263439e-05
Position 9898: 4.433267341311667e-05
Position 1611: 4.346680919729181e-05
Position 1989: 4.326434838905813e-05
Position 2180: 4.2686732446744977e-05
Position 17295: 4.180498373279158e-05
Position 1975: 3.7461345228965714e-05
Position 4059: 3.7240349346088125e-05
Position 714: 3.3641727857165285e-05
Position 20333: 3.312214796018936e-05
Position 18154: 3.2938367190828865e-05
Position 5422: 3.2408474933445794e-05
Position 1965: 3.0342532754500307e-05
Position 20559: 2.6927430340140972e-05
Position 1893: 2.669302495013388e-05
Position 4324: 2.6489936428132028e-05
Position 347: 2.598542387861058e-05
Position 2117: 2.560708142072609e-05
Position 3853: 2.3963089300425396e-05
Position 2258: 2.3138704400479495e-05
Position 17352: 2.2494180230919814e-05
Position 4483: 2.241484158034142e-05
Position 2271: 2.2310119932614267e-05
Position 4651: 2.2272954315958864e-05
Position 9459: 2.204987329805334e-05
Position 2614: 2.1913074911328854e-05
Position 19676: 2.041830395458087e-05
Position 13844: 2.0209314876816843e-05
Position 18023: 1.973368279478682e-05
Position 16354: 1.961429401525457e-05
Position 9428: 1.915315367803054e-05
Position 19797: 1.8605973821470767e-05
Position 16774: 1.7785464686223867e-05
Position 9965: 1.7483900245891158e-05
Position 3953: 1.564616490679443e-05
Position 1822: 1.5454940415406092e-05
Position 2643: 1.4887731821723406e-05
Position 1331: 1.4805595866514218e-05
Position 3105: 1.4663666841620002e-05
Position 664: 1.462776976821196e-05
Position 2580: 1.4153731997029026e-05
Position 15832: 1.3493811742202003e-05
Position 1898: 1.1870843234806938e-05
Position 1922: 1.1684792677985912e-05
Position 18245: 1.1010223475218765e-05
Position 3826: 1.043622872838378e-05
Position 1591: 1.005655430873955e-05
Position 907: 9.942374566164246e-06
Position 15794: 9.87138545669996e-06
Position 18223: 9.72280846954291e-06
Position 14943: 8.638223647115983e-06
Position 12131: 8.621484690993918e-06
Position 1519: 8.22204383423738e-06
Position 622: 7.775940224351832e-06
Position 17384: 7.713472738395122e-06
Position 1065: 7.264890345564093e-06
Position 837: 6.797974298568186e-06
Position 387: 6.424843261701059e-06
Position 16748: 5.784841018847017e-06
Position 3740: 5.173612290951172e-06
Position 744: 4.793945859366829e-06
Position 1654: 4.675307994864547e-06
Position 9747: 4.6170941729727935e-06
Position 776: 4.609406352736222e-06
Position 9987: 4.5496586001899535e-06
Position 16378: 4.5376920039087525e-06
Position 16516: 4.124412310255411e-06
Position 9577: 3.5375008561529595e-06
Position 3893: 3.318781121332775e-06
Position 13068: 3.0757150472428876e-06
Position 1165: 2.7899249231890883e-06
Position 9398: 2.7587347335209367e-06
Position 9872: 2.6897380795753908e-06
Position 3842: 2.1970053169381916e-06
Position 10831: 2.1367361580947325e-06
Position 2687: 2.0186216849045053e-06
Position 4241: 1.8925371593400474e-06
Position 10992: 1.8287411277733307e-06
Position 474: 1.686795668466882e-06
Position 4079: 1.446094882536741e-06
Position 9695: 1.3335387568628271e-06
Position 3694: 1.2606006758014605e-06
Position 14031: 1.2333222682455707e-06
Position 10021: 1.1838638824239729e-06
Position 11274: 1.1735884545370902e-06
Position 9380: 1.0172452110833114e-06
Position 7485: 9.210009296857846e-07
Position 559: 9.039317264882072e-07
Position 4617: 8.708957125745562e-07
Position 9816: 8.525371844583703e-07
Position 9610: 8.392727124420976e-07
Position 9594: 7.723224873218512e-07
Position 9662: 7.15373886119115e-07
Position 2295: 6.998793419554618e-07
Position 4165: 6.29397882026734e-07
Position 130: 5.877218335066186e-07
Position 9614: 5.554855614051437e-07
Position 1857: 5.117194925731107e-07
Position 9841: 3.9020443357994835e-07
Position 9584: 3.5739929666142214e-07
Position 1162: 2.779937379166309e-07
Position 999: 2.6635927336761015e-07
Position 1293: 2.60699255795559e-07
Position 2210: 2.425862295963984e-07
Position 1587: 2.3415228400053711e-07
Position 9946: 1.9248411029812997e-07
Position 9524: 1.892711745454645e-07
Position 2062: 1.8155989110838607e-07
Position 4416: 1.7254491545301786e-07
Position 4011: 1.6845858239106358e-07
Position 9626: 1.549924713921626e-07
Position 4277: 9.691051627153271e-08
Position 1531: 6.859717023587927e-08
Position 1777: 6.397226268076556e-08
Position 2283: 5.619211678196138e-08
Position 1948: 3.395059245309894e-08
Position 3837: 2.6058498956468602e-08
Position 2550: 1.8709810152087872e-08
Position 115: 1.59437428616314e-08
Position 1463: 1.2456509098739432e-08
Position 135: 3.3994567775728737e-09
Position 141: 2.873938622240907e-09
Position 117: 2.6205282349200265e-09
Position 677: 2.084722097393318e-09
Position 494: 2.070189509839581e-09
Position 1167: 1.7005570801666624e-09
Position 506: 1.264995781574868e-09
Position 514: 1.0836327356209928e-09
Position 2731: 1.0260017156263536e-09
Position 2772: 9.608358483861254e-10
Position 1665: 9.503211942340086e-10
Position 1333: 7.057591239705621e-10
Position 1452: 2.6936191693588676e-10
Position 1824: 2.5091948718969973e-10
Position 3828: 2.2236162073284614e-10
Position 579: 1.257106497242591e-10
Position 1671: 1.1439005786047901e-10
Position 1631: 7.901571154176874e-11
Position 535: 6.521215416987829e-11
Position 510: 4.4706775699671154e-11
Position 862: 2.861570115546169e-11
Position 508: 9.951189723996838e-12
Position 77: 4.558214876052313e-12
Position 572: 2.3244399214600564e-12
Position 520: 1.7795483679812882e-13
