Gene = Rwdd3
index = 941
Annotated 5SS: [  104 12928 15295 15509]
Annotated 3SS: [12439 15178 15392 15637]
SMsplice 5SS: [  104   421   584  4148  4423 11926 15295]
SMsplice 3SS: [  275   512  4038  4292 11837 15178 15392]
top_k =  100
Partition function (log Z): -5.876353391870251

Sorted 5' Splice Sites (High to Low Probability):
Position 11926: 0.9870292664068991
Position 104: 0.8975657033159484
Position 4148: 0.848227225233296
Position 4423: 0.8129726886170536
Position 15295: 0.8109449404510085
Position 421: 0.7125659810038006
Position 15509: 0.40465142631075063
Position 617: 0.342706655848287
Position 15529: 0.23510476716000345
Position 1852: 0.22764715040711023
Position 739: 0.2179774317272245
Position 994: 0.10287955513034423
Position 613: 0.09533216540141046
Position 606: 0.04710511300101515
Position 856: 0.03739203261134671
Position 279: 0.03549925407601027
Position 31: 0.011239659738427416
Position 11949: 0.009900259148871937
Position 178: 0.005137710575401655
Position 375: 0.003026116673750537
Position 743: 0.002355434910290705
Position 774: 0.0022538662281865614
Position 437: 0.0017074092415224936
Position 155: 0.0014364880705036228
Position 196: 0.001360382605162326
Position 401: 0.0013572202564307817
Position 90: 0.0009274560851048378
Position 345: 0.0007978632897597074
Position 415: 0.0007367833125079055
Position 81: 0.0005928660132277649
Position 379: 0.0005618917761458903
Position 98: 0.00034871630247367284
Position 201: 0.0003094892217810394
Position 143: 0.00016079405843032912
Position 372: 0.00014241119482620514
Position 162: 9.294609831172081e-05
Position 391: 6.743744550586223e-05
Position 157: 5.6843821446965426e-05
Position 382: 3.0411168124480233e-05
Position 352: 1.9417487390776593e-05
Position 286: 5.48580372405898e-06
Position 22: 1.0309614200485887e-07
Position 8: 1.7751197485187137e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11837: 0.9991675633586686
Position 15392: 0.9769807375106516
Position 4038: 0.8482272252332963
Position 512: 0.8480442184636152
Position 4292: 0.8131074436388466
Position 15178: 0.8109449404510085
Position 275: 0.5749972573828336
Position 15637: 0.517434186953599
Position 1786: 0.21261805942988463
Position 15937: 0.1071939562856063
Position 218: 0.059387358407423145
Position 320: 0.02278117485984488
Position 15617: 0.0151280502315486
Position 1789: 0.015053884121588552
Position 13730: 0.011886427135591677
Position 307: 0.00840593004664621
Position 175: 0.005177001302617793
Position 12439: 0.0045779767751163315
Position 12023: 0.0034843841344119175
Position 365: 0.0030068737202155263
Position 286: 0.0012442013944936438
Position 337: 0.0003159441621774864
Position 232: 0.00031314899735437836
Position 694: 0.0002576863231578922
Position 5282: 0.00015408628942082644
Position 5884: 0.00012870209562746863
Position 769: 8.900214589170357e-05
Position 375: 6.300949952793961e-05
Position 386: 2.6493242898643326e-05
Position 181: 1.5761246744311188e-05
Position 178: 1.4153235849680661e-05
