Gene = Jtb
index = 603
Annotated 5SS: [ 444  636  915 2406]
Annotated 3SS: [ 597  831 2325 3785]
SMsplice 5SS: [ 444  636  915 2406]
SMsplice 3SS: [ 597  831 2268 3785]
top_k =  100
Partition function (log Z): -3.284713269593704

Sorted 5' Splice Sites (High to Low Probability):
Position 915: 0.7584394588698038
Position 2406: 0.7066940493682954
Position 636: 0.6294189160111323
Position 444: 0.4492951295100349
Position 947: 0.23689182331296443
Position 150: 0.14885787737871595
Position 342: 0.13193897638120386
Position 718: 0.13098858083327766
Position 614: 0.032049764882637305
Position 162: 0.03056613405139301
Position 541: 0.01811991377702004
Position 2740: 0.01764317909549791
Position 328: 0.010285203978773793
Position 3627: 0.009332833655808021
Position 537: 0.007883325277593766
Position 2355: 0.007289498247325551
Position 3100: 0.004960569262765867
Position 71: 0.0036545846247820705
Position 1983: 0.002386707694301015
Position 640: 0.002028057601731819
Position 185: 0.001606857896094866
Position 452: 0.001388157786297557
Position 420: 0.0010223445254568457
Position 448: 0.0009438453239633499
Position 692: 0.0009177096236779966
Position 202: 0.0005056306832057211
Position 659: 0.00045039442683666195
Position 243: 0.00032165916428224
Position 65: 0.00021622386699774848
Position 383: 0.00014044360597036817
Position 530: 0.00011527338747085177
Position 683: 0.00011104014146545608
Position 78: 0.00010513031455449688
Position 674: 8.621452647558256e-05
Position 19: 5.401514113061171e-07
Position 8: 6.330746447462589e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 831: 0.9994010432452499
Position 3785: 0.8094252836059876
Position 597: 0.5448208052217435
Position 2268: 0.4292645765691127
Position 2325: 0.17703788125539502
Position 3544: 0.08515979265314652
Position 2353: 0.05616982929624283
Position 527: 0.03697192107333023
Position 3699: 0.03211698358646957
Position 2640: 0.024431920684832673
Position 2245: 0.020856806003414476
Position 4063: 0.020204055125467506
Position 2224: 0.015337223413245971
Position 2842: 0.01293311515469147
Position 3454: 0.010500929781087272
Position 3243: 0.010427291533615244
Position 2118: 0.010377013705534307
Position 263: 0.006815681236818529
Position 2050: 0.006614109249016403
Position 1757: 0.006023401020311679
Position 511: 0.005141015234694679
Position 2011: 0.004691721175246063
Position 504: 0.0026850161155103306
Position 3850: 0.0019512489221690554
Position 492: 0.0018866707807604763
Position 1597: 0.001878022912231346
Position 3832: 0.0017706356004948255
Position 998: 0.0016739639301112416
Position 341: 0.0016614876755310808
Position 3989: 0.0015986313983029905
Position 1623: 0.0014398874522848443
Position 2453: 0.0009334036678957436
Position 1238: 0.0008203918104540758
Position 448: 0.0007264551230015439
Position 561: 0.0006383153025875892
Position 323: 0.0005580879175558941
Position 601: 0.00046330154504410626
Position 692: 0.000449397603152912
Position 271: 0.000329402848371678
Position 469: 0.00025124393730104104
Position 280: 0.00011408438242952708
Position 250: 5.329860506526777e-05
Position 311: 2.9616334281813336e-05
Position 380: 1.0368042048354385e-05
Position 286: 5.532516442444047e-06
Position 215: 3.500963857939346e-06
Position 835: 1.0152815164496725e-06
Position 211: 2.837609047630069e-07
Position 327: 2.1602508773584497e-07
Position 864: 8.937361235089946e-08
Position 911: 7.964986473591899e-08
