Gene = BBS1
index = 41
Annotated 5SS: [ 301 1432]
Annotated 3SS: [ 363 1513]
SMsplice 5SS: [ 301  468 1432]
SMsplice 3SS: [ 363  537 1513]
Partition function (log Z): 3.8422333472262493

Sorted 5' Splice Sites (High to Low Probability):
Position 1432: 0.9954564424647928
Position 301: 0.9726548735798249
Position 468: 0.6783883920369843
Position 1651: 0.09574505457886678
Position 1993: 0.090145431551008
Position 630: 0.040266662437144385
Position 1633: 0.01681417459625659
Position 1729: 0.004704649013189073
Position 1436: 0.003958292275257761
Position 312: 0.002756543564753473
Position 1038: 0.0022509249073160817
Position 201: 0.0020065639161408627
Position 486: 0.000957183730221242
Position 639: 0.0008445323552427198
Position 386: 0.000692228197963861
Position 1840: 0.00045357247439747076
Position 489: 0.00031768187311860535
Position 1661: 0.0002763036164938633
Position 1831: 0.00020545673894990633
Position 765: 0.00013525933238149493
Position 499: 0.00013202821910838182
Position 1593: 0.00010561059727050042
Position 1690: 9.907705271725318e-05
Position 363: 9.209791453103701e-05
Position 852: 8.291575815363719e-05
Position 634: 6.948540414185898e-05
Position 265: 6.130462494198253e-05
Position 1252: 5.928016487389819e-05
Position 122: 5.4700368759472036e-05
Position 1199: 5.2848182465449765e-05
Position 659: 5.113074687556956e-05
Position 1059: 4.777679516868088e-05
Position 1903: 4.3213093699389584e-05
Position 211: 4.312015545084781e-05
Position 874: 3.5211767776219675e-05
Position 2109: 3.01584106585048e-05
Position 208: 2.799841422079935e-05
Position 1306: 2.6866060278772388e-05
Position 1046: 2.6602751209962816e-05
Position 425: 2.5475355499007797e-05
Position 1004: 2.3534664547781355e-05
Position 28: 2.235908026782226e-05
Position 1255: 2.0131160674486798e-05
Position 855: 1.9775974034045118e-05
Position 117: 1.6107741279331033e-05
Position 1239: 1.5040303839761455e-05
Position 1104: 1.4971962041707466e-05
Position 1279: 1.3176490665709872e-05
Position 876: 1.1386044074341288e-05
Position 1260: 1.0768544184912452e-05
Position 1185: 1.0404117222820556e-05
Position 698: 9.0474406861975e-06
Position 1263: 6.873821877975596e-06
Position 1732: 6.486382004350732e-06
Position 1028: 6.316152415797916e-06
Position 1701: 6.108981331095277e-06
Position 1834: 5.920919630455878e-06
Position 708: 5.181682783231194e-06
Position 651: 3.657137905646077e-06
Position 801: 3.6394670278398992e-06
Position 1819: 3.5269490946357855e-06
Position 1754: 3.4534179526424395e-06
Position 1534: 3.1794043869230084e-06
Position 2050: 3.096538217502294e-06
Position 2097: 2.717561979290528e-06
Position 1166: 2.7007841831312676e-06
Position 48: 2.040724378615307e-06
Position 819: 1.7801417219077463e-06
Position 2062: 1.5511168252154155e-06
Position 2027: 9.271218451892174e-07
Position 2035: 8.481363460604749e-07
Position 1227: 7.560739300111852e-07
Position 1471: 7.435226256416842e-07
Position 135: 6.977254730057004e-07
Position 1136: 6.431606159139284e-07
Position 1807: 6.135330244510414e-07
Position 1547: 5.274886115093424e-07
Position 97: 5.142588091964269e-07
Position 390: 4.4943273767269324e-07
Position 2076: 4.3276872116186593e-07
Position 1526: 2.1817380928974692e-07
Position 1131: 1.8609866408268696e-07
Position 1128: 1.699140934453192e-07
Position 1350: 1.3393635105308852e-07
Position 1395: 1.1214389118256312e-07
Position 1795: 9.918914092435396e-08
Position 372: 9.79681020030237e-08
Position 1793: 8.546744861225384e-08
Position 2145: 7.095840755296592e-08
Position 1158: 2.816240806885985e-08
Position 1170: 1.304389741244608e-08
Position 551: 5.491818208768918e-09
Position 1542: 3.487953262012717e-09
Position 1283: 3.1112309857945806e-09
Position 1477: 1.958978368087261e-09
Position 403: 1.0784165525842541e-09
Position 1281: 5.632978891568185e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1513: 0.9957419406898189
Position 363: 0.9615584860119403
Position 537: 0.5879955003874409
Position 1148: 0.10125329565301973
Position 1773: 0.07113775164084364
Position 2039: 0.06757265819033674
Position 1713: 0.045780496672312515
Position 2112: 0.020065014396058414
Position 773: 0.01850174770912104
Position 443: 0.013082930156120082
Position 682: 0.004584226354119644
Position 824: 0.0028686335580269695
Position 413: 0.0020893778551467784
Position 2043: 0.0016583611965077156
Position 1488: 0.0016370501415211086
Position 2157: 0.001422115689182521
Position 968: 0.0013508537712786334
Position 1301: 0.0012261710799041131
Position 1120: 0.0010854380601374664
Position 1016: 0.001062678592895432
Position 752: 0.0010173959088979974
Position 2073: 0.0008601437645811621
Position 2050: 0.0008573286952645501
Position 548: 0.0006053920607685151
Position 1534: 0.0005296368038165956
Position 590: 0.0005279260745222774
Position 1037: 0.0004964845365050114
Position 779: 0.00045275943110245767
Position 1268: 0.0004123450251918882
Position 1804: 0.0004077676695370847
Position 566: 0.00039728396279876027
Position 620: 0.00031077210473186203
Position 1561: 0.0003046112713041641
Position 2062: 0.0002918679916567615
Position 911: 0.00019183834636436517
Position 425: 0.000143312722931278
Position 1373: 0.00010132549694921771
Position 1322: 9.753006752208089e-05
Position 1564: 9.20318628001722e-05
Position 1526: 7.590839877622139e-05
Position 1181: 7.468940633979924e-05
Position 671: 5.863954055957549e-05
Position 2189: 5.432856594516382e-05
Position 895: 4.501330062738552e-05
Position 593: 3.918087267737937e-05
Position 2019: 3.5163977024309664e-05
Position 1874: 2.8874213132357254e-05
Position 630: 2.60447331608385e-05
Position 1166: 2.5286181468389294e-05
Position 2045: 2.5001131084528706e-05
Position 1403: 2.3323819128679172e-05
Position 97: 2.2841961036357154e-05
Position 794: 1.773107624113645e-05
Position 1793: 1.6199958094973446e-05
Position 337: 1.569741137778601e-05
Position 1539: 1.2576484612514593e-05
Position 1025: 1.2506074317745851e-05
Position 1382: 1.1119224008594792e-05
Position 1178: 1.0254659213897669e-05
Position 252: 5.4670489087864975e-06
Position 746: 5.395702847915363e-06
Position 390: 4.895826104975304e-06
Position 1638: 4.665491542698409e-06
Position 2183: 4.187957432227346e-06
Position 2027: 4.184943393749326e-06
Position 1379: 3.8561743273214034e-06
Position 1917: 3.6658477570388416e-06
Position 1807: 2.6145676424032716e-06
Position 494: 2.20124266284577e-06
Position 1220: 1.9872691598184812e-06
Position 836: 1.949133097741839e-06
Position 914: 1.5599452639709927e-06
Position 1570: 1.433822369949014e-06
Position 1125: 1.3642351259018036e-06
Position 1136: 1.189449928833814e-06
Position 265: 8.042130145042759e-07
Position 224: 7.58521410173328e-07
Position 923: 6.343863110665363e-07
Position 200: 5.792114816039283e-07
Position 1975: 5.415328345191231e-07
Position 1997: 5.193687573612804e-07
Position 2057: 4.4583936978262585e-07
Position 233: 3.988500481548333e-07
Position 1128: 3.486257546187518e-07
Position 1945: 3.020198944417286e-07
Position 1276: 2.534006502787318e-07
Position 122: 2.0196008665110495e-07
Position 1926: 1.873051238583162e-07
Position 1295: 1.740678055684086e-07
Position 587: 1.1583884539242008e-07
Position 1599: 7.731047318207253e-08
Position 1471: 7.076540207178045e-08
Position 499: 6.702392330789193e-08
Position 1326: 6.365722553033398e-08
Position 386: 5.340699061931491e-08
Position 1830: 5.220054833140875e-08
Position 1661: 4.8000717894147587e-08
Position 461: 3.822456958366196e-08
Position 230: 3.774207361039292e-08
Position 905: 3.753914981904009e-08
Position 1650: 2.451030837640548e-08
Position 1400: 2.2973080921756423e-08
Position 179: 1.949489015741844e-08
Position 1932: 1.7810539383145624e-08
Position 467: 1.2630728853263052e-08
Position 1984: 1.2366264842104712e-08
Position 452: 1.1609175033745511e-08
Position 1122: 9.063948478976772e-09
Position 1971: 7.025946738155596e-09
Position 1615: 4.065927584642253e-09
Position 293: 3.3118791555573043e-09
Position 304: 2.039106409480876e-09
Position 182: 1.1373493532970375e-09
Position 287: 8.181426908769648e-10
Position 1421: 7.731102456000557e-10
Position 2136: 6.383586425145686e-10
Position 1411: 4.217521234186464e-10
Position 112: 2.4973099822316733e-10
Position 1424: 2.3590637173073623e-10
Position 599: 1.3513114433976756e-10
Position 1418: 1.3417195313772391e-10
Position 1415: 3.8390329154036693e-11
Position 808: 7.760245136274565e-12
Position 1384: 2.4828776900002228e-12
Position 2138: 6.374240695322635e-14
Position 1436: 3.821467540288754e-15
Position 1601: 2.562073941588569e-15
