Gene = msb1l
index = 1799
Annotated 5SS: [274]
Annotated 3SS: [338]
SMsplice 5SS: [274]
SMsplice 3SS: [338]
Partition function (log Z): -4.881809697317433

Sorted 5' Splice Sites (High to Low Probability):
Position 274: 0.9909880353553987
Position 498: 0.09810656463955107
Position 552: 0.011904641900914366
Position 293: 0.008482403979631908
Position 756: 0.0056217203950196665
Position 1361: 0.0007379718474180767
Position 1002: 0.0005575384046946797
Position 556: 0.0004905848058474651
Position 594: 0.0001938440078049871
Position 59: 0.00017350151230766944
Position 1317: 0.00016332294688956438
Position 424: 0.00015791477356959707
Position 125: 8.274604607769004e-05
Position 1165: 8.046359484010728e-05
Position 278: 6.79701813296649e-05
Position 1095: 5.785831900022312e-05
Position 1129: 5.7662424476941204e-05
Position 486: 5.541751307076844e-05
Position 635: 3.667099505368925e-05
Position 502: 3.660163024313505e-05
Position 725: 3.180939853699492e-05
Position 1088: 2.157341520347404e-05
Position 394: 1.578885144800879e-05
Position 1299: 1.2233416676982204e-05
Position 78: 1.0831256675479809e-05
Position 669: 8.711795439793082e-06
Position 1139: 8.035730350749005e-06
Position 1012: 7.690030757177966e-06
Position 796: 7.689587745523214e-06
Position 975: 3.8610974083538125e-06
Position 1170: 3.642706203057219e-06
Position 573: 2.9468006352964884e-06
Position 384: 1.8608465701433216e-06
Position 1021: 1.5417620189727374e-06
Position 1336: 1.4451326583369576e-06
Position 1024: 1.3315491744937797e-06
Position 980: 7.503669128491029e-07
Position 66: 7.375788702322716e-07
Position 822: 6.907929921528469e-07
Position 318: 5.533514443038846e-07
Position 1006: 1.937026544992558e-07
Position 540: 1.4763464951988326e-07
Position 1071: 1.205502847959176e-07
Position 1026: 1.163858358952619e-07
Position 350: 6.116991565808264e-08
Position 332: 4.297484048950289e-08
Position 1198: 4.110696143526731e-08
Position 335: 1.9150962097294272e-08
Position 363: 1.5144940136538517e-08
Position 948: 1.8861564799314222e-09
Position 338: 1.037392256768276e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 338: 0.6275172654595025
Position 347: 0.3512349265071633
Position 550: 0.070252904045755
Position 318: 0.014769439930436225
Position 1417: 0.01454467963971566
Position 716: 0.00976134822484833
Position 1244: 0.00560001883099553
Position 814: 0.005337297409576101
Position 689: 0.0037348884556792773
Position 780: 0.002251368549649056
Position 1165: 0.002240667602206794
Position 467: 0.0021093726069321235
Position 731: 0.0016396724618839215
Position 603: 0.0012455434866756395
Position 922: 0.00092237236030054
Position 566: 0.0009119123821545097
Position 665: 0.0005639888630149856
Position 1211: 0.00043539107391881674
Position 594: 0.000427106594922264
Position 1151: 0.00026422288786142424
Position 371: 0.00016903140679512332
Position 1223: 0.00013974457577355966
Position 561: 0.00012145842244726772
Position 1220: 0.00011617172055056486
Position 785: 0.00011599824586442639
Position 1175: 0.00010900487882627471
Position 931: 0.00010875018235453695
Position 1129: 0.00010723514139516738
Position 1361: 0.00010339751999561666
Position 1312: 0.00010046499088577635
Position 108: 9.995315865468299e-05
Position 374: 9.230062469040689e-05
Position 368: 8.739717560536868e-05
Position 1281: 8.587125000952692e-05
Position 1229: 8.152836319039174e-05
Position 377: 7.600420831912547e-05
Position 860: 6.464173600094833e-05
Position 124: 6.056243601238832e-05
Position 693: 4.4492293797188225e-05
Position 755: 4.121044563166747e-05
Position 962: 4.0017780179936314e-05
Position 394: 3.844842951501021e-05
Position 1048: 3.495918972728415e-05
Position 749: 3.43420076648447e-05
Position 173: 3.3101830404334834e-05
Position 573: 3.2653313908404344e-05
Position 857: 3.226299788322208e-05
Position 1080: 2.9661672306497043e-05
Position 434: 2.6561904111961545e-05
Position 1019: 2.3722315781426403e-05
Position 788: 2.2342890244219472e-05
Position 1064: 2.1253292633938397e-05
Position 1181: 1.5755890492358167e-05
Position 734: 1.4636320181877609e-05
Position 965: 1.376427328542883e-05
Position 934: 1.247984114217996e-05
Position 1121: 1.2272785190025683e-05
Position 619: 1.1744500512221685e-05
Position 497: 1.1329898505118824e-05
Position 1040: 8.189777514627797e-06
Position 180: 7.946473296706933e-06
Position 959: 7.728645932114323e-06
Position 605: 4.338691811878245e-06
Position 1082: 3.864099457223176e-06
Position 1317: 3.0309890312005113e-06
Position 380: 2.1180290203079063e-06
Position 1002: 2.0860342862887307e-06
Position 184: 1.3146384468961016e-06
Position 1320: 1.216439241447535e-06
Position 1291: 1.2117899012367312e-06
Position 863: 1.0205032655248836e-06
Position 998: 6.519392747215812e-07
Position 881: 4.4810727359359885e-07
Position 746: 3.642979745286898e-07
Position 568: 3.323363632447753e-07
Position 1283: 2.60703820262393e-07
Position 975: 2.535731258231701e-07
Position 1050: 1.7434115990575934e-07
Position 285: 1.3103511720677129e-07
Position 1058: 1.0650414302303386e-07
Position 1246: 7.939519490424526e-08
Position 710: 7.536667166267466e-08
Position 1085: 3.245250674276418e-08
Position 972: 8.73229472573523e-09
Position 1104: 6.5177014978194295e-09
Position 214: 3.5204918296051364e-09
Position 608: 3.130778874016827e-09
Position 610: 2.598046043782629e-09
Position 103: 1.2633019836437741e-09
Position 890: 1.0651102153369868e-09
Position 292: 9.545065120126382e-10
Position 570: 1.5694632834135633e-10
Position 866: 8.794406205637776e-11
Position 278: 9.387857534043804e-12
Position 875: 1.3025750459372623e-12
Position 216: 1.500434279934945e-13
