Gene = fln
index = 1701
Annotated 5SS: [  72  850 1072]
Annotated 3SS: [ 585  915 1133]
SMsplice 5SS: [369 850]
SMsplice 3SS: [585 915]
Partition function (log Z): -4.620283564183022

Sorted 5' Splice Sites (High to Low Probability):
Position 850: 0.9824642368213293
Position 369: 0.5434868515002202
Position 1072: 0.30113171695021657
Position 72: 0.15454435877926967
Position 1089: 0.09564430482529403
Position 534: 0.07264962795136885
Position 1248: 0.05535836606417933
Position 204: 0.046969017123448656
Position 244: 0.037779652083271775
Position 192: 0.020006609331494774
Position 201: 0.011621796829592529
Position 398: 0.010480937769240166
Position 1266: 0.007338624581952146
Position 457: 0.004977565930740447
Position 1095: 0.0038031258903292414
Position 132: 0.003383494789558696
Position 767: 0.003203915359910274
Position 305: 0.0025838289319846768
Position 66: 0.002567559789037892
Position 1472: 0.0024879028271847688
Position 471: 0.002458358536119846
Position 864: 0.0022399078529890862
Position 1319: 0.0021584720839690707
Position 1077: 0.0020580753910325192
Position 1574: 0.001979395028511331
Position 481: 0.0019013256318862026
Position 1334: 0.001511366055446367
Position 1492: 0.0011418589315698746
Position 1563: 0.0010520952559327557
Position 411: 0.0008265873607501227
Position 52: 0.0006871268991339289
Position 1104: 0.0006297137736389107
Position 32: 0.0006170454293382535
Position 173: 0.000614399638907681
Position 258: 0.0005280329633090546
Position 421: 0.0004985701820979463
Position 1519: 0.0004945007616886305
Position 1386: 0.0004865491734348959
Position 974: 0.0004111009893007154
Position 889: 0.0003989117516591831
Position 845: 0.00037101853767411273
Position 19: 0.00035130934971588104
Position 869: 0.0002958831736754231
Position 159: 0.00026672666085599266
Position 465: 0.0002557108432116167
Position 1322: 0.00023808002213613632
Position 879: 0.00022087270086014094
Position 884: 0.00020482944111233894
Position 435: 0.00019002017968950975
Position 1378: 0.00017024430863855195
Position 1501: 0.00015781757925820958
Position 1036: 0.0001388971048733331
Position 854: 0.00012424006223615068
Position 147: 0.0001064259695155165
Position 1282: 0.00010432676866997331
Position 810: 9.119146786540878e-05
Position 372: 7.301010070396102e-05
Position 509: 7.241139094290886e-05
Position 1296: 6.892327206846435e-05
Position 1444: 6.634288035552983e-05
Position 1382: 5.409443853986987e-05
Position 109: 4.8097523434866804e-05
Position 1363: 4.6656469613460066e-05
Position 1110: 3.814530850833831e-05
Position 6: 3.6698524871904186e-05
Position 824: 2.9107244663522546e-05
Position 77: 2.824561807326323e-05
Position 1047: 2.7688189596267302e-05
Position 1152: 2.7547803554895338e-05
Position 1107: 2.5411545096879158e-05
Position 943: 1.732828361246448e-05
Position 401: 1.7270560391653216e-05
Position 1093: 1.4366825225678364e-05
Position 1373: 1.33870957765641e-05
Position 922: 8.189403034534246e-06
Position 1421: 5.722769440881394e-06
Position 330: 5.441540427106421e-06
Position 92: 4.629895919098774e-06
Position 542: 4.132231258581228e-06
Position 403: 3.63860740139901e-06
Position 103: 3.3511716920293937e-06
Position 1049: 3.3313060802750784e-06
Position 1258: 2.0256898369557915e-06
Position 1139: 2.0176683123463166e-06
Position 1347: 1.2897448891639892e-06
Position 693: 1.1244351692966978e-06
Position 1392: 1.0249031003083828e-06
