Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
Partition function (log Z): -6.574789285484567

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.861813321645591
Position 310: 0.2311439964318388
Position 37: 0.053298583725040274
Position 597: 0.0439158517891822
Position 604: 0.03281570004929501
Position 71: 0.032005013883399255
Position 283: 0.012388281097093761
Position 28: 0.00981046547750047
Position 608: 0.00738405558047296
Position 995: 0.005845802776134001
Position 331: 0.002141229919783933
Position 986: 0.0018764525123162246
Position 57: 0.001802265459774642
Position 912: 0.0007735451181221939
Position 871: 0.0007672170671851173
Position 130: 0.0007484323447971429
Position 1093: 0.0005552383035988781
Position 304: 0.00032771741549849227
Position 959: 0.0002540530140371574
Position 933: 0.0002176538672883241
Position 980: 0.0002105358800729692
Position 1014: 0.0002005883893411871
Position 168: 0.00014549609968192946
Position 123: 0.00014423323839586404
Position 86: 0.00014221650196112525
Position 1039: 0.00013936530275695074
Position 211: 0.00013874251076959667
Position 25: 0.00012853621028865027
Position 751: 0.00011243643863248528
Position 528: 0.00010276086144883017
Position 116: 0.00010263460924278841
Position 184: 0.00010098212141866431
Position 1096: 8.468271313209522e-05
Position 285: 6.432400121734344e-05
Position 326: 5.8148612441501836e-05
Position 201: 4.3016354705628973e-05
Position 518: 3.7811138973354046e-05
Position 685: 3.518335111354186e-05
Position 253: 3.317861988857404e-05
Position 335: 3.285525820661322e-05
Position 96: 2.7029214189241452e-05
Position 1115: 2.363373548574009e-05
Position 1067: 2.1473217937920385e-05
Position 1086: 2.0923614239080686e-05
Position 780: 1.2416488784803016e-05
Position 671: 8.141450945578061e-06
Position 696: 4.895882529549903e-06
Position 314: 3.5741472454141305e-06
Position 651: 3.4856758873890924e-06
Position 444: 2.909908171888009e-06
Position 485: 2.691899097831298e-06
Position 1005: 2.69181219356857e-06
Position 463: 2.2513624496826118e-06
Position 1026: 1.904717258015262e-06
Position 731: 9.224990389462255e-07
Position 471: 8.849649126228265e-07
Position 107: 6.361964723451343e-07
Position 477: 4.4520062598945464e-07
Position 700: 1.2510386728005583e-07
Position 616: 9.140440958297754e-08
Position 724: 2.274857853137814e-08
Position 688: 2.0522177345130063e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.9779847763278244
Position 412: 0.1860267114147645
Position 342: 0.03716469396135984
Position 147: 0.018646540655534366
Position 1160: 0.018605103749265446
Position 394: 0.016644075650308603
Position 86: 0.012198098324031556
Position 221: 0.010153769069923001
Position 537: 0.00713554637499261
Position 116: 0.006494496943928329
Position 218: 0.002632965976939052
Position 113: 0.001933121580173035
Position 180: 0.001225113682952721
Position 907: 0.001110761522784412
Position 156: 0.0009221068715028049
Position 869: 0.0006405604031688613
Position 688: 0.0006033401599659087
Position 459: 0.00039823802846957336
Position 696: 0.0002659778717803734
Position 1014: 0.00026079923029484475
Position 518: 0.00018431839221082026
Position 1054: 0.00016034571242567555
Position 509: 0.0001522971799384289
Position 123: 0.00011493935756273045
Position 841: 6.233152801989148e-05
Position 177: 4.9086117677336155e-05
Position 973: 4.7616634450501074e-05
Position 816: 3.711850928473822e-05
Position 1074: 3.3796306458403636e-05
Position 1026: 2.716881998425705e-05
Position 1115: 2.1489437846061047e-05
Position 861: 2.042061973343566e-05
Position 918: 1.835798640026675e-05
Position 741: 1.5790991822935823e-05
Position 941: 1.1147903502787347e-05
Position 1061: 1.0879775712372852e-05
Position 759: 1.005756918502335e-05
Position 235: 7.623375372059489e-06
Position 275: 7.604255986258447e-06
Position 572: 6.150649032338501e-06
Position 260: 6.020722186450827e-06
Position 1067: 4.514137389152024e-06
Position 223: 4.082448316053546e-06
Position 738: 4.071116518390244e-06
Position 1077: 3.5167482918664466e-06
Position 242: 3.2638528735940986e-06
Position 837: 2.588670245924189e-06
Position 959: 2.4333352142331146e-06
Position 563: 1.8970997682464038e-06
Position 419: 8.92089590483483e-07
Position 149: 7.543037575127459e-07
Position 1096: 7.123022825307838e-07
Position 786: 6.789707488952043e-07
Position 575: 6.123785456125185e-07
Position 282: 5.618367974876731e-07
Position 820: 5.417310852811049e-07
Position 623: 3.2796135739477265e-07
Position 584: 3.200958902147735e-07
Position 304: 2.4022209378110555e-07
Position 1089: 1.4626349078983884e-07
Position 244: 1.0904483051102441e-07
Position 163: 4.4988168104176363e-08
Position 995: 3.843517333745256e-08
Position 980: 2.5889399552729456e-08
Position 267: 1.3074140250592029e-08
Position 593: 1.1586050552420584e-08
Position 780: 1.1273726007439743e-08
Position 707: 4.5445600292098425e-09
Position 1080: 1.869875056125244e-09
Position 875: 1.516346232559179e-09
Position 675: 2.5651419465420747e-11
Position 578: 1.0334159350003987e-12
Position 822: 1.6873239468274557e-13
