Gene = MSMP
index = 888
Annotated 5SS: [270 610]
Annotated 3SS: [500 988]
SMsplice 5SS: [ 270  610 1026]
SMsplice 3SS: [ 435  988 1165]
Partition function (log Z): -5.8754518284878205

Sorted 5' Splice Sites (High to Low Probability):
Position 270: 0.9354106853146268
Position 1026: 0.5810310131798556
Position 610: 0.5520261299630668
Position 537: 0.14600900512679657
Position 846: 0.014261748665480814
Position 693: 0.009533445033042518
Position 116: 0.0050025417464733225
Position 410: 0.004657581667511354
Position 280: 0.003428886489379789
Position 275: 0.0026051260881823635
Position 1062: 0.0013795388429361014
Position 788: 0.0008730714716192099
Position 1019: 0.0005482620686945348
Position 10: 0.00044526310536647086
Position 1021: 0.0004383142428938997
Position 209: 0.0003215885848202935
Position 850: 0.00022038978846715304
Position 910: 0.00017438339085083416
Position 250: 0.00015616286217110588
Position 92: 0.00013400386809803416
Position 287: 9.74527496049922e-05
Position 1030: 6.181607528661096e-05
Position 593: 5.2904635215064414e-05
Position 72: 3.823575137004471e-05
Position 614: 2.6216969273467116e-05
Position 752: 2.4263666986458267e-05
Position 652: 2.221347330265061e-05
Position 129: 2.1756690476513787e-05
Position 561: 1.5246248974966125e-05
Position 674: 1.2630238492962385e-05
Position 750: 7.169481443385176e-06
Position 688: 6.859502640902131e-06
Position 423: 6.698731936148985e-06
Position 80: 3.1344845163433333e-06
Position 861: 2.746204477221666e-06
Position 794: 2.320372186336805e-06
Position 1052: 1.970630918976637e-06
Position 603: 1.8146033496298649e-06
Position 989: 1.5027694042537334e-06
Position 896: 1.4287705330240554e-06
Position 926: 1.3353931085969244e-06
Position 214: 1.1535289707299447e-06
Position 587: 1.045222839282238e-06
Position 376: 9.500144168697745e-07
Position 239: 9.394191074062286e-07
Position 541: 8.43324392107357e-07
Position 576: 4.9701900702102e-07
Position 8: 4.793043734083518e-07
Position 414: 4.391995778810056e-07
Position 349: 2.8542288848309864e-07
Position 347: 9.585595010066445e-08
Position 507: 7.320484533735928e-08
Position 819: 4.09273054270877e-08
Position 1137: 3.908660894887886e-08
Position 955: 6.872104757801333e-09
Position 980: 4.346836784456636e-10
Position 489: 6.561692779828348e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 988: 0.936264969307952
Position 1165: 0.5920686591736446
Position 435: 0.44981236624030324
Position 500: 0.21518082743362235
Position 1220: 0.026679630042037963
Position 384: 0.007005919034951794
Position 462: 0.006898031399337927
Position 362: 0.006723766605905871
Position 1095: 0.00348404179486305
Position 373: 0.002970187096400299
Position 229: 0.00227148244022327
Position 1273: 0.0014778814529944656
Position 697: 0.001320968641230865
Position 556: 0.0012718729145903243
Position 706: 0.0011076252199427555
Position 440: 0.001030995591862391
Position 849: 0.0004698850610999242
Position 338: 0.0004248699785200023
Position 1113: 0.0003258743310299169
Position 623: 0.00029708534594490244
Position 541: 0.00023891022325377308
Position 995: 0.00020364035180726872
Position 1101: 0.00018117131804603113
Position 834: 0.00013259480392514803
Position 410: 0.00012012847186994954
Position 933: 0.00011140832329874002
Position 737: 0.00010357578550899743
Position 443: 0.00010285934212688543
Position 670: 9.730430589060903e-05
Position 681: 9.009660523446878e-05
Position 236: 7.378142306677431e-05
Position 856: 6.498299491188229e-05
Position 517: 6.315167588738194e-05
Position 1125: 5.430732211418836e-05
Position 941: 5.292971750736003e-05
Position 709: 4.3475425781753306e-05
Position 750: 4.059764006269163e-05
Position 1232: 2.8872479716864767e-05
Position 614: 1.6452142010414923e-05
Position 888: 1.4213517086559325e-05
Position 652: 1.3867804296431396e-05
Position 389: 1.3342147123269971e-05
Position 1235: 1.3107276105802044e-05
Position 720: 1.2020723600865487e-05
Position 185: 1.2015719066768976e-05
Position 782: 1.1465839220677405e-05
Position 763: 7.3112333885027996e-06
Position 660: 7.232088452496805e-06
Position 711: 7.22530030027422e-06
Position 945: 7.117880143419914e-06
Position 674: 6.815570444456181e-06
Position 1034: 6.7454001845852325e-06
Position 758: 4.916527818821259e-06
Position 169: 4.36829112194345e-06
Position 861: 2.934087019643925e-06
Position 1025: 2.5909148446040096e-06
Position 770: 2.5894938570607695e-06
Position 246: 2.4685554723759266e-06
Position 445: 2.360182683932794e-06
Position 875: 2.076920440729508e-06
Position 631: 1.824820886104806e-06
Position 914: 1.6368822694017417e-06
Position 137: 1.2243146776250623e-06
Position 239: 1.1158359638298838e-06
Position 1041: 6.679793509782655e-07
Position 1052: 6.676727342690296e-07
Position 635: 3.3728074535882133e-07
Position 918: 3.053311223808319e-07
Position 188: 2.418107269982549e-07
Position 263: 2.3209578089589898e-07
Position 787: 2.1824589066123826e-07
Position 269: 2.1264989152997323e-07
Position 150: 1.8735413532526466e-07
Position 805: 1.6527339984914033e-07
Position 1037: 1.1598967369490942e-07
Position 250: 1.1159566465733302e-07
Position 175: 9.66977969488393e-08
Position 807: 9.026533156167596e-08
Position 868: 5.5968206009146614e-08
Position 308: 5.415735358498651e-08
Position 633: 3.656343481687051e-08
Position 305: 3.275212924781755e-08
Position 916: 3.262295793647684e-08
Position 865: 3.0838222556970696e-08
Position 134: 2.6924392563387847e-08
Position 319: 2.428840290204607e-08
Position 291: 7.262877469862217e-09
Position 275: 6.480374453265796e-09
Position 77: 3.8585120353168245e-09
Position 103: 3.6023905829714736e-09
Position 90: 3.077087818980946e-09
Position 72: 2.6491120136899198e-09
Position 299: 2.123850162108648e-09
Position 312: 1.5423430632422951e-09
Position 285: 1.4555913286920848e-09
Position 105: 1.2952658360420813e-09
Position 114: 6.733376940112043e-10
Position 323: 6.447358741578784e-10
Position 95: 6.08524286871933e-10
Position 302: 3.63250658580957e-10
Position 85: 3.021724823543783e-10
Position 111: 2.5517985590269054e-10
Position 92: 1.1593603098940252e-10
Position 122: 1.1591101116077395e-10
Position 80: 9.826387969033054e-11
Position 124: 9.402100219511742e-11
Position 310: 8.473288657015379e-11
Position 100: 7.55419185800153e-13
