Gene = Cldn12
index = 267
Annotated 5SS: [  25  558 1628 3719]
Annotated 3SS: [ 412 1537 3666 6334]
SMsplice 5SS: [ 162 6543]
SMsplice 3SS: [6430 6793]
top_k =  100
Partition function (log Z): -6.907490694041803

Sorted 5' Splice Sites (High to Low Probability):
Position 162: 0.7928915976530991
Position 1628: 0.6704435786824451
Position 6543: 0.6201820426218131
Position 558: 0.5077145453100448
Position 6578: 0.3120386574205454
Position 6794: 0.23406328306187524
Position 7553: 0.22803176597513133
Position 1074: 0.13272455078564002
Position 25: 0.10911617410815973
Position 3719: 0.08833421757201443
Position 169: 0.07117459327610468
Position 4306: 0.008348888355547
Position 677: 0.0076229430239886055
Position 575: 0.004151745724279405
Position 123: 0.0032450329174955393
Position 253: 0.002291200948125098
Position 357: 0.0014838211053460444
Position 316: 0.000541279403529675
Position 29: 0.0004945888675497658
Position 185: 0.00043384324835199283
Position 78: 0.0004152151535270918
Position 311: 0.0004089881675673881
Position 2951: 0.00039789667848660676
Position 150: 0.00035531623379188944
Position 14: 0.00032427602347851706
Position 68: 0.00022511262507769568
Position 176: 9.628956769301847e-05
Position 108: 8.238647190146679e-05
Position 586: 3.849420815960617e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 6430: 0.9013192228569569
Position 430: 0.4853605720978778
Position 7439: 0.42913683820128695
Position 1537: 0.4155193702106553
Position 6793: 0.2842511440865069
Position 9703: 0.21362311845913326
Position 1565: 0.19193170894131287
Position 6641: 0.16072210366732334
Position 7712: 0.12997855704208797
Position 1002: 0.12114881241398298
Position 3666: 0.08833421757201451
Position 6624: 0.08686031879420242
Position 7630: 0.07767707501997902
Position 1466: 0.06395006685756825
Position 5859: 0.060570467560516365
Position 6334: 0.03090147718540196
Position 412: 0.01775454764998006
Position 7354: 0.01206659380884586
Position 1030: 0.008883196374363722
Position 4186: 0.008348888355546995
Position 1705: 0.003772890469498153
Position 1164: 0.001479642102494939
Position 295: 0.0010509248528249395
Position 354: 0.000743777496381602
Position 872: 0.0005545005770569825
Position 735: 0.000494581804240089
Position 633: 0.0004573324623658433
Position 229: 0.00033825683830555133
Position 2681: 0.0002891058478802495
Position 2702: 0.00010879083060635714
Position 828: 1.3791376854252078e-05
Position 524: 1.22682918390387e-05
Position 455: 8.20745701655229e-06
Position 557: 6.123158413648059e-06
Position 543: 3.834275911357665e-06
Position 387: 1.9353931021663295e-10
