Gene = Zwilch
index = 1210
Annotated 5SS: [  287  4492  7742  8758 10541 11734 12284 14410 17092 17941 19554 20220
 22949 23706 25835 26280 29025 33214]
Annotated 3SS: [ 4439  7645  8638 10340 11662 12127 14337 16997 17884 19453 20139 22791
 23676 25697 26183 28911 33087 35044]
SMsplice 5SS: [  287  6309  7742  8758 10460 11734 12284 20220 22949 23231 26280 33214]
SMsplice 3SS: [ 6220  7645  8638 10340 11662 12127 20139 22791 23098 26183 33087 35122]
top_k =  100
Partition function (log Z): -6.993348993867336

Sorted 5' Splice Sites (High to Low Probability):
Position 7742: 0.99894163126444
Position 8758: 0.9897605363561124
Position 12284: 0.9763479682305386
Position 287: 0.8113422883731166
Position 11734: 0.7397760294237036
Position 20220: 0.5953864796793146
Position 22949: 0.5566752437257559
Position 4492: 0.5275228362607333
Position 10460: 0.5219060925102382
Position 12464: 0.4268141244318134
Position 23231: 0.29401587960585696
Position 5834: 0.22851496133574717
Position 10541: 0.16746583557979278
Position 232: 0.1513950607286333
Position 8536: 0.11890503557862847
Position 8475: 0.1027072042191246
Position 618: 0.08486700919613646
Position 1049: 0.07230118091927062
Position 2798: 0.06128992206021957
Position 8480: 0.046933452294629044
Position 8515: 0.04198860496817053
Position 14410: 0.025818294080373925
Position 10432: 0.012822879316830633
Position 2071: 0.008810516812747183
Position 8015: 0.004884626220519601
Position 8438: 0.002355716916531988
Position 8441: 0.002080874617969108
Position 313: 0.0010045677661432665
Position 8210: 0.0007037217604796566
Position 9647: 0.0004941709094483798
Position 476: 0.0003906748946000027
Position 277: 0.0001989651555527119
Position 8255: 0.0001455873206407777
Position 297: 0.000140118473675426
Position 379: 9.014596957720844e-05
Position 291: 7.988440433174978e-06
Position 493: 7.916163848112222e-06
Position 65: 6.220850283561506e-06
Position 239: 5.0411963343452885e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 7645: 0.9989416312644405
Position 12127: 0.9729525576705599
Position 8638: 0.9700080151013455
Position 11662: 0.7397760294237036
Position 20139: 0.6325968944623273
Position 22791: 0.5953864796793146
Position 10340: 0.5519995829883481
Position 4439: 0.48894241193359766
Position 25697: 0.39337549657006377
Position 23098: 0.37974760315690625
Position 16997: 0.3192309951880156
Position 12373: 0.29248606636032703
Position 5715: 0.22851496133574717
Position 8391: 0.17718208176564315
Position 8376: 0.15505611108060133
Position 10187: 0.15019522441851385
Position 24391: 0.07756802360464322
Position 12353: 0.06870876878431288
Position 954: 0.06398255139422418
Position 12396: 0.05463539362099733
Position 4320: 0.03858042432713615
Position 14337: 0.02871664529238699
Position 2508: 0.026122857025970347
Position 2668: 0.022120262790042262
Position 12058: 0.018004751754959986
Position 349: 0.015449842637511514
Position 17734: 0.013509580687708748
Position 2695: 0.013046802244206977
Position 527: 0.009943237984950719
Position 510: 0.00905736409838119
Position 593: 0.008248019829796928
Position 923: 0.007060266487871392
Position 553: 0.005815669470408723
Position 14677: 0.005311258316740235
Position 13084: 0.005230223314546826
Position 7851: 0.004982815219818062
Position 1898: 0.004496894281981534
Position 16439: 0.004461872249396504
Position 12032: 0.004389886906478477
Position 2024: 0.004313622530765642
Position 15662: 0.0034735284861793572
Position 8616: 0.0024852170035753697
Position 12310: 0.0013915988507922597
Position 13377: 0.0012949210311509265
Position 958: 0.0012583630371749894
Position 411: 0.0009418631872901628
Position 12602: 0.0008770363528557308
Position 12751: 0.0008434767725660617
Position 8180: 0.0004537759698355506
Position 12432: 0.00037444218509929267
Position 12094: 0.00035529757420662585
Position 7981: 0.0002973441119864229
Position 9556: 0.00021140702176673175
Position 9589: 0.00017735957241047385
Position 12410: 0.00013519088111702625
Position 9550: 0.00010540431527117398
