Gene = enc
index = 1694
Annotated 5SS: [  242 11183 13865 14080 14331 14720 14992 15949 18256 18927 20683 20845]
Annotated 3SS: [10739 13041 13922 14176 14392 14776 15591 17342 18319 18982 20744 20953]
SMsplice 5SS: [  242 11183 13865 14080 14331 14720 14992 18256 18927 20683 20845]
SMsplice 3SS: [10739 13041 13922 14176 14392 14776 17342 18319 18988 20744 20953]
top_k =  500
Partition function (log Z): 37.388832425598686

Sorted 5' Splice Sites (High to Low Probability):
Position 18256: 0.9994874953103792
Position 14331: 0.9977453650516581
Position 242: 0.9976725127501822
Position 13865: 0.993121038181313
Position 20683: 0.9902409115414801
Position 18927: 0.986047747333963
Position 14992: 0.9801513614139699
Position 20845: 0.97792147862387
Position 14720: 0.9756864605490537
Position 14080: 0.9629170037008339
Position 11183: 0.858163409983291
Position 21019: 0.46542491068916186
Position 21260: 0.3069380539284913
Position 1133: 0.19153399834302448
Position 21006: 0.18195004588194355
Position 529: 0.16498916825646126
Position 21464: 0.09730657079294024
Position 11673: 0.09635490970388012
Position 15949: 0.08223825483362598
Position 18748: 0.06876603183338584
Position 12769: 0.06875405132405035
Position 8321: 0.05500829955232079
Position 22966: 0.051065220381449304
Position 21238: 0.05031074557013463
Position 691: 0.043834420569043166
Position 13715: 0.0424570676231003
Position 12225: 0.03822698593890051
Position 14468: 0.03418436647538319
Position 14099: 0.032267465238833504
Position 12292: 0.03215301289300766
Position 18019: 0.03190772934258873
Position 19775: 0.03064641470518513
Position 18714: 0.0297613275462212
Position 2266: 0.027275031479857742
Position 19903: 0.026735366154392256
Position 19765: 0.022615592215655414
Position 17144: 0.018604495031480508
Position 11929: 0.016877439513305812
Position 17974: 0.015997230241018255
Position 18028: 0.014563519761803118
Position 680: 0.013913472609502877
Position 19298: 0.013281345196303727
Position 11894: 0.012981694577645968
Position 12457: 0.012517639597837277
Position 21694: 0.012503734413431744
Position 20993: 0.012040187376699126
Position 14988: 0.011754418166388718
Position 19417: 0.011151104339807085
Position 18917: 0.010400973826147382
Position 12652: 0.010246636262790149
Position 22944: 0.009481662899000279
Position 19771: 0.0066310402123374865
Position 19295: 0.00585099016668726
Position 22790: 0.005668597094630156
Position 20658: 0.005646956485066511
Position 7946: 0.005592796915482924
Position 6541: 0.005577068743549176
Position 2078: 0.0047134157260937315
Position 8317: 0.004132932592500998
Position 16845: 0.004122788006630878
Position 7969: 0.003912358518221564
Position 17126: 0.0032345681450669543
Position 676: 0.0031850943304535763
Position 18848: 0.0031465114281190366
Position 5867: 0.0031029546880980336
Position 19084: 0.0028387003136245725
Position 3198: 0.0027782439723385583
Position 11902: 0.002768319459978298
Position 19793: 0.0025839848368691583
Position 4216: 0.0025228333480590377
Position 1517: 0.0022103930793195867
Position 455: 0.00182806234894141
Position 6275: 0.0015463915380876157
Position 15007: 0.0015060883506766477
Position 16057: 0.0014888691065062418
Position 14128: 0.0013730056623906537
Position 14288: 0.0011100750651699828
Position 14631: 0.0009584901909578258
Position 18383: 0.0008057560345123604
Position 19420: 0.0007689531033630943
Position 459: 0.0007649419092429944
Position 547: 0.0006198813537754306
Position 818: 0.0006095750242695328
Position 463: 0.0005909097840081633
