Gene = jv
index = 1737
Annotated 5SS: [   88  5352 17872 18602 18982 24089 24753]
Annotated 3SS: [ 5160 17356 18285 18921 20478 24505 25107]
SMsplice 5SS: [   88  4825  5352 17872 18602 24089 24753]
SMsplice 3SS: [ 4497  5160 17356 18285 23981 24505 25107]
top_k =  500
Partition function (log Z): 3.966062670523408

Sorted 5' Splice Sites (High to Low Probability):
Position 5352: 0.9916377306423415
Position 24753: 0.9709484641163263
Position 17872: 0.9420081137404417
Position 18602: 0.9001168831563204
Position 24089: 0.6756414577565129
Position 4825: 0.5898079919528137
Position 1731: 0.5041657018884681
Position 887: 0.39901389544278354
Position 88: 0.33902894594569055
Position 23107: 0.32040441435453987
Position 21264: 0.2444836350935273
Position 5650: 0.17723163358346497
Position 5861: 0.15374074777912725
Position 1188: 0.1497914602714936
Position 21587: 0.141682454976134
Position 17613: 0.1320032800105631
Position 19720: 0.108297832233652
Position 226: 0.10231401838317629
Position 9402: 0.09729991335407293
Position 18606: 0.0915074700749954
Position 2300: 0.08556401371087775
Position 4816: 0.07835457536981888
Position 2365: 0.05641294951550181
Position 1033: 0.055684237743392276
Position 25215: 0.05529501698642242
Position 12319: 0.052712924487735555
Position 1329: 0.04656772140170598
Position 20727: 0.04373464483294371
Position 875: 0.030161676573444006
Position 18922: 0.029730928782051122
Position 5674: 0.02486908380522069
Position 5452: 0.02438289207017021
Position 321: 0.023813849214624157
Position 4545: 0.023570198413899263
Position 21554: 0.02206724669426318
Position 918: 0.019349016196051505
Position 2207: 0.01842258342546146
Position 9606: 0.0170237781719808
Position 20667: 0.015600425100850945
Position 4820: 0.014894512368807051
Position 5626: 0.014415936921884547
Position 5785: 0.013794255582787258
Position 20510: 0.013052920842945768
Position 24757: 0.012639565026291669
Position 184: 0.0123343903805982
Position 21003: 0.012135591695505063
Position 21869: 0.011186510509157142
Position 5693: 0.01089506238812531
Position 4244: 0.01052569613842263
Position 5884: 0.010080177916268543
Position 329: 0.010043445333306616
Position 20514: 0.00978923986484502
Position 530: 0.009398120054108276
Position 18986: 0.00897880623757628
Position 21114: 0.008699647175839455
Position 1785: 0.008676334935685379
Position 21123: 0.007574299462289432
Position 84: 0.0075649151901734935
Position 641: 0.007460448296139569
Position 4957: 0.00629295644919004
Position 20864: 0.005393329822003962
Position 804: 0.005056700637398596
Position 19098: 0.004800125445057795
Position 25200: 0.004696256700454136
Position 6137: 0.003979973937399828
Position 44: 0.0037461313999976424
Position 19182: 0.0033554389888658786
Position 643: 0.0030960606937459963
Position 18982: 0.002959206841474899
Position 9116: 0.0025958047728687882
Position 8807: 0.002489290964719746
Position 25012: 0.002485347252923623
Position 23291: 0.002292838931544937
Position 19679: 0.0019227488118134376
Position 1771: 0.0018571844845835508
Position 25249: 0.0016465847416626083
Position 4948: 0.001642839567133335
Position 25341: 0.0016346666718692698
Position 24627: 0.0016116779369693944
Position 19036: 0.0013735723354660013
Position 506: 0.0013458063357022505
Position 18633: 0.0010782857235023242
Position 5442: 0.0010467288193332317
Position 5558: 0.001045707692045928
Position 22782: 0.0009227801356733033
Position 21030: 0.0008007280177225815
Position 2040: 0.0007043443360703418
Position 22529: 0.0006585457374077509
Position 750: 0.00059040110115981
Position 18651: 0.0005676447996425306
Position 1169: 0.0005496359968984639
Position 25203: 0.0005059442412300901
Position 415: 0.0004673455027641871
Position 9148: 0.0004560553705344858
Position 429: 0.00042947218731732286
Position 738: 0.00034687482290080907
Position 19151: 0.000323706955266958
Position 18885: 0.000321521810459641
Position 285: 0.00027802047799225274
Position 1907: 0.0002634900421053698
Position 647: 0.0002169792513929801
Position 18382: 0.00020018781877399153
Position 894: 0.00017919560585038166
Position 181: 0.00014365373534736768
Position 1524: 0.00013939266618786275
Position 5416: 0.00012571357880282043
Position 704: 0.00012425385503891302
Position 250: 0.00012083369221833766
Position 310: 0.00011753457805121965
Position 213: 0.00010410020497045135
Position 654: 8.601060202500526e-05
Position 248: 7.45050189120516e-05
Position 5487: 6.364842105605684e-05
Position 801: 5.614964956104001e-05
Position 5995: 3.4064446194511634e-05
Position 513: 3.332612509786893e-05
Position 5446: 2.5975130920455962e-05
Position 24894: 1.4706823284198992e-05
Position 70: 1.2758892040125381e-05
Position 444: 9.842084238020629e-06
Position 42: 8.61058037570853e-06
Position 5356: 7.5946367705671685e-06
Position 24671: 7.494246508048127e-06
Position 86: 5.2586644811127235e-06
Position 178: 5.10808755082924e-06
Position 230: 4.560283083740594e-06
Position 434: 3.396839984981387e-06
Position 48: 2.45029487949543e-06
Position 727: 2.27506845086521e-06
Position 1019: 2.1586226988347488e-06
Position 92: 2.106167933747794e-06
Position 12: 1.7422081793644187e-06
Position 484: 1.5736576896989189e-06
Position 21633: 6.550801273573919e-07
Position 176: 5.5603634688143544e-08
Position 413: 2.980484301285241e-08
Position 144: 1.7372389362772253e-08
Position 432: 1.7240420208600633e-08
Position 207: 1.570267251297426e-08
Position 333: 1.1822281705557154e-08
Position 159: 9.883146811243916e-10
Position 437: 1.1033990312961714e-10
Position 341: 3.557271881075997e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 24505: 0.9925302250596822
Position 17356: 0.9785993279207957
Position 18285: 0.9746087715062579
Position 5160: 0.9687917161445235
Position 25107: 0.961053766776391
Position 20478: 0.6733003388112541
Position 4497: 0.6680592505092877
Position 1267: 0.3709801661929436
Position 23160: 0.31202291448385583
Position 5623: 0.2482598080743587
Position 23009: 0.1899327283037165
Position 144: 0.18828578209290409
Position 22258: 0.1435741990381379
Position 956: 0.10973510338560669
Position 22510: 0.10938849477707022
Position 17660: 0.10597053454899451
Position 5519: 0.08244212327198462
Position 5445: 0.08139692472492725
Position 18759: 0.07977054998722997
Position 1228: 0.0777260969172717
Position 9320: 0.06928808315019548
Position 21646: 0.05830065288766125
Position 1961: 0.05769769429521131
Position 12089: 0.05271292448773556
Position 8905: 0.03910798454318437
Position 25276: 0.038491604739324045
Position 4893: 0.03159002646715093
Position 4657: 0.026587389149270255
Position 2099: 0.023434146766681586
Position 21617: 0.022801028387474043
Position 21341: 0.02104535466073443
Position 4544: 0.018337859238344554
Position 18818: 0.014453144477783886
Position 1992: 0.013719556213915138
Position 18686: 0.013440494730497713
Position 18737: 0.01209412377271945
Position 25998: 0.012008059404957125
Position 5714: 0.011903426296895217
Position 18846: 0.01183032947621104
Position 966: 0.01154922622224856
Position 1123: 0.009464041292961904
Position 18742: 0.009283524362917883
Position 25040: 0.007416954091732277
Position 596: 0.007113589561965022
Position 25803: 0.006951888694848994
Position 25765: 0.006886813442362899
Position 18769: 0.006163610457267203
Position 25121: 0.0060950267272878505
Position 432: 0.006042438195277062
Position 3502: 0.005420923130507403
Position 3752: 0.005122915148811607
Position 18186: 0.004936714563855309
Position 18036: 0.004855923092317052
Position 697: 0.004568310318640954
Position 24414: 0.004017315996647667
Position 8872: 0.0036766417563866447
Position 1934: 0.0031347830569204618
Position 9520: 0.0031268639523245262
Position 19399: 0.0031264534229645397
Position 18650: 0.003094143471116313
Position 149: 0.0028779241308023074
Position 24960: 0.0028437135543604762
Position 2114: 0.0027700374419974013
Position 510: 0.0024624613090355554
Position 641: 0.0024134178047559136
Position 18810: 0.0023037172579094115
Position 2032: 0.002266289078924984
Position 25138: 0.0022245236798335006
Position 24938: 0.002203140347834129
Position 9285: 0.0021674535340594795
Position 19351: 0.002124945490290649
Position 21073: 0.002083205372997582
Position 19330: 0.002034718147705817
Position 1187: 0.002032498423875819
Position 8144: 0.002020012457268659
Position 25304: 0.001997841596421478
Position 21344: 0.0019420207507056964
Position 5752: 0.0012519753958693286
Position 4599: 0.0011411720542257836
Position 24146: 0.0011252043937367462
Position 25307: 0.0011230552104945842
Position 24830: 0.0010564297584081358
Position 20809: 0.0010078790499526153
Position 25280: 0.0009990393895269178
Position 5402: 0.0009910589099738363
Position 2262: 0.0009659255672765572
