Gene = Proc
index = 1388
Annotated 5SS: [ 262 1166]
Annotated 3SS: [ 958 5282]
SMsplice 5SS: [ 800 1166]
SMsplice 3SS: [ 958 5282]
top_k =  500
Partition function (log Z): -4.729532351930865

Sorted 5' Splice Sites (High to Low Probability):
Position 1166: 0.9904154802203945
Position 800: 0.5380260648502151
Position 262: 0.3670687795490996
Position 6238: 0.12052992909942302
Position 321: 0.10595159262756086
Position 824: 0.08985658537239981
Position 283: 0.06425193487243548
Position 373: 0.043809197221722974
Position 1636: 0.039470682428252905
Position 564: 0.014499428207850398
Position 3404: 0.013172455307200405
Position 500: 0.009628650459828659
Position 6521: 0.00936003591000837
Position 2911: 0.006528924385263577
Position 494: 0.0055581577067736615
Position 5699: 0.004425817659816431
Position 804: 0.004137062608061093
Position 1205: 0.0038420419837311886
Position 354: 0.0031610683974345314
Position 808: 0.0026407959254516064
Position 185: 0.0023307978307563876
Position 719: 0.002120804804787777
Position 543: 0.001834463221405888
Position 4395: 0.001702284709575112
Position 2244: 0.0014944152904136777
Position 1941: 0.0014738350871369168
Position 3543: 0.0014199855334967079
Position 503: 0.0013521603863964225
Position 551: 0.0013115271121653862
Position 1739: 0.0012589890671861443
Position 3412: 0.0012111634962810632
Position 1197: 0.0010953190067596965
Position 2996: 0.0010410272191838782
Position 1144: 0.0009354133888105429
Position 2053: 0.0009173339525039578
Position 1773: 0.0008963470427013881
Position 579: 0.0008677866333048422
Position 1651: 0.000867310817851915
Position 3768: 0.0008428371625128885
Position 6072: 0.0008102805076634208
Position 1120: 0.0007427376173980513
Position 230: 0.0007060918822203763
Position 1801: 0.0006829006832366576
Position 313: 0.0006571858405223614
Position 182: 0.0006556396291179853
Position 1445: 0.0005996568513981718
Position 1397: 0.0005359292134526606
Position 3408: 0.00048589085986537806
Position 81: 0.0004238706762453554
Position 4715: 0.0004228637405121842
Position 1692: 0.0004197032115402291
Position 6268: 0.00036477349179660755
Position 1950: 0.0003518863938878501
Position 1191: 0.00030230799048405266
Position 4279: 0.00029085256158115796
Position 5882: 0.00026516234192988956
Position 2473: 0.00023264685698716958
Position 52: 0.0002289395593138964
Position 1042: 0.0002286547365713316
Position 3617: 0.00021764997542287313
Position 6665: 0.00021645804653575614
Position 140: 0.00020021391411055532
Position 291: 0.00018149769766979937
Position 1225: 0.00016439391227429767
Position 352: 0.0001549424852584393
Position 386: 0.00014286236393417699
Position 3630: 0.00013209743007158248
Position 757: 7.771044039981788e-05
Position 112: 7.333101304741266e-05
Position 325: 6.367908414216803e-05
Position 177: 6.201407006539002e-05
Position 319: 4.2262294580265356e-05
Position 828: 3.454663842791708e-05
Position 121: 3.429225694855531e-05
Position 2433: 3.0307682813105122e-05
Position 31: 2.937808596897557e-05
Position 2330: 2.875664786354519e-05
Position 929: 1.8168222518506e-05
Position 1441: 1.7574830824736924e-05
Position 400: 1.62137817536129e-05
Position 266: 1.4472411535963012e-05
Position 297: 1.137583416985747e-05
Position 1324: 9.753696571735447e-06
Position 739: 5.844278407560954e-06
Position 1233: 5.461466015734529e-06
Position 1212: 4.915279553562226e-06
Position 778: 4.594787532104848e-06
Position 23: 4.2433131824251236e-06
Position 5: 3.819263474451243e-06
Position 621: 2.558022632873759e-06
Position 1174: 1.7435014275673834e-06
Position 1149: 1.2727417612626866e-06
Position 1493: 5.494062074824702e-07
Position 1472: 3.408879543193053e-07
Position 1064: 3.1962554779874556e-07
Position 1736: 2.460475873443603e-07
Position 1535: 1.5546469209584645e-07
Position 1052: 5.1755475861131525e-08
Position 2046: 1.5908722409907653e-08
Position 419: 1.226768718152645e-09
Position 1104: 8.70064128378865e-10
Position 1094: 5.4197153402050446e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 958: 0.9923469203220714
Position 5282: 0.915991742072703
Position 621: 0.1612169732838864
Position 6288: 0.12110758324583351
Position 6574: 0.044871778093948406
Position 673: 0.03689689432948073
Position 319: 0.035196752526851525
Position 1319: 0.025484354594859836
Position 2767: 0.024361894330922604
Position 730: 0.01357769851915206
Position 1459: 0.013459393272587494
Position 3764: 0.00833094023531559
Position 6144: 0.007420628724675263
Position 602: 0.006966536098239093
Position 419: 0.006268002000644052
Position 3639: 0.005990696323543088
Position 1626: 0.00426339331111046
Position 1593: 0.0034911540508187665
Position 585: 0.003462850258093339
Position 6759: 0.0029712207522875215
Position 5956: 0.0028744616082863727
Position 4970: 0.002234603827643198
Position 5939: 0.0021662119511925973
Position 1267: 0.002060029083165038
Position 2074: 0.0020284988222920653
Position 5234: 0.0016174218677678207
Position 6312: 0.0013804931108861891
Position 5907: 0.001268539258040205
Position 2645: 0.0012676973055563234
Position 5136: 0.0011791467749487983
Position 739: 0.0011278858913161998
Position 325: 0.0009659211312229072
Position 400: 0.0009564448736920572
Position 4663: 0.0009243119488168737
Position 2277: 0.0008717948725234928
Position 4283: 0.000730006314355684
Position 5018: 0.0007125611889221017
Position 5953: 0.0006587495260287952
Position 3800: 0.0006333797135715568
Position 3178: 0.0006234052541708456
Position 4445: 0.000596187543331917
Position 4531: 0.0005916046645434338
Position 4332: 0.000570181744246024
Position 3385: 0.0005697192031245344
Position 649: 0.0005440614878876873
Position 386: 0.0005430282975227287
Position 4855: 0.0005163577631310558
Position 1420: 0.0004971004902110073
Position 4749: 0.00045198628365189454
Position 1384: 0.0004500000915854676
Position 1323: 0.0004399370703149375
Position 695: 0.000426442496374111
Position 3353: 0.0004236711593228259
Position 5756: 0.00042150249117368905
Position 5669: 0.000403182282680132
Position 2707: 0.0004008918146262589
Position 4507: 0.00038261812186276623
Position 3525: 0.00037484216333752885
Position 3934: 0.0003558111376027545
Position 3767: 0.0003055761438524442
Position 4791: 0.00025279710379573706
Position 460: 0.00023903758940554945
Position 710: 0.0002110115497882509
Position 3894: 0.00019601365368723437
Position 1341: 0.00018573841209514126
Position 5694: 0.0001833617172811146
Position 6762: 0.0001760083711219343
Position 981: 0.00016817012778705195
Position 5450: 0.00016050636165246658
Position 689: 0.0001569102228986233
Position 121: 0.0001547717939085604
Position 2683: 0.00013514098503666455
Position 757: 0.00012250098569659024
Position 5315: 0.00011581193419193202
Position 1221: 0.00010267948810355688
Position 579: 9.918116861920035e-05
Position 4480: 8.144018748221792e-05
Position 3779: 7.202265013780947e-05
Position 4858: 6.749020634133012e-05
Position 4830: 6.541718764658414e-05
Position 3677: 6.080589409237654e-05
Position 778: 5.178194905349153e-05
Position 189: 4.558843495913722e-05
Position 4007: 4.330995819521613e-05
Position 3984: 3.9503596830446614e-05
Position 3919: 3.706332911400915e-05
Position 2098: 2.686546615178421e-05
Position 2302: 2.3712367596694714e-05
Position 491: 2.1255837533686927e-05
Position 3742: 2.050105117759087e-05
Position 3786: 1.9812566905788673e-05
Position 543: 1.9086521544074753e-05
Position 2954: 1.3598949371873524e-05
Position 2325: 1.2916573769342927e-05
Position 424: 1.0832036587644556e-05
Position 2715: 1.052512829202899e-05
Position 2824: 1.001084040159517e-05
Position 1885: 9.67532576483998e-06
Position 2851: 9.321574440806747e-06
Position 1212: 8.902323230892978e-06
Position 1927: 8.766788927812365e-06
Position 1665: 8.459745905196002e-06
Position 2649: 7.895857471328906e-06
Position 1984: 7.051679662225822e-06
Position 2426: 4.507460177413254e-06
Position 2255: 3.7804268305177205e-06
Position 860: 3.3534113035483373e-06
Position 1940: 3.182756364773214e-06
Position 1472: 3.093511289900536e-06
Position 1441: 2.6860718306327252e-06
Position 1949: 2.3651475835439357e-06
Position 1915: 1.8404134664589963e-06
Position 1231: 1.4659510262986482e-06
Position 203: 7.766614208063389e-07
Position 92: 5.062306497553284e-07
Position 1535: 4.5143109877839313e-07
Position 1119: 4.2752817802460003e-07
Position 926: 3.8008884667573346e-07
Position 220: 3.382924603305267e-07
Position 272: 2.2874339814283709e-07
Position 347: 1.0140849024170476e-07
Position 1329: 5.104032291401611e-08
Position 1041: 3.758537033462242e-08
Position 282: 2.5360208374409775e-08
Position 288: 1.918676454753132e-08
Position 52: 5.352187079037618e-10
Position 297: 1.2040960298128838e-11
Position 266: 1.4132105247624662e-12
