Gene = Tsf2
index = 1570
Annotated 5SS: [ 173  674  887 1113 1624 1852]
Annotated 3SS: [ 245  752  951 1171 1686 1917]
SMsplice 5SS: [ 173  674  887 1113 1624 1852]
SMsplice 3SS: [ 245  752  951 1171 1686 1917]
top_k =  500
Partition function (log Z): 16.23852402930682

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9994728365714631
Position 674: 0.9984982738351567
Position 1852: 0.9980916305241443
Position 173: 0.9782942028918524
Position 1113: 0.8575098866652413
Position 887: 0.8547493950020965
Position 2174: 0.1175200205920906
Position 490: 0.05716917491325287
Position 2727: 0.00998543738734268
Position 48: 0.009273480618650706
Position 798: 0.006658608562024448
Position 2535: 0.006421183521164994
Position 371: 0.004733552580068652
Position 2310: 0.003509696509791627
Position 1247: 0.0033056564523424926
Position 2950: 0.0022133560615845613
Position 2632: 0.0021218404609217004
Position 839: 0.001855080406507737
Position 30: 0.0017772200112186733
Position 405: 0.0016861468952513562
Position 1082: 0.001540709284289662
Position 2850: 0.0015201519914905027
Position 3229: 0.0012541343980581115
Position 1367: 0.0008840081050623151
Position 35: 0.0006349183978833954
Position 2112: 0.0005903321284254645
Position 1864: 0.0005857209107196053
Position 2089: 0.0005240982566385946
Position 635: 0.00044985633064260135
Position 335: 0.00041561588906492345
Position 830: 0.00033954850008565996
Position 651: 0.00029202802626382917
Position 2119: 0.0002891619347038589
Position 415: 0.00028802438514327194
Position 313: 0.00022496568771544976
Position 32: 0.00021827255476307883
Position 42: 0.00019895931830742316
Position 177: 0.00019229689887343437
Position 77: 0.00019138696202739393
Position 1778: 0.00018087128608944506
Position 1443: 0.00017960890063990024
Position 2827: 0.00017524463717267507
Position 54: 0.0001517647876835339
Position 832: 0.00014634862711439153
Position 2278: 0.00013835645823608356
Position 620: 0.00013424270463683813
Position 2585: 0.00012767164092655043
Position 678: 0.00012724490540963175
Position 1350: 0.00012068300835168055
Position 1461: 0.00011912793444815777
Position 2367: 0.00011904987154065401
Position 2500: 0.00010369622913505012
Position 2743: 0.0001005295001534325
Position 2732: 7.410886549989252e-05
Position 284: 5.454573567548594e-05
Position 1317: 4.5786118576541196e-05
Position 1117: 3.9032793312042036e-05
Position 1628: 2.88821410007993e-05
Position 2954: 2.537058015022139e-05
Position 373: 2.3322441991923064e-05
Position 37: 2.108809348434057e-05
Position 289: 1.3566004580300906e-05
Position 1261: 1.3347511540732227e-05
Position 837: 1.1908922098869369e-05
Position 473: 1.1802539656333141e-05
Position 696: 9.365661712518326e-06
Position 197: 8.15586721394535e-06
Position 1038: 7.285639214027056e-06
Position 957: 6.3514877674737695e-06
Position 659: 5.920931779003294e-06
Position 1644: 4.3545920453010936e-06
Position 286: 3.5670976702531247e-06
Position 2321: 3.1782683856699045e-06
Position 2307: 2.3790186026360776e-06
Position 2295: 1.9029077228872756e-06
Position 1245: 1.789063288754275e-06
Position 777: 1.3456014888319623e-06
Position 1740: 1.2816649308564314e-06
Position 2337: 1.2669823467875082e-06
Position 1856: 1.091279679638091e-06
Position 622: 9.448836950781191e-07
Position 2348: 9.275333960800755e-07
Position 1708: 8.425712156232333e-07
Position 780: 7.893216334089444e-07
Position 703: 7.36778877884837e-07
Position 2091: 5.616029389192854e-07
Position 1572: 5.243628905288688e-07
Position 2756: 5.086311028279648e-07
Position 560: 3.197200146523931e-07
Position 2122: 2.13540377646192e-07
Position 1617: 1.5696921107266566e-07
Position 142: 1.3743880357239532e-07
Position 155: 1.2139028863686238e-07
Position 554: 1.1896480378200095e-07
Position 1587: 8.935055343988659e-08
Position 1488: 8.82168038979283e-08
Position 1728: 3.791536633541305e-08
Position 2082: 3.472462464481912e-08
Position 1810: 3.466201762740926e-08
Position 2071: 3.308779461693167e-08
Position 133: 1.3891222168204853e-09
Position 127: 8.430249064656852e-10
