Gene = TMIE
index = 1458
Annotated 5SS: [ 248 4575 7943]
Annotated 3SS: [4456 7792 8245]
SMsplice 5SS: [ 248 4575 7240 7943]
SMsplice 3SS: [4456 7153 7792 8245]
top_k =  1000
Partition function (log Z): 0.11242636846349341

Sorted 5' Splice Sites (High to Low Probability):
Position 7943: 0.9814111478594785
Position 248: 0.9181057991643653
Position 4575: 0.8668764735047219
Position 7240: 0.63316262169774
Position 3951: 0.31514971717458534
Position 1972: 0.23311179864589743
Position 2343: 0.05369584156829039
Position 7259: 0.05045278000918165
Position 8305: 0.0493440941226398
Position 8529: 0.03227117352018128
Position 115: 0.024725940254715948
Position 4793: 0.023580157215666645
Position 959: 0.0229955959874778
Position 5954: 0.019726446018835254
Position 4813: 0.01859613265510413
Position 1978: 0.01708714948865541
Position 1874: 0.016178458531554904
Position 4305: 0.01396355090375164
Position 7857: 0.013282340843968694
Position 4051: 0.012980625459840951
Position 212: 0.012299346120853575
Position 6835: 0.010819892757084762
Position 7683: 0.00954808782470281
Position 7071: 0.009184069204185383
Position 8161: 0.00875758616980563
Position 8154: 0.008544933411798569
Position 6051: 0.0073998207861524674
Position 1857: 0.007006986109288625
Position 4673: 0.00671439247310153
Position 4541: 0.006190841149279291
Position 7687: 0.006186790113419069
Position 3946: 0.006039658303367095
Position 5287: 0.005584450876408521
Position 412: 0.00500356163477923
Position 1288: 0.004700313768966981
Position 3858: 0.004320010216525345
Position 5380: 0.003998633751127181
Position 4157: 0.003703694174192267
Position 8410: 0.0034484230329702432
Position 1829: 0.0034130564228417575
Position 8126: 0.003349073712621491
Position 833: 0.0032023058626575165
Position 2524: 0.00306087922754765
Position 6906: 0.0028907015758432445
Position 5160: 0.0028762131887696846
Position 1581: 0.0027279470409675385
Position 990: 0.002438696692336885
Position 4318: 0.0019657981695615444
Position 8036: 0.0018396751929303469
Position 5801: 0.0016837557752321958
Position 2027: 0.0015856083536807271
Position 779: 0.0015034683519270795
Position 4538: 0.001500890426609119
Position 8916: 0.001423609214383069
Position 1604: 0.0014056956524810696
Position 5823: 0.0013813388692898887
Position 2386: 0.0013371358684719204
Position 1509: 0.001158830829144293
Position 2784: 0.0011308712308289778
Position 8459: 0.0010717718841599195
Position 912: 0.0009852741680006353
Position 612: 0.0009619951420949426
Position 1169: 0.0008889254748839242
Position 3929: 0.0008396938206441657
Position 177: 0.0007963300741434523
Position 6383: 0.0006534455104203583
Position 8583: 0.000624954142743109
Position 7186: 0.0005311062787334852
Position 2730: 0.0005147789990790666
Position 7884: 0.0005050664303816954
Position 1281: 0.0004926774210339003
Position 6710: 0.00048810298354542265
Position 4256: 0.00042607827243383497
Position 163: 0.00034586217193565295
Position 7118: 0.0003125335909701996
Position 946: 0.00029604404333023586
Position 889: 0.00027035985166522935
Position 4314: 0.00026864258666770913
Position 1064: 0.00026181860730230494
Position 3982: 0.00026181841315946213
Position 8871: 0.0002504457833887607
Position 1538: 0.00024144754451194266
