Gene = GORAB
index = 610
Annotated 5SS: [  156  7439 10464 12717]
Annotated 3SS: [ 7080 10361 12575 19885]
SMsplice 5SS: [  275  7443  8537 10464 12717]
SMsplice 3SS: [ 7080  8403 10361 12575 14566]
top_k =  1000
Partition function (log Z): -1.6023094432638003

Sorted 5' Splice Sites (High to Low Probability):
Position 12717: 0.9982445075111521
Position 10464: 0.9941347489342338
Position 7443: 0.8231010090606814
Position 8537: 0.6478509259428799
Position 275: 0.49896565481956173
Position 279: 0.2406069783402218
Position 511: 0.1934933420511723
Position 11518: 0.13909424312168103
Position 1523: 0.12725760025583954
Position 105: 0.09684773592566809
Position 6967: 0.09021879750741607
Position 499: 0.07158359376886005
Position 11777: 0.06277899611566672
Position 12184: 0.06160531450464808
Position 977: 0.06117907956306605
Position 7439: 0.04052198344818323
Position 8039: 0.040221579624872494
Position 18252: 0.03936245637650743
Position 17434: 0.03568335799027369
Position 20302: 0.03516320631791952
Position 10290: 0.032154703615759096
Position 156: 0.03095610832392595
Position 17907: 0.02751678682987812
Position 4293: 0.026072441713721015
Position 1000: 0.018582463046898035
Position 17881: 0.01626483233931403
Position 11285: 0.01567985525256896
Position 19687: 0.015426196245501136
Position 14950: 0.014654080851359339
Position 13166: 0.01353236088386374
Position 12269: 0.012666036869744981
Position 20362: 0.011259894608961837
Position 7242: 0.011080469529240017
Position 14395: 0.010690212072895925
Position 11317: 0.010309736266776373
Position 2456: 0.009876730955138857
Position 3012: 0.009180806946868802
Position 9463: 0.009076690492684534
Position 7236: 0.009035119896816891
Position 14961: 0.00847842930258908
Position 959: 0.008193132849348627
Position 11360: 0.007138066795648796
Position 618: 0.007027475759710538
Position 13036: 0.006822242328437316
Position 20136: 0.006785667819167072
Position 17522: 0.0065168007431400206
Position 9870: 0.005738722702513887
Position 1234: 0.005573878751668671
Position 945: 0.005571950533429754
Position 14473: 0.005215212470578354
Position 4063: 0.0046101121689603045
Position 2696: 0.0038488478504824764
Position 12144: 0.003811528897548093
Position 11861: 0.00353176245935341
Position 5709: 0.00340596195595599
Position 16748: 0.0032600684677919086
Position 2445: 0.0032509565677279906
Position 7701: 0.003151870985789889
Position 2562: 0.0030987758054374123
Position 1491: 0.0030980018384738402
Position 2628: 0.0030445383796159266
Position 505: 0.0029372616801354445
Position 437: 0.0027793070835834635
Position 491: 0.0023844224589438245
Position 781: 0.002231523974571272
Position 11676: 0.0022039770244581193
Position 6649: 0.002153851189680617
Position 20582: 0.001960435458745897
Position 16502: 0.0017980023347166068
Position 1039: 0.0017604376022004483
Position 728: 0.0016964331859513778
Position 392: 0.0015959684977856728
Position 10501: 0.0015651659135321884
Position 2775: 0.0015016538058357776
Position 15526: 0.0013506896066095044
Position 11131: 0.0012412634896196454
Position 4288: 0.0012165195893620048
Position 2080: 0.0011826188108993655
Position 12299: 0.001174100449140156
Position 2307: 0.0010643128532995194
Position 986: 0.0010401652576504685
Position 1084: 0.0010191019884215364
Position 11745: 0.0009238207122071627
Position 898: 0.0008393782189707438
Position 7152: 0.0008370302159369303
Position 9968: 0.0008041341591468155
Position 11380: 0.0007986769016546009
Position 14434: 0.0007677573541457769
Position 7306: 0.0007619310098704233
Position 11324: 0.0007434952075103264
Position 13569: 0.0007067876566240869
Position 882: 0.0006929356949593046
Position 6046: 0.0006643933931213034
Position 1027: 0.0006627969570089027
Position 1154: 0.0006564632787974167
Position 1146: 0.0006020057319494597
Position 2323: 0.0005975310529909699
Position 2048: 0.0005780224862710752
Position 2716: 0.0005749853542705136
Position 7629: 0.0005732873325397126
Position 5539: 0.0005709819605414616
Position 7383: 0.0005381034122655343
Position 5126: 0.000521575611069083
Position 956: 0.0004963907659004457
Position 7333: 0.0004932972357163294
Position 3124: 0.0004806158384607275
Position 11720: 0.000470986557425451
Position 14047: 0.00045731129040096533
Position 10494: 0.0004502284695015553
Position 14454: 0.000446847233564067
Position 1622: 0.00040578444508618255
Position 3182: 0.0003958445872055571
Position 3827: 0.00034936424215738124
Position 1495: 0.00033642996618474025
Position 950: 0.00027150256357826946
Position 283: 0.000223917802000068
Position 2797: 0.0002155186860933972
Position 10427: 0.00019843473092872623
Position 10775: 0.0001922928362794061
Position 2900: 0.00018513036405769386
Position 3273: 0.00017511530330715605
Position 76: 0.00017372751666494196
Position 14698: 0.0001565098953167249
Position 2071: 0.00015609077807279736
Position 8024: 0.00014254019486522327
Position 10849: 9.367936255881322e-05
Position 1672: 7.279588906642012e-05
Position 11225: 7.12067284872332e-05
Position 11760: 7.103005079774648e-05
Position 14524: 6.317975901829544e-05
Position 17446: 4.468504301317616e-05
Position 82: 3.8952078183919106e-05
Position 716: 2.9326982350671772e-05
Position 734: 2.843148768023e-05
Position 168: 2.7916515343189273e-05
Position 16919: 2.589648568676787e-05
Position 377: 1.0907747586436267e-05
Position 14834: 1.0764652277936222e-05
Position 13081: 9.723273430555214e-06
Position 175: 9.100307980857474e-06
Position 819: 8.989494196107207e-06
