Gene = UBE2H
index = 1519
Annotated 5SS: [   447  72055  73382  94048  95439 113743]
Annotated 3SS: [ 71977  73306  94007  95385 113613 117887]
SMsplice 5SS: [   447  31819  55849  73382  94048  95439 103976 113743]
SMsplice 3SS: [ 31709  55698  73306  94007  95385 103871 113613 114364]
top_k =  1000
Partition function (log Z): -60.5902120130866

Sorted 5' Splice Sites (High to Low Probability):
Position 447: 0.6837455038835564
Position 68: 0.29074396666929003
Position 3991: 0.12479983717513994
Position 2896: 0.09525532386832558
Position 7593: 0.08705926628913555
Position 678: 0.024396359751046096
Position 7359: 0.022899056237626916
Position 1154: 0.02122576707286684
Position 489: 0.016907832374654784
Position 4901: 0.011764851208755587
Position 4027: 0.011389121101537548
Position 60: 0.008879234051201548
Position 3011: 0.00720063426321004
Position 475: 0.006219559127004479
Position 3594: 0.005300794956869277
Position 1238: 0.005194948195055786
Position 1672: 0.00448765896079274
Position 1232: 0.004305166266451976
Position 3: 0.003590174113194048
Position 1243: 0.0033952491601532387
Position 2891: 0.0031722557866511853
Position 1479: 0.00243570246917204
Position 5870: 0.002103871363876046
Position 4396: 0.001953825067881273
Position 7679: 0.0016644010965106957
Position 5874: 0.001336872932787407
Position 4006: 0.0012426259636705407
Position 5703: 0.0009928928726464549
Position 5736: 0.0009871733325406387
Position 436: 0.0006732740956038131
Position 1467: 0.0005547655197815869
Position 789: 0.00023187689325548287
Position 2730: 0.00022909668295359974
Position 479: 0.00019289765408567726
Position 2998: 0.00015237204493335655
Position 238: 0.00014446030354407956
Position 477: 0.00012486331165328818
Position 1150: 9.951009450623891e-05
Position 439: 9.699164676087005e-05
Position 1102: 7.624036073811725e-05
Position 1794: 2.811431738309581e-05
Position 196: 2.7751643882274327e-05
Position 228: 2.2835036115686096e-05
Position 1016: 2.2245135903002767e-05
Position 1765: 2.173686137796953e-05
Position 3319: 2.1389293127233926e-05
Position 1810: 2.0412405712950832e-05
Position 3315: 1.9955019297604734e-05
Position 2707: 1.4339084821619092e-05
Position 2758: 1.3688370801470097e-05
Position 1005: 7.6094205643135835e-06
Position 407: 7.562009105729628e-06
Position 491: 7.239900698226563e-06
Position 3351: 6.71367842736723e-06
Position 286: 6.6393026966764114e-06
Position 2816: 5.569150161860493e-06
Position 1429: 3.076877805875052e-06
Position 1883: 2.8950825261607e-06
Position 72: 1.5950065945510857e-06
Position 552: 1.5590123722128568e-06
Position 4718: 1.4822522760641673e-06
