Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  1000
Partition function (log Z): -4.432791052485719

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9971782520549451
Position 630: 0.6110633306297166
Position 870: 0.06549200734945686
Position 591: 0.036345073461640086
Position 917: 0.03369564667530625
Position 624: 0.025709770258417353
Position 967: 0.015464217588778546
Position 829: 0.011119630107389943
Position 986: 0.003945643622988273
Position 152: 0.0013432025982020852
Position 961: 0.001263446006553751
Position 1114: 0.0011605832320130348
Position 678: 0.0005200998525941013
Position 855: 0.0004493313393197058
Position 193: 0.0003078114955589376
Position 77: 0.00023319612883988133
Position 606: 0.00022527513512214388
Position 1202: 0.00021875839563172952
Position 1009: 0.00017608082766303686
Position 564: 0.0001518819757490397
Position 921: 0.00011142214405233043
Position 955: 0.00010514482709728872
Position 1118: 4.262964329801748e-05
Position 1062: 2.8419911592853717e-05
Position 651: 2.3111139627667067e-05
Position 1204: 1.1748565215965055e-05
Position 686: 1.0102738312825178e-05
Position 613: 9.680866157073943e-06
Position 1195: 8.80439084502367e-06
Position 1057: 7.291815602393055e-06
Position 1234: 6.783560689223363e-06
Position 807: 4.091308432434604e-06
Position 805: 3.5876399571572366e-06
Position 715: 3.313864792734011e-06
Position 369: 2.060969765975892e-06
Position 832: 1.9389122415861583e-06
Position 1007: 1.7791506506432196e-06
Position 942: 1.7764967950468678e-06
Position 338: 1.4078864587441927e-06
Position 958: 1.0729716999222667e-06
Position 202: 4.857627234095463e-07
Position 233: 3.560941027598271e-07
Position 4: 7.557806366378009e-08
Position 427: 3.0045937063723135e-08
Position 451: 2.385935433097183e-09
Position 438: 6.978583010853836e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6483833863282027
Position 799: 0.2870454747115093
Position 491: 0.24635646747786719
Position 1167: 0.18164424550096642
Position 727: 0.1371928013453501
Position 1070: 0.0757055158292677
Position 767: 0.05499275878086684
Position 457: 0.0530562149768474
Position 816: 0.02769133941858305
Position 1106: 0.02543540280251557
Position 1295: 0.017904477776908213
Position 1012: 0.011569461366104627
Position 477: 0.010804038039565268
Position 1326: 0.005594194558183083
Position 427: 0.005189756244122836
Position 1250: 0.003747549783227881
Position 438: 0.0032761079417073925
Position 686: 0.0018730001633129763
Position 813: 0.0016248104281372999
Position 1200: 0.0014508203965152883
Position 972: 0.0006798216688399622
Position 1101: 0.0006715022506854301
Position 731: 0.0006310400407556688
Position 1347: 0.0005506645067324347
Position 1078: 0.0004783876356639356
Position 819: 0.0003684912931029707
Position 769: 0.00034137707682288716
Position 246: 0.0003258657023391395
Position 1170: 0.0002835614082532448
Position 493: 0.0001749848373443323
Position 184: 0.00014714626961668487
Position 935: 0.00011673860361154328
Position 938: 0.00011468901506233667
Position 243: 0.00011091424492249151
Position 1109: 0.0001093360731862115
Position 976: 9.812624083759884e-05
Position 1234: 8.564741514618662e-05
Position 528: 8.266678008303858e-05
Position 497: 7.642396325338188e-05
Position 1000: 7.109808444612772e-05
Position 1350: 6.343241786208692e-05
Position 1072: 6.001699160866313e-05
Position 572: 5.0593595088099764e-05
Position 223: 2.7368874856862738e-05
Position 1352: 2.627843895411826e-05
Position 824: 2.0415401481477096e-05
Position 1113: 1.7806215513827008e-05
Position 1021: 1.6309880090375346e-05
Position 598: 1.3612812634476388e-05
Position 156: 1.3082968140298535e-05
Position 736: 1.21493141610846e-05
Position 1018: 8.38657888271917e-06
Position 534: 8.247949901228702e-06
Position 256: 6.605573806575799e-06
Position 329: 6.556882859286495e-06
Position 499: 6.367288515411738e-06
Position 881: 5.956219901502342e-06
Position 502: 4.586161350776962e-06
Position 202: 4.069614649958114e-06
Position 558: 3.9096189397626126e-06
Position 357: 3.542331359951496e-06
Position 537: 2.9499460208391047e-06
Position 1016: 1.6779680029779726e-06
Position 189: 1.6342861987330343e-06
Position 228: 1.5203066897578672e-06
Position 240: 1.214460384048262e-06
Position 251: 1.1236065266452804e-06
Position 1143: 1.109438718631784e-06
Position 543: 8.341187830727244e-07
Position 522: 6.753511876678929e-07
Position 603: 4.3777561495475094e-07
Position 264: 2.2932878557370387e-07
Position 276: 2.079581538586545e-07
Position 191: 2.0231683133192452e-07
Position 369: 1.3738350886942013e-07
Position 611: 1.3445664230600145e-07
Position 618: 1.005055558610116e-07
Position 274: 9.779950668965937e-08
Position 513: 7.875985206473112e-08
Position 507: 7.410347544522016e-08
Position 509: 7.40844323710319e-08
Position 210: 6.617528624582983e-08
Position 828: 5.576260979116309e-08
Position 613: 5.359483482751952e-08
Position 233: 2.6375603551317916e-08
Position 623: 2.084044871565264e-08
Position 876: 6.4222674198393335e-09
Position 629: 3.476931870680497e-09
Position 333: 3.2014503769320152e-09
Position 135: 1.5290182552770564e-09
Position 837: 9.617697866341566e-10
Position 124: 6.885189274581242e-10
Position 845: 6.148530862219314e-10
Position 115: 5.855721166901935e-10
Position 389: 4.618422893430831e-10
Position 839: 4.248319702422471e-10
Position 385: 1.2255217868368497e-10
Position 91: 1.2223509945866405e-10
Position 382: 2.553130126508548e-11
Position 380: 2.1416172126611343e-11
Position 338: 1.4699498955076303e-12
Position 832: 7.757795190625376e-13
