Gene = SSU72
index = 1344
Annotated 5SS: [  392 10097 30007 31001]
Annotated 3SS: [ 9952 29866 30881 32701]
SMsplice 5SS: [  263 10097 10536 12136 30007 31001]
SMsplice 3SS: [ 9952 10453 12003 29866 30881 32701]
top_k =  1000
Partition function (log Z): -5.079662992403862

Sorted 5' Splice Sites (High to Low Probability):
Position 263: 0.8247468538380138
Position 10097: 0.7964217006997247
Position 12136: 0.7073661316059304
Position 31001: 0.6111734830813862
Position 10536: 0.5850217655535209
Position 22813: 0.3842548202735369
Position 10520: 0.3094992141220578
Position 392: 0.12905843208107823
Position 16585: 0.10143474811025052
Position 15590: 0.09428024686886796
Position 10265: 0.0927391880901556
Position 10299: 0.08749975743983705
Position 13538: 0.07789620983566944
Position 13289: 0.07603566771410833
Position 32789: 0.07450500634743254
Position 22558: 0.06226726377497442
Position 11952: 0.05715329632668292
Position 9307: 0.052753718039775244
Position 15637: 0.04596063491726455
Position 13261: 0.03619457253745105
Position 13231: 0.0352929583266449
Position 22395: 0.03479630445718125
Position 6860: 0.030796961653104315
Position 10801: 0.02952489125402224
Position 7240: 0.026312492473888595
Position 10064: 0.022623286383431543
Position 5438: 0.021792842476690336
Position 22801: 0.020648538384528528
Position 10383: 0.020558370979505716
Position 974: 0.019075725159311267
Position 268: 0.01835306308493306
Position 4912: 0.017980406393634744
Position 5559: 0.016535406638241903
Position 7552: 0.015817494673276766
Position 4701: 0.01300707211350071
Position 9426: 0.012907314277495854
Position 10317: 0.012679633219168741
Position 9472: 0.011535514403864822
Position 9406: 0.011015747474758341
Position 22726: 0.010077535808987747
Position 1324: 0.007654737323061648
Position 10525: 0.00661403595756105
Position 3350: 0.005919601488358677
Position 1073: 0.005856715680417035
Position 12012: 0.0058546589003785334
Position 5622: 0.005569158276795452
Position 16225: 0.005561241016676602
Position 5627: 0.005461647908079554
Position 7827: 0.005287553699808987
Position 7704: 0.005096626352898053
Position 14145: 0.0048184136637333935
Position 10149: 0.004645989317962726
Position 566: 0.0037468453938873957
Position 13370: 0.0036855422712288232
Position 149: 0.0036297990970856186
Position 13554: 0.003497092371569541
Position 12911: 0.0033861603325074175
Position 17717: 0.003383939989366715
Position 888: 0.0033354352461384988
Position 1867: 0.0032019842759434002
Position 7223: 0.0026826498570172138
Position 32752: 0.002617488272251006
Position 7593: 0.002437539566871509
Position 13498: 0.002189012062428505
Position 10634: 0.0021675377670178136
Position 19216: 0.0018580251846054999
Position 17197: 0.001651488699527838
Position 6965: 0.0016260626654200233
Position 20015: 0.0015516487435695925
Position 3265: 0.0015480557191263067
Position 18089: 0.0015426020871926432
Position 709: 0.0013648874027850496
Position 14216: 0.0013389242963449683
Position 657: 0.0012419699658205096
Position 11790: 0.0011138378819034308
Position 1372: 0.0010487854291169922
Position 11946: 0.0010156167125947096
Position 510: 0.0009800901473069627
Position 700: 0.0009593733571318948
Position 4090: 0.0009236118702517763
Position 10290: 0.0009022967886209964
Position 772: 0.0008461975767304435
Position 10472: 0.000809053620707056
Position 4423: 0.0008058900174529261
