Gene = SZRD1
index = 1367
Annotated 5SS: [  226 24342 26400]
Annotated 3SS: [24291 26144 27954]
SMsplice 5SS: [  226 26400]
SMsplice 3SS: [26220 27954]
top_k =  500
Partition function (log Z): -20.60699124822807

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9328175179696976
Position 1893: 0.1730614822446324
Position 5904: 0.17054894855165184
Position 9352: 0.11328726159088773
Position 170: 0.04184252132471438
Position 7273: 0.026402980793283216
Position 5716: 0.019339830307818863
Position 5261: 0.012731954203662356
Position 2367: 0.012013210733592659
Position 1649: 0.011391904090825149
Position 272: 0.009294448704631007
Position 7650: 0.008676361860097775
Position 1235: 0.007914431366906597
Position 428: 0.007843384708526035
Position 3951: 0.007153836365681769
Position 1230: 0.007135017908305639
Position 7938: 0.006078008339982062
Position 7632: 0.0049323424601996155
Position 5209: 0.003111860694563652
Position 8172: 0.0023071554159496133
Position 7165: 0.0019920960494508805
Position 2530: 0.0018124744834151336
Position 614: 0.0018062794305884395
Position 2575: 0.0014855603196919363
Position 904: 0.0014668364763896944
Position 5414: 0.001412504645497649
Position 5786: 0.0013279957633536281
Position 5923: 0.0013257041241801911
Position 5698: 0.0012890102520005952
Position 3931: 0.0007656643525292995
Position 296: 0.0007517442393544544
Position 190: 0.0006653243870748684
Position 1026: 0.0005227028049663621
Position 5375: 0.0005095859292482522
Position 146: 0.00042999218953525086
Position 6062: 0.0003713712007312536
Position 5696: 0.00036563357501400714
Position 933: 0.000354287883046598
Position 6355: 0.0003227321726646028
Position 1198: 0.00032120229975172396
Position 5332: 0.00017140329009419805
Position 1544: 0.00014144387126251555
Position 1323: 0.00010717781152100695
Position 822: 0.00010279015153627528
Position 1206: 9.444205820201423e-05
Position 82: 9.327646648604431e-05
Position 4236: 6.694482968179445e-05
Position 2593: 6.441186629395143e-05
Position 5177: 6.352832828808158e-05
Position 624: 4.647856517002858e-05
Position 1329: 4.33049428420025e-05
Position 1518: 4.220802336039473e-05
Position 3994: 4.192916323116502e-05
Position 1401: 3.093294916092531e-05
Position 1319: 2.4701637190610923e-05
Position 22: 3.2464603643899655e-06
Position 755: 2.6625040840811376e-06
Position 73: 2.1960957161570045e-06
Position 652: 9.273827925516054e-07
Position 942: 9.038199293161103e-07
Position 912: 8.397520586297804e-07
Position 2283: 7.06603804616502e-07
Position 802: 6.075678430313003e-07
Position 768: 5.301173495805703e-07
Position 920: 4.894539409872369e-07
Position 926: 3.308410315892696e-07
Position 621: 3.0468076847025504e-07
Position 618: 2.861055687985261e-07
Position 1204: 2.6083181251551335e-07
Position 1273: 1.63927436757605e-07
Position 985: 1.1027451522946348e-07
Position 763: 8.639457988059055e-09
Position 526: 6.047899243267777e-09
Position 581: 4.834693555334967e-09
Position 536: 3.9208582563446915e-09
Position 345: 3.7130715321303477e-09
Position 558: 9.162070864295901e-10
Position 348: 5.907108008772977e-10
Position 806: 1.5552720200091052e-10
Position 242: 2.8728699154511926e-12
Position 94: 4.654346277456002e-13
Position 587: 2.936103397924365e-13
Position 307: 5.207750017031657e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 17749: 0.2758213228193
Position 5548: 0.2609428379704095
Position 7815: 0.22380491006139486
Position 17768: 0.19092692106840403
Position 1795: 0.15919317225387952
Position 9248: 0.1253996021295832
Position 10987: 0.059645339743146765
Position 7060: 0.04508684322340576
Position 5062: 0.044782299948498035
Position 2959: 0.0185236421599138
Position 12057: 0.016217965963411848
Position 1096: 0.013317569744217569
Position 16156: 0.01306485200523944
Position 11032: 0.013020109866418609
Position 3798: 0.010578722900790786
Position 6540: 0.010297065964796449
Position 1423: 0.01002108610579215
Position 1654: 0.009864530324961462
Position 2282: 0.00927862221828531
Position 7463: 0.00779047182249132
Position 12698: 0.00585307661436464
Position 5683: 0.005363450697636923
Position 2428: 0.0051951543019535616
Position 5803: 0.005084640924044135
Position 5750: 0.0050804118590188525
Position 8871: 0.0047439283885197
Position 1601: 0.003977585042104549
Position 1574: 0.0034235438778160597
Position 7502: 0.0033706163089590947
Position 5058: 0.0030108379271836317
Position 7605: 0.0023467850236815217
Position 8152: 0.0018876239324438426
Position 7555: 0.0016601280765416741
Position 3903: 0.0016055362770970888
Position 2218: 0.0015149879269400418
Position 11223: 0.0014056933558616606
Position 10817: 0.001276382353251364
Position 4133: 0.0012398536777193782
Position 1817: 0.0011730087785763274
Position 4911: 0.001152003609403621
Position 1070: 0.001144182224055269
Position 10919: 0.0010669810833783095
Position 2023: 0.0009703496014180134
Position 1197: 0.0009561294994995576
Position 6609: 0.0009517039776149861
Position 10717: 0.0009426098968390377
Position 6167: 0.0008884274855746606
Position 2147: 0.0007753059654487447
Position 10023: 0.0007290645424654833
Position 8413: 0.0006120648255216452
Position 6170: 0.0005752100700399294
Position 7194: 0.0005549025545025597
Position 844: 0.0005224767029598123
Position 6560: 0.0005201203560051473
Position 8277: 0.0005000385296826343
Position 3237: 0.00043226075352067865
Position 1631: 0.00041003870797358535
Position 1386: 0.0004099551688362688
Position 1502: 0.0004092853249827032
Position 1020: 0.0003620173202032955
Position 6773: 0.00034298194937328237
Position 3074: 0.0003070130496966279
Position 1098: 0.0003047742245518724
Position 3598: 0.00029984679683880413
Position 3476: 0.0002816675662733255
Position 883: 0.0002511523747152018
Position 4206: 0.00024971266384316574
Position 4423: 0.00024490291543181853
Position 2214: 0.00023872264403886968
Position 4153: 0.00022514105951671287
Position 3983: 0.00021927793647155116
Position 797: 0.00021330281335795682
Position 6876: 0.00018627996960668297
Position 6940: 0.0001828639719815177
Position 6536: 0.00017092193571221226
Position 5092: 0.00016630007951763605
Position 6704: 0.00016161381443314304
Position 2341: 0.00015821642475312612
Position 3572: 0.00015067504408702723
Position 665: 0.00013409586700498366
Position 3187: 0.0001316808233722129
Position 2890: 0.00011848047467114158
Position 4399: 0.00011542536201440072
Position 3930: 0.00011376130294789829
Position 6248: 0.00011109715559540793
Position 581: 0.00010584253174444426
Position 3825: 0.0001010695867716569
Position 2290: 9.928804730850725e-05
Position 1935: 9.419342146547969e-05
Position 4837: 8.031032544527577e-05
Position 3736: 7.969577932709713e-05
Position 5524: 7.718793785173549e-05
Position 4129: 7.531843163677094e-05
Position 3168: 6.536818879317898e-05
Position 2140: 6.467864452054766e-05
Position 1368: 6.0278755627886265e-05
Position 3655: 5.859684819665452e-05
Position 2055: 5.2066937010406744e-05
Position 1260: 5.1896154300567636e-05
Position 4226: 4.778874072934463e-05
Position 903: 4.271325492851462e-05
Position 318: 3.4538241678045185e-05
Position 2440: 3.4509140021942315e-05
Position 1617: 3.3212358669887484e-05
Position 2124: 3.0322450746344148e-05
Position 1336: 2.9294286225719552e-05
Position 3325: 2.926249696933475e-05
Position 2499: 2.388326635879603e-05
Position 2557: 2.2263107301654128e-05
Position 867: 2.0599902270224562e-05
Position 931: 1.9370803892565213e-05
Position 322: 1.82962089219692e-05
Position 1514: 1.5878089828012978e-05
Position 1131: 1.1981930048283778e-05
Position 644: 9.80462629331736e-06
Position 1543: 9.689819318824164e-06
Position 1605: 9.308944769346377e-06
Position 1710: 8.979711244405e-06
Position 1457: 8.868117815718277e-06
Position 1442: 7.66296321430976e-06
Position 800: 5.148759135874889e-06
Position 813: 5.105195613217464e-06
Position 1533: 4.878220242278772e-06
Position 1693: 3.926692655747338e-06
Position 1850: 3.5326108826115067e-06
Position 307: 2.7389537010378887e-06
Position 817: 2.6859027128537894e-06
Position 2192: 2.567087672622933e-06
Position 1003: 2.2629334804737136e-06
Position 1029: 1.8997693820611906e-06
Position 1887: 1.6807346172417614e-06
Position 253: 1.444102493831584e-06
Position 1822: 1.280693572732449e-06
Position 950: 7.928974933052976e-07
Position 1319: 7.511712987078084e-07
Position 1316: 7.303628929881213e-07
Position 355: 4.522089123179981e-07
Position 363: 3.7306038036325356e-07
Position 854: 1.3611670191929918e-07
Position 909: 6.006077901565743e-08
Position 1879: 5.451846767838493e-08
Position 821: 1.1215308877610203e-08
Position 392: 8.969264958286753e-09
Position 802: 7.040531814987642e-09
Position 303: 6.085513441942241e-09
Position 670: 5.913675594492657e-09
Position 647: 2.3078239363830482e-11
