Gene = SELENBP1
index = 1242
Annotated 5SS: [  96 3021 3292 3730 4535 6012 6459 6966 7171 7545 7808]
Annotated 3SS: [2963 3178 3543 4413 5828 6279 6886 7048 7451 7688 8027]
SMsplice 5SS: [  96 3021 3292 4535 6012 6459 6966 7171 7545 7808]
SMsplice 3SS: [2897 3178 4413 5828 6279 6886 7048 7451 7688 8027]
top_k =  500
Partition function (log Z): 9.238748794320276

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9981907396381247
Position 4535: 0.9759944539604138
Position 7808: 0.9623587223409744
Position 6966: 0.9571432656769372
Position 7545: 0.9116020744865498
Position 3021: 0.845865731622886
Position 6459: 0.6487017414725912
Position 3292: 0.6399841731358932
Position 7171: 0.6278857985138091
Position 6012: 0.5788344864504027
Position 3623: 0.20129538097544358
Position 3652: 0.1922441702405158
Position 7128: 0.1778519783628553
Position 7271: 0.12305993467121465
Position 6797: 0.09995997841875905
Position 3865: 0.06566828600674338
Position 3784: 0.06412324110607102
Position 4186: 0.05006069697383132
Position 3921: 0.044249282879280004
Position 5718: 0.03711929580967696
Position 494: 0.03461976488290072
Position 3636: 0.03427085426464783
Position 4996: 0.030875567268494532
Position 4338: 0.025708875862100935
Position 4868: 0.02520564081783742
Position 6284: 0.024422159486100537
Position 5920: 0.01941627659232082
Position 3694: 0.016326322894474717
Position 4347: 0.013494227540322335
Position 2901: 0.00960553354047625
Position 3273: 0.007893570121356023
Position 2632: 0.0070772859253228045
Position 370: 0.0053217738406599
Position 2184: 0.004169496716256402
Position 1699: 0.004138011601632972
Position 7290: 0.004065158782489029
Position 4654: 0.003815074064325882
Position 5535: 0.0037421996292078532
Position 2592: 0.0035423884317755906
Position 450: 0.003469775593993761
Position 5864: 0.0028615861088443907
Position 524: 0.002750944482625334
Position 7261: 0.002060781224268559
Position 2639: 0.0019344643381251532
Position 2755: 0.0017398981275727919
Position 5078: 0.0015855941379200199
Position 6920: 0.0015643707984525114
Position 1787: 0.0014850941011466925
Position 1451: 0.001297056406719647
Position 7932: 0.0010940254047572535
Position 2661: 0.000710860383724472
Position 866: 0.0006991814667482644
Position 3688: 0.000648226704824512
Position 7234: 0.0006447982217494543
Position 3282: 0.0006137198092398423
Position 2973: 0.0005489744605880603
Position 424: 0.0005136450742530454
Position 3034: 0.00040263708487541314
