Gene = MXRA8
index = 901
Annotated 5SS: [  80 1855 3086 3292 3854 4182 4343 4506 4688]
Annotated 3SS: [1830 2782 3189 3382 4025 4302 4428 4606 4905]
SMsplice 5SS: [  80 3086 3292 4182 4343 4506 4688]
SMsplice 3SS: [2782 3189 4025 4302 4428 4606 4905]
top_k =  500
Partition function (log Z): 2.3458485241376144

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.9571184741117043
Position 4688: 0.9379944991465499
Position 3292: 0.9219582923443593
Position 4182: 0.9020009161596998
Position 3086: 0.7638666488225374
Position 4506: 0.7601253783967098
Position 4343: 0.5207313901692634
Position 2833: 0.17693388251364323
Position 3854: 0.1238084469591919
Position 3514: 0.08013738336180294
Position 1855: 0.07806225169015897
Position 4224: 0.04484907941220554
Position 1640: 0.035214427529871604
Position 3421: 0.02920111385609199
Position 1411: 0.014163479184008381
Position 105: 0.01406916871453345
Position 394: 0.012365564314465312
Position 5064: 0.011240193353979284
Position 186: 0.0081515616786671
Position 4286: 0.007067701862839269
Position 5286: 0.005420084547649507
Position 3662: 0.004820855071796988
Position 4488: 0.004156105528089421
Position 2164: 0.003727030397534428
Position 208: 0.003713463161034407
Position 2566: 0.002814431591192556
Position 2887: 0.0027343414245677173
Position 1119: 0.002210365634399381
Position 3115: 0.0021335492090435674
Position 3463: 0.0019327775805227593
Position 541: 0.0014549045313686883
Position 1026: 0.0013934787849839694
Position 1683: 0.001355489326465625
Position 427: 0.0013223155722862732
Position 1679: 0.0012895857437138127
Position 3006: 0.0012539605591210398
Position 5396: 0.0011008341653881203
Position 133: 0.0010363765679026232
Position 3478: 0.000972737591841152
Position 3279: 0.000944626786836079
Position 3677: 0.0009063085474890827
Position 1155: 0.0008963989605144763
Position 1715: 0.000891613455173486
Position 3496: 0.0006836363973208674
Position 4145: 0.0006655836797402313
Position 3585: 0.0005156593172714396
Position 3694: 0.0004964214196417499
Position 390: 0.0004962474880194864
Position 2860: 0.0004321558497889694
Position 2250: 0.0003521453419403742
Position 4401: 0.00032212360826344943
Position 2615: 0.00031853491837764345
Position 1416: 0.00031844198995649903
Position 86: 0.00030061058692694946
Position 119: 0.00029328524341438826
Position 3127: 0.00028870124703827817
Position 1932: 0.00028718216072307675
Position 3517: 0.0002838904686238622
Position 3544: 0.0002669088487263785
Position 2791: 0.00024794193583809284
Position 5035: 0.00024240534530328497
Position 1767: 0.00024198910914092993
Position 257: 0.00020072761999045006
Position 4668: 0.00018320610295633234
Position 3296: 0.0001738765270278203
Position 3637: 0.00015368334625945543
Position 3430: 8.232588854242282e-05
Position 1008: 7.262983817452936e-05
Position 3775: 6.486266671309993e-05
Position 991: 5.9752774895150115e-05
Position 1240: 4.6691651044845704e-05
Position 1541: 3.3242220929444225e-05
Position 947: 2.2690106638424244e-05
Position 1689: 2.2675231446893618e-05
Position 704: 1.8938541244804865e-05
Position 127: 1.5016682423637837e-05
Position 1555: 1.4439550605485232e-05
Position 4325: 1.2413167065883994e-05
Position 84: 9.153126438344787e-06
Position 1324: 5.644887621072448e-06
Position 1522: 5.17183290590529e-06
Position 1107: 5.091146277090662e-06
Position 3267: 4.238130310768472e-06
Position 67: 3.748562644279142e-06
Position 1440: 3.513996811891504e-06
Position 1662: 3.345790559335606e-06
Position 1341: 3.275573597114726e-06
Position 803: 3.0786821436167835e-06
Position 613: 2.9660634872807953e-06
Position 4834: 1.4474391657076285e-06
Position 4976: 1.9488526921878889e-07
Position 245: 1.3407972592152698e-07
Position 337: 1.3388890125185289e-07
Position 112: 1.0281076384718414e-07
Position 178: 7.760755298267996e-08
Position 289: 2.221469758096778e-08
Position 398: 8.09111905124633e-10
Position 381: 7.857443563379745e-10
Position 137: 5.170282439097342e-10
Position 422: 6.310292098180671e-11
Position 250: 5.4137196631904496e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4606: 0.9738078405870336
Position 4025: 0.9437212201816284
Position 3189: 0.919970075756271
Position 2782: 0.7379904539031829
Position 4428: 0.5647119809396012
Position 4302: 0.5078260411084516
Position 4905: 0.31432469591266254
Position 3382: 0.2177529121570728
Position 5097: 0.18795803426661076
Position 5600: 0.17181032045763978
Position 4398: 0.15898497379451093
Position 5202: 0.13487586427888063
Position 1830: 0.0723128751362831
Position 2810: 0.045408934147350914
Position 5501: 0.042001670008020506
Position 2898: 0.04143577515278063
Position 5779: 0.039778870958521936
Position 5028: 0.033374818094584154
Position 1536: 0.029269132030300852
Position 4099: 0.02693393959327447
Position 3000: 0.024754969230576445
Position 4377: 0.02207892715540503
Position 4801: 0.021063178503150797
Position 2680: 0.020826494931846722
Position 2733: 0.018625778339511654
Position 2919: 0.018188378147737997
Position 2651: 0.012811575968476397
Position 2604: 0.011683453252820837
Position 3684: 0.009246069437047462
Position 1498: 0.007894211858187004
Position 2874: 0.007311142567572499
Position 3980: 0.007100657014108164
Position 5318: 0.007040661333861017
Position 1228: 0.007035445343325335
Position 4096: 0.006668076319790489
Position 1244: 0.005773941670477869
Position 4432: 0.004685047108154418
Position 2741: 0.004248415430202095
Position 3693: 0.003755578474564306
Position 3158: 0.0032936903614172877
