Gene = DDX41
index = 437
Annotated 5SS: [ 551  745 1182 1351 1541 1785 2284 2554 2769 3785 4117 4459 4690 4974
 5148 5374]
Annotated 3SS: [ 633 1021 1275 1479 1647 2210 2399 2631 3621 3984 4386 4592 4823 5075
 5262 5541]
SMsplice 5SS: [ 551  745 1351 1541 1785 2554 2769 3297 3785 4117 4459 4690 4974 5148
 5374]
SMsplice 3SS: [ 633 1275 1479 1647 2399 2631 3180 3621 3984 4386 4592 4823 5075 5262
 5541]
top_k =  500
Partition function (log Z): 35.088669376732

Sorted 5' Splice Sites (High to Low Probability):
Position 745: 0.9983953944648916
Position 5148: 0.9971449706139965
Position 4974: 0.981530852531761
Position 1351: 0.9423800451685073
Position 1541: 0.9398407579987853
Position 551: 0.8978415666553661
Position 4690: 0.8731840828770913
Position 3785: 0.861985689953848
Position 4117: 0.8510617669969845
Position 2554: 0.8227345822429343
Position 2769: 0.7836346818896494
Position 4459: 0.6436889573828947
Position 1785: 0.6179560734534589
Position 3297: 0.4504193205118496
Position 5374: 0.43626366965692753
Position 1182: 0.3780056564795646
Position 2284: 0.34214426597521325
Position 1737: 0.32849329042972
Position 5334: 0.27271344935284186
Position 4341: 0.2647131022555726
Position 3312: 0.18255148752534056
Position 3380: 0.14997812427450133
Position 2876: 0.14545221993779528
Position 5625: 0.14340344365532862
Position 223: 0.14113370261044336
Position 5413: 0.11166326086676752
Position 4125: 0.09642857428209116
Position 5316: 0.09609133672641806
Position 2916: 0.06514637115498494
Position 1083: 0.03515736266483223
Position 1379: 0.029556187337636736
Position 2949: 0.02020023749574442
Position 3753: 0.014251071102038647
Position 5464: 0.013126781403615442
Position 5444: 0.009499387296722641
Position 1371: 0.008016495554191393
Position 3100: 0.007288962880894739
Position 1945: 0.006917037462808564
Position 5453: 0.00680633196973775
Position 173: 0.00630506773311085
Position 3035: 0.004895430281262829
Position 1774: 0.004290348357970204
Position 3683: 0.003997951483133713
Position 3483: 0.003841172306424134
Position 4078: 0.003686510701670669
Position 2175: 0.0027905786117246455
Position 4057: 0.002728791003976585
Position 4390: 0.002704315441374086
Position 5426: 0.002486736466253374
Position 909: 0.002120503701111248
Position 5435: 0.0019086603440527934
Position 3345: 0.0018966101670005288
Position 3004: 0.0018063740200991195
Position 3430: 0.0017844067980973127
Position 1580: 0.0015619180371534188
Position 2197: 0.0012240142956664128
Position 1833: 0.0011593812452777585
Position 1517: 0.001072534225175442
Position 5354: 0.0010417284290155158
Position 1356: 0.0008708500814317066
Position 1136: 0.0008675611552357123
Position 4538: 0.0007677743558376541
Position 25: 0.0007490342993283003
Position 338: 0.0007425030714819519
Position 4659: 0.0007162524793500588
Position 758: 0.0006704345094457353
Position 2736: 0.0006485510430411284
Position 425: 0.0005712674736765491
Position 3283: 0.0004750062569171136
Position 1838: 0.00047143387123585754
Position 1359: 0.0004395918604378034
Position 5152: 0.0004221029878822155
Position 1549: 0.00042069843147160427
Position 2880: 0.0004155490199740758
Position 5001: 0.00041327246804657004
Position 277: 0.00032062656348908966
Position 2502: 0.000300318154747683
Position 309: 0.0002871436177288068
Position 2013: 0.0002242077360678206
Position 491: 0.00021331801387280662
Position 1487: 0.00019437723957130192
Position 3117: 0.00016911306006577186
Position 4640: 0.0001615852841476897
Position 3575: 0.00016071997014745847
Position 468: 0.0001548942706430036
Position 4696: 0.00014812288884116862
Position 321: 0.0001398790954109564
Position 1700: 0.0001379651157350825
Position 129: 0.00013534258085437623
Position 4543: 0.0001328775327192944
Position 2812: 0.00011797941864829529
Position 5638: 0.00011121283946888548
Position 5398: 0.0001064520806770944
Position 1724: 8.76400877887893e-05
Position 378: 7.941227328935537e-05
Position 5209: 7.217289559463768e-05
