Gene = Zg16
index = 1203
Annotated 5SS: [  43  757 1049]
Annotated 3SS: [ 694  915 2075]
SMsplice 5SS: [  43 1049]
SMsplice 3SS: [ 915 1552]
Partition function (log Z): -4.668224250149988

Sorted 5' Splice Sites (High to Low Probability):
Position 1049: 0.9052654064915433
Position 43: 0.8190601763999065
Position 757: 0.31318939186510075
Position 1824: 0.20734819634616386
Position 464: 0.13953676352864866
Position 1018: 0.05708407190476382
Position 127: 0.047428843731390315
Position 2083: 0.04328903915564619
Position 1441: 0.013892280770794598
Position 1069: 0.01323108748629768
Position 1432: 0.004284319849377463
Position 840: 0.003980096553807457
Position 359: 0.0033444492306079626
Position 1044: 0.002563055691099575
Position 855: 0.002295953310526027
Position 1891: 0.002022094829481738
Position 1854: 0.0018746595526462583
Position 111: 0.0017407736107352039
Position 955: 0.001662423811947367
Position 1026: 0.0010404195822235865
Position 301: 0.0010355833558387132
Position 1865: 0.0009076473235682339
Position 607: 0.0008210853151330523
Position 2113: 0.0007653342602294612
Position 799: 0.0006328629885407189
Position 837: 0.000532689705304467
Position 1436: 0.0004940990589040361
Position 205: 0.00043775532363712823
Position 1936: 0.00041924125821866265
Position 216: 0.0004101534922727989
Position 1470: 0.0003676614442181199
Position 1622: 0.00029855977114785325
Position 639: 0.0002925675217548836
Position 1738: 0.0002872809516035788
Position 1610: 0.00027031155601122536
Position 1323: 0.0002632692873060907
Position 234: 0.00024802997433047083
Position 1960: 0.0002479237509510493
Position 559: 0.0002450143297847923
Position 157: 0.00023799610932213417
Position 2176: 0.00022049072437117377
Position 1869: 0.00020545760025417116
Position 196: 0.0001961277089375245
Position 820: 0.00018660958864895148
Position 1669: 0.00017527070809219316
Position 2267: 0.00015798643056407098
Position 711: 0.00015176657510066407
Position 1968: 0.0001434794981988543
Position 1360: 0.00013941553628089173
Position 761: 0.00010400081857786546
Position 93: 9.240870930392512e-05
Position 1908: 8.392040422934392e-05
Position 427: 7.859498677630273e-05
Position 1404: 7.764468911724623e-05
Position 704: 7.761002643014331e-05
Position 2187: 7.410751499882383e-05
Position 152: 7.009575941119174e-05
Position 404: 6.953684184185478e-05
Position 1753: 5.118854580004189e-05
Position 1055: 5.031795382963958e-05
Position 1544: 4.691459389182743e-05
Position 468: 4.46213690305313e-05
Position 1613: 4.4400768895559894e-05
Position 251: 4.2538212838317315e-05
Position 142: 4.190791921360922e-05
Position 1063: 4.168829692493488e-05
Position 2117: 3.739988169710578e-05
Position 1677: 3.72054833911989e-05
Position 723: 3.564404817832437e-05
Position 1371: 3.189572448455982e-05
Position 1599: 3.107982341535246e-05
Position 1342: 2.854772140274137e-05
Position 1461: 2.8466626843216997e-05
Position 2218: 2.7144365164381046e-05
Position 1434: 2.6937584848109903e-05
Position 2105: 2.6358188775041467e-05
Position 1189: 2.2709954623619627e-05
Position 1790: 2.1567321954156093e-05
Position 1750: 2.0751969702576204e-05
Position 1153: 2.022391392227014e-05
Position 1735: 1.9449838716555723e-05
Position 1363: 1.785777471231518e-05
Position 2200: 1.5329258663191376e-05
Position 1856: 1.3468438343297668e-05
Position 947: 1.1659383848224296e-05
Position 2075: 1.1597784395495882e-05
Position 329: 1.1567801479237161e-05
Position 47: 1.0776558290547517e-05
Position 1873: 1.0559040896112267e-05
Position 1382: 9.590471492811293e-06
Position 2035: 9.550605056898581e-06
Position 1845: 8.849544202784528e-06
Position 1396: 8.793468376770662e-06
Position 1150: 8.781664898768755e-06
Position 1919: 8.752087415788192e-06
Position 2299: 8.611381460767282e-06
Position 1073: 8.558964249144347e-06
Position 331: 7.965842857997278e-06
Position 2167: 7.311047119544156e-06
Position 2042: 6.4498871548198725e-06
Position 338: 6.234359230434727e-06
Position 1083: 6.218827178202021e-06
Position 486: 5.8696427958430096e-06
Position 1867: 4.8387660938856e-06
Position 1875: 4.707250180863454e-06
Position 317: 4.705307773789328e-06
Position 797: 4.583980325678193e-06
Position 552: 4.519741537473287e-06
Position 1464: 4.315125477907434e-06
Position 733: 4.124267651860775e-06
Position 429: 4.041070350603675e-06
Position 320: 3.928439917097075e-06
Position 2278: 3.787477275875275e-06
Position 2315: 3.5774610241332714e-06
Position 2100: 3.538637679269218e-06
Position 2098: 3.4566904088814367e-06
Position 1940: 3.382189419084345e-06
Position 1406: 3.2661452097481854e-06
Position 648: 2.914297906818307e-06
Position 1335: 2.349264674844581e-06
Position 2306: 2.304255602032676e-06
Position 2014: 2.1356726493010185e-06
Position 1262: 2.1180322940225196e-06
Position 1231: 2.0587205389930585e-06
Position 1982: 1.958854546955009e-06
Position 1206: 1.948797663083592e-06
Position 1897: 1.6321001242384572e-06
Position 1657: 1.5779014258259848e-06
Position 1949: 1.3181570210525664e-06
Position 1134: 1.189167295671185e-06
Position 1585: 9.845288283254407e-07
Position 1684: 7.693477046531734e-07
Position 1895: 7.405326128654872e-07
Position 1100: 5.917881356796049e-07
Position 1108: 5.909515562353978e-07
Position 1493: 4.328796148892232e-07
Position 2044: 3.6622526182868307e-07
Position 1125: 3.35553531226102e-07
Position 2448: 3.304821294047062e-07
Position 920: 1.823797325260905e-07
Position 1255: 1.821848297769379e-07
Position 2431: 1.6179083638960155e-07
Position 2420: 1.5632664719608642e-07
Position 870: 1.3164589873568212e-07
Position 2425: 9.275272181548059e-08
Position 2178: 7.517302090096786e-08
Position 1273: 7.148495990615311e-08
Position 1963: 7.005693895249268e-08
Position 1245: 6.416157835093775e-08
Position 940: 6.325736182275322e-08
Position 1258: 4.970633402430165e-08
Position 915: 3.652122425698852e-08
Position 2427: 3.624181123410029e-08
Position 2413: 3.387271718819911e-08
Position 887: 7.789716019559421e-09
Position 2439: 3.258572977110216e-09
Position 2429: 1.448717038828541e-09
Position 2442: 1.0692093234140117e-09
Position 2445: 7.201241188062401e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 915: 0.9205968720287289
Position 1697: 0.34196855170879914
Position 1552: 0.2589992111242031
Position 694: 0.1940079039371039
Position 2075: 0.1426083905295627
Position 2175: 0.11946501413267505
Position 1946: 0.07875517967924625
Position 1273: 0.07691245604445685
Position 1648: 0.06571989351483705
Position 358: 0.062453427178071785
Position 1291: 0.04538696576269898
Position 940: 0.036394025973457006
Position 540: 0.028130255976637163
Position 2315: 0.022889157929921966
Position 2082: 0.019656994977345875
Position 920: 0.01878611336997574
Position 329: 0.015437018431413816
Position 896: 0.00959779095554385
Position 2417: 0.009545880763417619
Position 1773: 0.008315957746711632
Position 632: 0.007596217745071629
Position 2009: 0.007029856768273969
Position 1432: 0.00694366558290995
Position 2338: 0.0064341103395141085
Position 1823: 0.006010108719480091
Position 300: 0.00580477874351855
Position 2208: 0.005202745947552233
Position 508: 0.005044681721423099
Position 2229: 0.004689288739877473
Position 700: 0.004677122544298913
