Gene = CG43218
index = 741
Annotated 5SS: [39]
Annotated 3SS: [95]
SMsplice 5SS: [39]
SMsplice 3SS: [95]
Partition function (log Z): -10.065033515495163

Sorted 5' Splice Sites (High to Low Probability):
Position 39: 0.6138089707051599
Position 101: 0.2515600946459807
Position 272: 0.128721756072584
Position 288: 0.029968375446276375
Position 59: 0.009833254970661811
Position 327: 0.008503492340700669
Position 558: 0.006245332738302104
Position 549: 0.0014781600122540097
Position 34: 0.0012113352777906748
Position 237: 0.0011818604767305002
Position 277: 0.0004914411898106157
Position 565: 0.00041165058996515643
Position 129: 0.00019087624455064146
Position 279: 0.00018356320986654472
Position 584: 0.00018217353124762195
Position 200: 0.0001341494587679217
Position 480: 0.00013027152851782266
Position 154: 7.932054051227393e-05
Position 354: 4.091657899415884e-05
Position 322: 3.335854914234099e-05
Position 192: 2.8573889945561843e-05
Position 605: 2.8027615680731564e-05
Position 333: 1.9064367805768416e-05
Position 455: 1.8974379429173812e-05
Position 462: 1.3661944401166819e-05
Position 444: 1.2443944407785418e-05
Position 151: 1.2127018398586617e-05
Position 536: 8.690711371705084e-06
Position 383: 7.80877714406404e-06
Position 212: 4.620285217059585e-06
Position 460: 3.2675934435194712e-06
Position 320: 3.019378613762658e-06
Position 331: 2.173032516457623e-06
Position 586: 2.1300217466000058e-06
Position 249: 1.5490588147754345e-06
Position 501: 1.158656574796027e-06
Position 371: 8.290868421855082e-07
Position 615: 5.310486188192576e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 95: 0.514388366923219
Position 151: 0.24785508089494038
Position 359: 0.09334490943863853
Position 170: 0.06932547104629032
Position 331: 0.0456077325718579
Position 113: 0.03448873839956908
Position 437: 0.020937020523615617
Position 604: 0.008070547925213124
Position 339: 0.006818874148353573
Position 407: 0.006110634070913079
Position 628: 0.0030108140653822644
Position 650: 0.0025160098904066885
Position 129: 0.0008613018323032063
Position 81: 0.0004829437603124597
Position 473: 0.00030043746111943037
Position 227: 0.00021483719017352008
Position 577: 8.052339299300674e-05
Position 480: 5.209393816253513e-05
Position 271: 5.022384192082366e-05
Position 286: 3.5662169712385e-05
Position 659: 5.40458957722338e-06
Position 635: 4.5112409737516875e-07
Position 277: 2.573383168906921e-07
Position 553: 1.2906451572057105e-07
Position 268: 8.321669638890023e-09
