Gene = HP4
index = 1205
Annotated 5SS: [393]
Annotated 3SS: [466]
SMsplice 5SS: [393]
SMsplice 3SS: [466]
Partition function (log Z): -4.168113453552271

Sorted 5' Splice Sites (High to Low Probability):
Position 393: 0.964697336664296
Position 61: 0.12781616166888873
Position 397: 0.02493734224301232
Position 404: 0.004567037377294436
Position 47: 0.00382456011035042
Position 209: 0.0033037740143749567
Position 305: 0.002345116819734092
Position 224: 0.0014891423503948682
Position 585: 0.0004946933650257354
Position 197: 0.0004459800198985546
Position 613: 0.0003685602701553948
Position 11: 0.00020428122884501299
Position 576: 0.0001831384892297338
Position 4: 0.00017391476617224742
Position 23: 9.999730610911096e-05
Position 244: 3.923179028092302e-05
Position 217: 3.075055392163383e-05
Position 247: 2.2083484487501887e-05
Position 202: 1.0806476844218167e-05
Position 486: 5.307848395287426e-06
Position 309: 4.501662379062283e-06
Position 185: 3.873795693076489e-06
Position 112: 2.3587752840851203e-06
Position 277: 2.352359215817516e-06
Position 591: 2.226509524935001e-06
Position 363: 2.181571296208864e-06
Position 329: 1.7723656308172386e-06
Position 350: 1.439019504438238e-06
Position 566: 1.0903664727431576e-06
Position 219: 6.583635150039332e-07
Position 167: 5.154299172709773e-07
Position 137: 2.9631883999765464e-07
Position 311: 2.6524958910917346e-07
Position 470: 1.3660494991605028e-07
Position 454: 5.274584734856275e-08
Position 267: 1.9163396400308295e-08
Position 507: 1.8650317708494187e-08
Position 504: 1.1380194745812661e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 466: 0.9978758252282645
Position 172: 0.09144675388306481
Position 121: 0.03548486807584769
Position 142: 0.004694774214003885
Position 289: 0.0021119017212881275
Position 314: 0.000645337636422037
Position 363: 0.0006067947396780322
Position 470: 0.0005799133680119616
Position 680: 0.0005451820136402161
Position 650: 0.0004226496279553297
Position 504: 0.00034172579026884214
Position 663: 0.00010205819526105048
Position 521: 9.403003258022521e-05
Position 295: 4.140528349963138e-05
Position 440: 3.448698176372475e-05
Position 539: 1.8492844062100746e-05
Position 196: 1.5593208740158515e-05
Position 339: 6.182152648566563e-06
Position 610: 5.058739467477574e-06
Position 79: 1.7007349796000756e-06
Position 208: 1.3423149457512724e-06
Position 476: 1.3370131740884317e-06
Position 583: 1.0644203302486188e-06
Position 297: 8.134159473906314e-07
Position 523: 7.848814419412459e-07
Position 244: 6.481293471651172e-07
Position 428: 5.893353145407398e-07
Position 566: 4.942542236619737e-07
Position 576: 3.572003178300925e-07
Position 60: 2.2124365440693412e-07
Position 217: 1.2247240519801182e-07
Position 597: 9.167334890800472e-08
Position 396: 9.130225211548552e-08
Position 483: 6.845801572782756e-08
Position 412: 5.122400980590421e-08
Position 190: 4.368288496489161e-08
Position 81: 3.799645067874597e-08
Position 334: 3.783335578308827e-08
Position 202: 3.014930477152943e-08
Position 235: 1.1058880902111162e-08
Position 486: 1.0838625743070095e-08
Position 393: 1.2902621223540336e-09
Position 391: 9.429441509704844e-10
Position 56: 8.101164676285963e-10
Position 585: 2.901572791412049e-10
Position 403: 2.6622491622527034e-10
Position 343: 1.8380443175415993e-10
Position 183: 2.6090870134460265e-11
