Gene = Rnmt
index = 1430
Annotated 5SS: [1280]
Annotated 3SS: [1336]
SMsplice 5SS: [1280]
SMsplice 3SS: [1336]
Partition function (log Z): -5.215813143505352

Sorted 5' Splice Sites (High to Low Probability):
Position 1280: 0.9764999074095845
Position 1561: 0.13150616664009815
Position 1535: 0.12269010318477376
Position 1671: 0.03616626875193242
Position 917: 0.03261013959173389
Position 211: 0.018540760179449063
Position 1207: 0.018284586831242053
Position 711: 0.00648255532167556
Position 1239: 0.004171264276217264
Position 1440: 0.003861010031199036
Position 1539: 0.002838848880850222
Position 1483: 0.0017609714262426597
Position 749: 0.001600294368095131
Position 1549: 0.00137989612882576
Position 215: 0.0013772921275155064
Position 42: 0.0010546006643446476
Position 639: 0.0009646740411674797
Position 1458: 0.0008322165642936833
Position 1243: 0.0006786812217673073
Position 1348: 0.0006392106024882239
Position 444: 0.0006012575321151151
Position 927: 0.0005909637663149113
Position 1401: 0.000528079426206822
Position 1067: 0.00048689712862911406
Position 377: 0.00045722032771103267
Position 384: 0.0003897534336401896
Position 479: 0.00029383484998422464
Position 981: 0.0002881230883560824
Position 585: 0.00028452826126411867
Position 694: 0.00025253491811113194
Position 1045: 0.00023920921198066674
Position 328: 0.00022480904533839967
Position 1161: 0.00022358205985246497
Position 583: 0.00016814612119815352
Position 1165: 0.00016630502718824328
Position 657: 0.00016412698444255198
Position 589: 0.00015253235491508211
Position 1565: 0.00011364685325931135
Position 521: 0.00010547821521443547
Position 1735: 0.00010479522738543526
Position 1684: 8.174878144237953e-05
Position 231: 8.054321156199505e-05
Position 266: 5.7504703983988044e-05
Position 46: 4.7218921764974517e-05
Position 331: 4.1520103012858974e-05
Position 1464: 4.0593807137172124e-05
Position 669: 3.570360353363171e-05
Position 493: 3.0202166040522057e-05
Position 1211: 2.9821971876567062e-05
Position 753: 2.7223906699811176e-05
Position 597: 2.6238039975037795e-05
Position 1027: 2.540129309510751e-05
Position 821: 2.0237751461907673e-05
Position 1569: 2.004779242003354e-05
Position 1020: 1.8267097369773245e-05
Position 925: 1.459788063869087e-05
Position 186: 1.4200808662465213e-05
Position 139: 1.3866560272195787e-05
Position 504: 1.2007613148725803e-05
Position 1583: 8.98845806496582e-06
Position 911: 7.5089720867669004e-06
Position 987: 7.421840447899361e-06
Position 1284: 7.281285619505944e-06
Position 1003: 7.078960661992287e-06
Position 833: 6.158178357338678e-06
Position 777: 6.00449075308843e-06
Position 83: 4.322358296836413e-06
Position 1747: 3.4286537677787333e-06
Position 1149: 3.0305970081157115e-06
Position 147: 2.482223417398916e-06
Position 1197: 2.090701309283139e-06
Position 1006: 1.666138311934444e-06
Position 896: 1.4366796456805665e-06
Position 117: 1.316354653787643e-06
Position 742: 1.0532390782584107e-06
Position 1739: 8.719682007704331e-07
Position 1352: 7.790101445987112e-07
Position 450: 7.324703685747589e-07
Position 744: 5.258035836945274e-07
Position 819: 3.892187905734979e-07
Position 1575: 2.2968493782633164e-07
Position 1608: 9.814677170576016e-08
Position 1573: 6.14549755429218e-08
Position 1603: 9.138735487234762e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1336: 0.919921954740389
Position 1608: 0.13244766224952953
Position 1582: 0.1104882683778211
Position 1777: 0.059531212016601096
Position 1362: 0.03918417842692033
Position 1613: 0.03218161079570315
Position 1110: 0.020583793742731966
Position 981: 0.007264629057700536
Position 1143: 0.007131012950326005
Position 1221: 0.004428621005049397
Position 1027: 0.004023091738827015
Position 814: 0.0033272746799626494
Position 732: 0.0033173418313945362
Position 753: 0.0032212122977386755
Position 1323: 0.002289532124847495
Position 847: 0.0016558983652892507
Position 1446: 0.0016112313234622037
Position 1074: 0.0015821700071791522
Position 1170: 0.0013385243193081077
Position 1050: 0.0013349591240643414
Position 491: 0.0013172582428069273
Position 1520: 0.001304170804122657
Position 777: 0.0012339554712928193
Position 1714: 0.0012159154431876011
Position 1276: 0.0009762401083832654
Position 109: 0.0007457233763230226
Position 1747: 0.0006534697676077985
Position 456: 0.0006285494589910455
Position 694: 0.0005742468964025298
Position 1790: 0.0005696591832895032
Position 543: 0.0005285122230387877
Position 881: 0.0004205064319783419
Position 789: 0.00040151112231089856
Position 1640: 0.00031768270727124993
Position 274: 0.0003137281484083131
Position 1058: 0.000240013031656055
Position 999: 0.00023767448869899382
Position 540: 0.0002341430905143066
Position 987: 0.00020694132029892165
Position 793: 0.00018133715756007247
Position 1497: 0.00014143966076009352
Position 1273: 0.0001266697674873228
Position 1083: 0.00012532190336120625
Position 1161: 0.00010722624028834343
Position 465: 9.754671728881346e-05
Position 1176: 8.798334728095592e-05
Position 1751: 8.227799726351072e-05
Position 1506: 7.260089360228153e-05
Position 462: 6.393890761094503e-05
Position 1559: 5.733146352261086e-05
Position 627: 5.028820037607852e-05
Position 932: 4.9606367510426956e-05
Position 1472: 4.215020176461795e-05
Position 1020: 3.577527697040992e-05
Position 976: 1.9247985461790218e-05
Position 1538: 1.778870426077627e-05
Position 582: 1.617647041300076e-05
Position 271: 1.5673393312107293e-05
Position 136: 1.5602139070084344e-05
Position 1483: 1.3452369240266778e-05
Position 426: 1.220991791048911e-05
Position 1230: 9.625934551592018e-06
Position 139: 6.3512518493946655e-06
Position 1525: 5.433700307829942e-06
Position 597: 5.05557504148449e-06
Position 516: 5.036954830765645e-06
Position 887: 4.500315386378317e-06
Position 669: 3.6253328377573574e-06
Position 657: 3.033530612140065e-06
Position 1655: 2.9344541219486976e-06
Position 255: 2.6813502841886642e-06
Position 308: 2.305581665275623e-06
Position 404: 1.8852852110117547e-06
Position 1616: 1.7848415323101842e-06
Position 493: 1.7720724377733208e-06
Position 615: 1.7596996163310662e-06
Position 1530: 1.5037141143550208e-06
Position 1636: 1.3416930181466905e-06
Position 282: 1.336458089137637e-06
Position 901: 1.27351556567862e-06
Position 351: 9.433666613787235e-07
Position 360: 8.991727823797564e-07
Position 201: 8.506656639504629e-07
Position 117: 8.451688939401271e-07
Position 1754: 7.445248649863051e-07
Position 639: 5.907674001889175e-07
Position 432: 5.802432241530287e-07
Position 1680: 4.421639865826303e-07
Position 717: 4.124341036191011e-07
Position 384: 4.084514161328744e-07
Position 381: 3.1018264348435117e-07
Position 1735: 2.184003331097523e-07
Position 357: 1.8588791029087114e-07
Position 1293: 1.6390795192135614e-07
Position 819: 6.809185368357586e-08
Position 288: 6.579146143902778e-08
Position 1195: 5.752067929741206e-08
Position 892: 5.4458838365771133e-08
Position 215: 4.6654147805258446e-08
Position 390: 4.1966571520624566e-08
Position 428: 3.898655743687578e-08
Position 372: 3.7691189630029724e-08
Position 603: 2.998976126349352e-08
Position 266: 2.4839299581237586e-08
Position 227: 2.4720155054647464e-08
Position 1225: 2.1679400172565705e-08
Position 159: 1.738843859182925e-08
Position 1235: 1.5763381217002363e-08
Position 444: 1.0298350100065486e-08
Position 313: 1.0187821738374961e-08
Position 1197: 9.88023105042357e-09
Position 1238: 9.729877605513436e-09
Position 204: 9.55309672856392e-09
Position 231: 6.935363099555983e-09
Position 594: 4.5717534463766705e-09
Position 636: 2.712724207007416e-09
Position 143: 1.8700462268155285e-09
Position 1211: 1.779045259785078e-09
Position 1756: 1.7427001081620982e-09
Position 1280: 1.699176406877555e-09
Position 168: 1.5749497413838902e-09
Position 300: 1.0528124304566342e-09
Position 114: 1.0077023140191958e-09
Position 870: 8.202056813641531e-10
Position 162: 3.901248565137343e-10
Position 1185: 2.2561100084668842e-10
Position 175: 2.1556983501412804e-10
Position 180: 1.5707581680322079e-10
Position 243: 4.495084429941873e-14
Position 1284: 1.7745636663227773e-14
Position 164: 9.06097503975578e-20
