Gene = Sfp26Ad
index = 1490
Annotated 5SS: [102]
Annotated 3SS: [171]
SMsplice 5SS: [102]
SMsplice 3SS: [171]
Partition function (log Z): -4.927421032127479

Sorted 5' Splice Sites (High to Low Probability):
Position 102: 0.9070378717499298
Position 106: 0.04704079018441067
Position 67: 0.02870901581078061
Position 351: 0.00853190798083435
Position 64: 0.008401485811293416
Position 99: 0.008248952586109474
Position 297: 0.002509472253077879
Position 441: 0.0008334530838122874
Position 306: 0.00039074812870794877
Position 423: 0.0002748553292799926
Position 409: 0.00016273326857443144
Position 36: 0.0001437006464548483
Position 147: 0.00013175974617637873
Position 26: 9.863734816811855e-05
Position 487: 8.71927057555273e-05
Position 585: 7.275002134943652e-05
Position 301: 6.493568762982011e-05
Position 427: 5.042363019303844e-05
Position 283: 3.447699941923022e-05
Position 406: 3.24223560988907e-05
Position 490: 2.9974785460966597e-05
Position 335: 2.9351472742844102e-05
Position 6: 1.9812216106402134e-05
Position 361: 1.635664916127827e-05
Position 617: 1.542648877550811e-05
Position 126: 1.2406308127932399e-05
Position 494: 8.536713960364783e-06
Position 28: 7.097655282621001e-06
Position 492: 4.445029575547156e-07
Position 210: 4.2641693516217566e-07
Position 621: 3.4734840573362856e-07
Position 614: 1.2027459979038845e-07
Position 626: 1.310236125436774e-08
Position 189: 1.2326168512867729e-08
Position 207: 3.238708077847179e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 171: 0.9964803971044158
Position 490: 0.005460431843176294
Position 151: 0.0019945044879923816
Position 423: 0.0016253145183687165
Position 626: 0.0012893817027638862
Position 438: 0.001278229214575988
Position 215: 0.0010821100484025691
Position 621: 0.000778319383137747
Position 380: 0.0007691304435774953
Position 414: 0.0005972410061905421
Position 351: 0.00048567571742399307
Position 669: 0.0004428396531563877
Position 503: 0.00017950873692597994
Position 453: 0.00012465983036970363
Position 651: 0.0001191415082929774
Position 189: 9.89123152918812e-05
Position 464: 4.112668033839076e-05
Position 554: 2.884132313538066e-05
Position 221: 2.748821117349029e-05
Position 218: 2.4113984370550998e-05
Position 355: 2.157401581701499e-05
Position 537: 1.945845923463794e-05
Position 512: 9.90957082668018e-06
Position 323: 5.767282377136945e-06
Position 281: 5.655880099563893e-06
Position 562: 5.38224098733154e-06
Position 116: 9.477481292508277e-07
Position 514: 7.240472934173e-07
Position 335: 4.0628176034437537e-07
Position 274: 3.3433110536240716e-07
Position 106: 1.5516163171898063e-07
Position 230: 9.155521287892716e-08
Position 519: 7.880579285215873e-08
Position 49: 3.141884529576875e-08
Position 57: 2.9736887636802848e-08
Position 64: 4.4980017363286534e-10
Position 71: 1.2872002978009282e-10
Position 283: 2.0867611729536062e-13
