Gene = gdl-ORF39
index = 1713
Annotated 5SS: [437 787]
Annotated 3SS: [ 491 1159]
SMsplice 5SS: [437 787]
SMsplice 3SS: [ 501 1159]
Partition function (log Z): -4.434216284134808

Sorted 5' Splice Sites (High to Low Probability):
Position 437: 0.9919789929647631
Position 787: 0.3979907316054666
Position 973: 0.07846062836611273
Position 962: 0.06842215111836795
Position 199: 0.040286447335820576
Position 204: 0.03827107543204881
Position 571: 0.02599148582551193
Position 835: 0.0157818382614522
Position 565: 0.012755763038123955
Position 171: 0.012233468013872557
Position 839: 0.006797099012570175
Position 1306: 0.005165321331700474
Position 259: 0.003765334311906243
Position 175: 0.0031833769489510687
Position 1036: 0.003051184493192382
Position 645: 0.002552621648396141
Position 696: 0.001356877220782113
Position 7: 0.001117052674368212
Position 750: 0.0006712261502048838
Position 871: 0.000548741281284455
Position 814: 0.0004832332778281635
Position 319: 0.0004377886371670526
Position 666: 0.00031868564975633194
Position 542: 0.0002555149156307008
Position 811: 0.0002205620540566209
Position 933: 0.00012495574097719488
Position 148: 8.074832343665012e-05
Position 334: 4.340455861328358e-05
Position 658: 4.275548929857123e-05
Position 544: 3.550371863122858e-05
Position 106: 2.9078964808879143e-05
Position 399: 2.565719053384005e-05
Position 441: 9.643908930720732e-06
Position 125: 7.379725932585961e-06
Position 342: 5.3005138457117165e-06
Position 1117: 3.7553925663919768e-06
Position 371: 3.6891200308385452e-06
Position 455: 3.4690538400941543e-06
Position 12: 2.166192148174692e-06
Position 350: 1.990897749354688e-06
Position 1130: 1.5709852927797551e-06
Position 83: 1.2600864093056152e-06
Position 322: 9.573325801198803e-07
Position 1269: 6.769373784681867e-07
Position 345: 6.75343749149462e-07
Position 101: 5.900910246193731e-07
Position 1160: 5.37407827035527e-07
Position 285: 4.894018044321072e-07
Position 1246: 3.08432659338665e-07
Position 128: 2.1074558838744244e-07
Position 1252: 1.318404850349595e-07
Position 1310: 1.2593391650047705e-07
Position 1196: 2.0438227667021465e-09
Position 1211: 3.8457524208545384e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1159: 0.6743422947468289
Position 501: 0.42719979524515633
Position 491: 0.4075074950237466
Position 633: 0.058184467088670866
Position 285: 0.05325986419401632
Position 270: 0.038248659689056635
Position 1189: 0.014394190720001754
Position 835: 0.014361377151704878
Position 871: 0.006546521176531003
Position 1359: 0.0044556403292806855
Position 318: 0.003561404716465734
Position 290: 0.0016084245390182235
Position 990: 0.001460898810100072
Position 1093: 0.0011171791543330973
Position 933: 0.0009614552210214891
Position 972: 0.0007860883187357722
Position 1369: 0.000738220544732668
Position 1023: 0.0006608538156777932
Position 571: 0.000559083848857411
Position 113: 0.0005284789160447198
Position 608: 0.0005100974765933587
Position 888: 0.0003830801379352317
Position 956: 0.00030615264445358963
Position 313: 0.0002874441404083051
Position 577: 0.0001676483329300575
Position 334: 8.3001972203107e-05
Position 778: 7.410297078156584e-05
Position 148: 7.153345447364652e-05
Position 655: 4.4586043349934566e-05
Position 639: 3.852224607880554e-05
Position 658: 3.097509916191215e-05
Position 961: 8.583091544191953e-06
Position 729: 7.814699445697614e-06
Position 345: 7.002812601592592e-06
Position 1228: 4.1063672097651115e-06
Position 322: 2.7256984692118665e-06
Position 786: 2.259387326033428e-06
Position 455: 1.8930988802846434e-06
Position 738: 1.6016891879058241e-06
Position 588: 1.378102229154389e-06
Position 168: 9.143150826393072e-07
Position 1231: 8.39674467685388e-07
Position 359: 8.02938294348926e-07
Position 645: 8.007127176933465e-07
Position 1306: 7.630607826927495e-07
Position 338: 5.31441141140378e-07
Position 155: 4.4511999718939116e-07
Position 1334: 4.217073355592676e-07
Position 762: 3.5302243474869555e-07
Position 696: 3.129541959976438e-07
Position 671: 2.9038824783638663e-07
Position 1310: 2.537475578278364e-07
Position 342: 1.7150876324194884e-07
Position 356: 8.82077751810507e-08
Position 792: 8.088340876375962e-08
Position 811: 7.412793980861091e-08
Position 1219: 4.824161517442238e-08
Position 1324: 4.26482640829635e-08
Position 693: 2.3946976081013674e-08
Position 678: 1.6469771271798094e-08
Position 750: 1.4952975266464267e-08
Position 350: 1.4794111868911915e-08
Position 684: 1.3101790093633836e-08
Position 371: 4.9430020636254214e-09
Position 666: 3.989252534920798e-09
Position 185: 3.790370530137263e-09
Position 441: 1.4386939782834526e-09
Position 187: 1.1274774360714511e-09
Position 1275: 6.471201362331442e-10
Position 1291: 2.0001657030977608e-10
Position 437: 9.885698338751499e-11
Position 199: 6.355060574867237e-11
Position 674: 2.4450541253956625e-12
