Gene = Sws1
index = 1535
Annotated 5SS: [177 777]
Annotated 3SS: [236 849]
SMsplice 5SS: [177 777]
SMsplice 3SS: [236 849]
Partition function (log Z): -0.6263169612469728

Sorted 5' Splice Sites (High to Low Probability):
Position 777: 0.9818283912385031
Position 177: 0.9388956527336159
Position 413: 0.12608414140416663
Position 429: 0.02582367360039808
Position 980: 0.021351365230824024
Position 368: 0.012471834587858933
Position 361: 0.011076384030112017
Position 1108: 0.0037051430297032812
Position 758: 0.0017764215367158669
Position 1498: 0.001619510427827733
Position 147: 0.0013027413569132165
Position 938: 0.0010813766860189643
Position 1333: 0.000656693585136608
Position 365: 0.0006150221600576559
Position 1306: 0.0004229650734341647
Position 982: 0.0003900503308590431
Position 956: 0.0003594174309443136
Position 427: 0.00030307516395009106
Position 1324: 0.00027223506229215875
Position 1050: 0.00026561200343550354
Position 1201: 0.000251399295830323
Position 1225: 0.00025104283025410384
Position 359: 0.00022011139995360715
Position 391: 0.00019966053023049977
Position 18: 0.00018321054108223872
Position 1192: 0.00016595723425973894
Position 1263: 0.00015406423117273084
Position 972: 0.00014474237865120943
Position 999: 0.00012950694856281224
Position 1326: 0.00010387095433536286
Position 994: 0.00010066262237075279
Position 208: 9.981078811094016e-05
Position 1453: 7.777516118359698e-05
Position 205: 6.648274259868466e-05
Position 119: 6.629408457933258e-05
Position 1119: 6.0942063877608566e-05
Position 1245: 5.563067796746657e-05
Position 951: 5.5095826620352334e-05
Position 958: 5.462066195906947e-05
Position 723: 4.1623470244062254e-05
Position 1013: 3.544598480398852e-05
Position 157: 3.3590764601370474e-05
Position 1007: 2.8370888131419727e-05
Position 417: 2.6618865049518167e-05
Position 1257: 1.3863336639713848e-05
Position 76: 9.614994046989841e-06
Position 1005: 8.322499247546085e-06
Position 1086: 8.18955432197998e-06
Position 538: 5.726829300738666e-06
Position 906: 5.344843291201946e-06
Position 878: 5.226412639131823e-06
Position 128: 4.924882122079806e-06
Position 82: 4.197608446383318e-06
Position 290: 4.007112976346151e-06
Position 1339: 3.7883322518775613e-06
Position 806: 3.1334291725000864e-06
Position 536: 2.2169237586697815e-06
Position 1227: 2.1489357599468004e-06
Position 23: 1.8723704243390719e-06
Position 449: 1.7330790218060274e-06
Position 892: 1.2317472863909493e-06
Position 681: 8.301474451309056e-07
Position 859: 7.471166758949199e-07
Position 824: 7.013332907072268e-07
Position 1387: 6.841835357982248e-07
Position 1440: 6.098630642064285e-07
Position 1267: 5.437457925662972e-07
Position 1474: 5.133468953581357e-07
Position 433: 3.566416656515449e-07
Position 250: 3.5360237608742945e-07
Position 1390: 2.9250024942956885e-07
Position 107: 2.8396824580833604e-07
Position 1536: 1.7449451725871668e-07
Position 442: 1.3886342515804687e-07
Position 656: 1.1169903371771285e-07
Position 714: 9.503465083006138e-08
Position 457: 9.448227389735332e-08
Position 865: 7.586351030135896e-08
Position 492: 5.90699235103508e-08
Position 1368: 1.9730303203559513e-08
Position 1352: 1.6024748498145283e-08
Position 64: 1.0895511542257265e-08
Position 849: 8.693724283595839e-09
Position 837: 5.026458276173863e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 849: 0.9980157711450576
Position 236: 0.9215608886643768
Position 481: 0.11651758470314763
Position 1037: 0.021828013162029654
Position 442: 0.015084765805667344
Position 238: 0.011276210026776848
Position 492: 0.009738001282462777
Position 457: 0.009615820689535603
Position 512: 0.00804731256675454
Position 1383: 0.004786594513552777
Position 284: 0.002955987542764353
Position 589: 0.0021365340617105566
Position 1583: 0.0016365815398703945
Position 1296: 0.001491712977038524
Position 346: 0.0014683231073438828
Position 417: 0.0011864991842442463
Position 1167: 0.001062676901698711
Position 670: 0.001048951680375731
Position 1077: 0.0006935240511689916
Position 1055: 0.0005504119478661782
Position 250: 0.0003365092989197826
Position 616: 0.00031867967119126705
Position 640: 0.00021938529314055618
Position 553: 0.00018383952778456227
Position 427: 0.00016690135124138668
Position 514: 0.00014234946432034617
Position 371: 0.0001365408218057722
Position 625: 0.00011135982064809771
Position 1506: 8.159907428252587e-05
Position 631: 7.740932036195237e-05
Position 1224: 7.384370808584405e-05
Position 208: 4.2609530582756534e-05
Position 86: 3.606640200901426e-05
Position 1176: 3.568105694407915e-05
Position 1013: 3.246924533057692e-05
Position 1599: 3.213616238512172e-05
Position 874: 3.126132721672587e-05
Position 963: 2.7449099245843756e-05
Position 749: 2.5423829830623447e-05
Position 1306: 2.48825182236596e-05
Position 643: 2.1370802510518264e-05
Position 1587: 2.0932172391852125e-05
Position 900: 1.823900704077792e-05
Position 433: 1.7850116751335708e-05
Position 1320: 1.7358955585358088e-05
Position 1245: 1.282395965395187e-05
Position 1005: 7.9458245827609e-06
Position 128: 7.313113971808181e-06
Position 1486: 4.06290966688164e-06
Position 865: 3.9150901213253065e-06
Position 972: 3.565889204528306e-06
Position 897: 3.4192056005532152e-06
Position 382: 3.0048366968971685e-06
Position 629: 2.670823958604765e-06
Position 1431: 1.9973202065190382e-06
Position 152: 1.7530242647886935e-06
Position 199: 1.521274352140814e-06
Position 1242: 1.2798075020082943e-06
Position 467: 1.1379928405162001e-06
Position 195: 1.126326599966715e-06
Position 1440: 9.201050099876549e-07
Position 723: 9.10726271422066e-07
Position 1404: 8.404966433541216e-07
Position 1062: 7.693330803555277e-07
Position 613: 6.092436790296378e-07
Position 155: 5.578950063766806e-07
Position 165: 3.429728845539289e-07
Position 176: 3.361512983603518e-07
Position 758: 3.274673801991912e-07
Position 915: 3.107256304924672e-07
Position 1452: 3.1000876034064294e-07
Position 529: 2.999375026379797e-07
Position 1331: 2.947544603637042e-07
Position 1119: 2.941028699173459e-07
Position 1410: 2.3012115150979487e-07
Position 1514: 1.661178838908946e-07
Position 1413: 1.4581126184806834e-07
Position 737: 1.3321212889465542e-07
Position 1263: 1.2788422200859764e-07
Position 1347: 9.938509932729729e-08
Position 1518: 8.5374414640051e-08
Position 522: 7.956440457652913e-08
Position 526: 7.018352459895528e-08
Position 1536: 5.3007718432043114e-08
Position 686: 5.174401917475562e-08
Position 906: 4.915490398159503e-08
Position 728: 4.7393585165550866e-08
Position 82: 4.35335985542385e-08
Position 1236: 3.822218769789002e-08
Position 1254: 3.789830370904358e-08
Position 781: 2.3278277612528432e-08
Position 1257: 1.2587393570532584e-08
Position 1339: 1.0546746887252464e-08
Position 391: 9.487618757500896e-09
Position 147: 8.11614202805101e-09
Position 1149: 2.5424832346734412e-09
Position 1352: 8.626235419339563e-10
Position 183: 5.842144771925551e-10
Position 1406: 5.344490638781102e-10
Position 1521: 3.0501055212926385e-10
Position 951: 2.328169575214699e-10
Position 157: 1.7509832168965527e-10
Position 1112: 1.1297984221408864e-12
Position 531: 1.8486363028821387e-14
Position 1524: 2.7561221679632076e-15
