Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
Partition function (log Z): 1.3136048342347713

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9923734822890007
Position 615: 0.9037107151192968
Position 653: 0.050280916507216986
Position 1384: 0.03933075932473317
Position 619: 0.039303402153315715
Position 412: 0.02399042602049819
Position 1392: 0.013783115879563863
Position 1096: 0.0027897864332240446
Position 999: 0.0021974197511582224
Position 606: 0.00122897052496313
Position 304: 0.0011363278305086607
Position 730: 0.0010704652422848086
Position 648: 0.0008115514312792988
Position 1327: 0.0007116111769051168
Position 1405: 0.00042797396593550064
Position 633: 0.00032645490354073675
Position 1121: 0.0002448605214372311
Position 47: 0.00015538883045575138
Position 30: 0.00014499076508181673
Position 220: 0.00010972975655933248
Position 452: 9.056208051385496e-05
Position 60: 8.724140417020486e-05
Position 1357: 7.274388237914461e-05
Position 905: 4.60031282497169e-05
Position 880: 4.3203204452433485e-05
Position 946: 4.1804556778666766e-05
Position 1585: 4.166730007073365e-05
Position 766: 3.9826303225920685e-05
Position 622: 3.926497256159377e-05
Position 256: 2.9613978346984544e-05
Position 1296: 1.158721406296135e-05
Position 973: 1.054750307864762e-05
Position 526: 8.245689506076746e-06
Position 1025: 7.946298719096662e-06
Position 1065: 4.272829048868415e-06
Position 259: 2.4949240138704536e-06
Position 1012: 2.2512590774293094e-06
Position 1023: 1.7574567918482257e-06
Position 336: 1.614948706134688e-06
Position 1471: 1.2362779608900777e-06
Position 130: 1.1771775943538272e-06
Position 1724: 1.1438508267318868e-06
Position 1003: 9.984302907381357e-07
Position 916: 9.100655517459673e-07
Position 511: 8.301128393877142e-07
Position 1766: 6.205031654017222e-07
Position 127: 5.810628893650532e-07
Position 864: 5.748700421983239e-07
Position 1443: 5.628919983218817e-07
Position 1641: 4.903729897122885e-07
Position 1542: 3.596189073626925e-07
Position 1741: 3.3821700823533997e-07
Position 831: 1.3331846688295403e-07
Position 1560: 1.1101495305983071e-07
Position 1621: 7.259726463778512e-08
Position 1230: 3.268188124766978e-08
Position 783: 4.308626305250613e-10
Position 1161: 3.5876197874140457e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9974218976088994
Position 1176: 0.9695002327385054
Position 1464: 0.03997852861572517
Position 485: 0.02342919010043625
