Gene = Scgalpha
index = 1472
Annotated 5SS: [ 672 1149 1344 1559]
Annotated 3SS: [ 743 1232 1414 1622]
SMsplice 5SS: [ 672 1149 1344 1559]
SMsplice 3SS: [ 743 1232 1414 1622]
Partition function (log Z): 7.231640295503915

Sorted 5' Splice Sites (High to Low Probability):
Position 1344: 0.990035445712807
Position 672: 0.9852825960646248
Position 1149: 0.9617717427564463
Position 1559: 0.8560300938611302
Position 808: 0.22206510373693764
Position 247: 0.1388719014042051
Position 897: 0.05714808061062359
Position 680: 0.012456389653800417
Position 453: 0.010550305491764167
Position 1322: 0.005110649712686666
Position 913: 0.004851221357531265
Position 84: 0.0031185079925633912
Position 877: 0.002551644836294372
Position 1146: 0.002424770262131
Position 1870: 0.0022650259075034226
Position 77: 0.0015191688744460366
Position 59: 0.001415763405532442
Position 71: 0.0013644425687942168
Position 819: 0.0012930485901366051
Position 1818: 0.0011760078615356592
Position 1334: 0.0007949694323368814
Position 1567: 0.0007286716128791083
Position 1153: 0.0004529976152187064
Position 321: 0.00031107488604574247
Position 170: 0.00025135049480863657
Position 468: 0.00017507729384954113
Position 439: 0.00016125830223597313
Position 1703: 0.00014427671113111044
Position 517: 0.00014324564961248817
Position 691: 0.0001243496834792759
Position 392: 0.0001052865796186762
Position 825: 9.95166702538085e-05
Position 305: 8.76826104565141e-05
Position 190: 7.151219941819516e-05
Position 442: 6.902711622762556e-05
Position 1465: 5.850349392041525e-05
Position 625: 5.527141957724728e-05
Position 400: 5.438807307846157e-05
Position 1033: 5.0404740483375206e-05
Position 487: 4.9019471131466406e-05
Position 52: 3.88672438842743e-05
Position 1458: 3.79980961929143e-05
Position 856: 3.685406126098243e-05
Position 1391: 3.645689944021492e-05
Position 163: 3.456168252214415e-05
Position 1128: 3.0166846766012846e-05
Position 1402: 2.623797265604061e-05
Position 1385: 2.026000614276822e-05
Position 618: 1.7663615899767517e-05
Position 445: 1.4406334426425909e-05
Position 177: 1.4212488434049637e-05
Position 1770: 1.0926153192473492e-05
Position 1308: 1.0184539711657277e-05
Position 484: 9.24124616451811e-06
Position 117: 8.769061337196858e-06
Position 607: 7.452002172043241e-06
Position 372: 6.358057455973982e-06
Position 1123: 5.685298615734043e-06
Position 403: 5.527634813823781e-06
Position 139: 5.246702620542519e-06
Position 1292: 3.915459058855397e-06
Position 1130: 3.810175484710288e-06
Position 1619: 3.3861240869961196e-06
Position 602: 2.673151941466295e-06
Position 604: 2.409638570185744e-06
Position 950: 2.0684634616122207e-06
Position 1463: 1.8049172844638571e-06
Position 1712: 1.4440384263541954e-06
Position 1449: 1.2992892616021967e-06
Position 133: 1.2191558234567325e-06
Position 757: 9.627073322784443e-07
Position 1768: 8.917586040708885e-07
Position 136: 4.00961558277714e-07
Position 1723: 2.730059735209773e-07
Position 1287: 1.9652402197812942e-07
Position 1750: 1.9321613538991316e-07
Position 745: 1.3150757641570136e-07
Position 1209: 6.765836627932256e-08
Position 1232: 3.5035817812136396e-08
Position 457: 3.042425687169301e-08
Position 1222: 2.1306610713287366e-08
Position 774: 1.763630836123362e-08
Position 1644: 9.476834125006918e-09
Position 751: 2.601771266832045e-09
Position 1622: 1.8270671869334815e-09
Position 1251: 6.46991274544863e-10
Position 1676: 4.023844379371799e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 743: 0.9982743275625824
Position 1414: 0.9934710963471709
Position 1232: 0.9795273960386449
Position 1622: 0.8128250417067496
Position 950: 0.14362812368763436
Position 305: 0.12969164177467796
Position 861: 0.1242117044915367
Position 1634: 0.043776975861857706
Position 539: 0.0057234019750919745
Position 367: 0.005168829563964157
Position 587: 0.004256251547705182
Position 960: 0.0033743530756013074
Position 145: 0.003347833922249939
Position 133: 0.0024102222854142253
Position 1930: 0.0024009829970842275
Position 1454: 0.002377367264971054
Position 542: 0.002215643795829714
Position 326: 0.0016251312993279482
Position 492: 0.0013300774031038231
Position 1644: 0.0011923264365490873
Position 1889: 0.0011833394745437034
Position 764: 0.0006888349585254318
Position 1285: 0.0006126155874169627
Position 993: 0.0003169109790491238
Position 420: 0.00020887487381834844
Position 1683: 0.00020540500065520308
Position 468: 0.00018475085269572733
Position 168: 0.00017654577948153066
Position 1120: 0.00016025656376713481
Position 1664: 0.0001366044111434174
Position 873: 0.00010960858952115207
Position 1937: 0.00010187054876602156
Position 183: 7.839569506206142e-05
Position 774: 6.976824684776463e-05
Position 591: 6.718933588324961e-05
Position 957: 5.246864429495147e-05
Position 246: 4.97692777688847e-05
Position 117: 4.7312894660360075e-05
Position 792: 4.678102665655064e-05
Position 1385: 4.665861224305485e-05
Position 163: 4.0559625551239066e-05
Position 1487: 3.8909851802192416e-05
Position 272: 3.8045017388422156e-05
Position 966: 3.2801951797959194e-05
Position 1137: 2.24189619474194e-05
Position 1474: 1.515346997032508e-05
Position 1698: 1.3915816451200111e-05
Position 177: 1.1510589362600528e-05
Position 1750: 1.0325044912993594e-05
Position 1917: 9.059881159243975e-06
Position 1463: 8.662689812529105e-06
Position 1765: 8.2183314589395e-06
Position 1507: 8.006543136300293e-06
Position 1251: 6.976793050773263e-06
Position 1382: 5.73872278328596e-06
Position 1898: 5.46970864369069e-06
Position 594: 5.069722410697298e-06
Position 1304: 5.018291981634126e-06
Position 969: 4.25218545752429e-06
Position 995: 4.1149067888629434e-06
Position 1025: 3.840824910490025e-06
Position 972: 3.539254491959786e-06
Position 392: 2.3962924216447896e-06
Position 1586: 2.2640088334135062e-06
Position 1909: 2.2008005249001004e-06
Position 1857: 2.0801839347519268e-06
Position 384: 1.603762409424004e-06
Position 1002: 1.2913182399658429e-06
Position 1143: 1.1056212027719806e-06
Position 546: 9.377130877405543e-07
Position 1800: 9.30978461813248e-07
Position 1768: 6.567485096645846e-07
Position 622: 6.153372244598003e-07
Position 1000: 5.196013506981741e-07
Position 285: 4.930053128846954e-07
Position 1543: 4.4394948805818454e-07
Position 801: 2.82104278272926e-07
Position 660: 2.6959893114519163e-07
Position 1287: 2.103114356785702e-07
Position 1029: 2.0276356974223896e-07
Position 663: 2.0039837396083087e-07
Position 745: 1.995188016786756e-07
Position 196: 1.9923403990771177e-07
Position 1514: 1.781666064671331e-07
Position 1556: 1.2811571304822857e-07
Position 1146: 1.166519149571246e-07
Position 258: 8.120945107959975e-08
Position 825: 7.560960176531299e-08
Position 1313: 4.582189496833363e-08
Position 618: 3.708934395809779e-08
Position 254: 3.039073079523708e-08
Position 1723: 1.2669600979077201e-08
