Gene = SST
index = 1343
Annotated 5SS: [246]
Annotated 3SS: [1121]
SMsplice 5SS: [246]
SMsplice 3SS: [1121]
Partition function (log Z): -5.347340413263147

Sorted 5' Splice Sites (High to Low Probability):
Position 246: 0.9658227424349154
Position 466: 0.13685699814343588
Position 673: 0.02308231055644982
Position 728: 0.0211400413274541
Position 576: 0.017915256139788137
Position 321: 0.011617704984852189
Position 719: 0.007499463780118108
Position 202: 0.005514614892974617
Position 26: 0.0019035328264706425
Position 687: 0.0017001529464896737
Position 694: 0.0008427847054681684
Position 935: 0.0007762159505682075
Position 128: 0.00046950779841169405
Position 814: 0.00029614978679295116
Position 842: 0.00025826022878090276
Position 265: 0.00020757448695025464
Position 816: 0.00015794947175166855
Position 820: 0.00015545212699340303
Position 818: 0.00015425752917705413
Position 548: 0.00015113349901924017
Position 507: 0.00014272824638515407
Position 822: 0.0001266888989418382
Position 632: 0.00011962558666148651
Position 460: 0.00011724592400813324
Position 753: 0.00010057032002484962
Position 824: 9.947251095200701e-05
Position 1020: 8.71308648815452e-05
Position 826: 8.26039150158211e-05
Position 830: 7.628602602474781e-05
Position 828: 7.429528558721072e-05
Position 832: 6.859286054007102e-05
Position 834: 5.620286190140973e-05
Position 848: 5.569495318205776e-05
Position 313: 4.792342842476135e-05
Position 806: 4.5566013706181566e-05
Position 854: 3.23584723856214e-05
Position 856: 3.117342680234667e-05
Position 858: 3.0019037282517322e-05
Position 852: 2.6028533314004167e-05
Position 850: 2.5919226404821462e-05
Position 860: 2.5624525731283805e-05
Position 710: 2.5180039923952097e-05
Position 891: 2.4252028354346124e-05
Position 1330: 2.4092696475105316e-05
Position 846: 2.2556446457123226e-05
Position 1024: 2.216600001104801e-05
Position 354: 2.1023031717069765e-05
Position 1022: 1.958560281359951e-05
Position 862: 1.9284291326604825e-05
Position 864: 1.6210852078750672e-05
Position 758: 1.525622145800233e-05
Position 1004: 1.4815099441687494e-05
Position 454: 1.4443909420805308e-05
Position 927: 1.2889346449528723e-05
Position 615: 1.2453495292934242e-05
Position 746: 1.2284415194592592e-05
Position 218: 1.1896798149079453e-05
Position 450: 9.22659059224474e-06
Position 1133: 8.730368302562027e-06
Position 206: 6.2842119721623725e-06
Position 66: 4.586475128303332e-06
Position 777: 3.932998113816311e-06
Position 1347: 1.8204591783354525e-06
Position 838: 1.4727205228749319e-06
Position 984: 1.3111018955503398e-06
Position 677: 1.1341934895896923e-06
Position 470: 1.0720975644951864e-06
Position 169: 1.0115919723747923e-06
Position 366: 9.331692953281834e-07
Position 335: 7.320060902987019e-07
Position 873: 6.854713338203029e-07
Position 868: 4.965388511612995e-07
Position 113: 3.9219605967538244e-07
Position 513: 3.2629379312984627e-07
Position 1036: 2.59869307342591e-07
Position 348: 1.5140604547642946e-07
Position 171: 1.1313899374977617e-07
Position 1202: 8.995370401517364e-08
Position 510: 6.543928894092323e-08
Position 836: 4.866947549757663e-08
Position 537: 3.981224028128207e-08
Position 146: 1.9875855185073806e-08
Position 866: 1.0319907399317787e-08
Position 1154: 8.382362852920293e-09
Position 699: 5.995180514522175e-09
Position 925: 2.465758295392149e-09
Position 1352: 1.6442076856766668e-09
Position 1071: 1.3934054317776218e-09
Position 153: 6.121967363767394e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1121: 0.9360448402792484
Position 374: 0.13489095727817307
Position 1049: 0.03281331704660526
Position 325: 0.01612173391761925
Position 589: 0.015931949374293864
Position 445: 0.012566914339387504
Position 1169: 0.006776431944896288
Position 613: 0.00548652782785153
Position 489: 0.004806377301611207
Position 642: 0.003793948262954105
Position 510: 0.0036720978111154956
Position 710: 0.0030936921437215562
Position 873: 0.0030922504051436664
Position 1146: 0.002619481422455729
Position 575: 0.002019749101444965
Position 526: 0.00201852618165664
Position 128: 0.001768437476186599
Position 1208: 0.001544671705437124
Position 749: 0.0011334357668086918
Position 944: 0.0009763319736996801
Position 880: 0.0009755793035022304
Position 564: 0.0007463676245464866
Position 346: 0.0007156636399498258
Position 599: 0.00066472213909568
Position 1413: 0.0005295546078410841
Position 801: 0.0004453390210638726
Position 383: 0.0003874493772088202
Position 1197: 0.00037995604239345537
Position 460: 0.0002565272773356391
Position 1362: 0.0002544391892582923
Position 450: 0.00023630098822049624
Position 1244: 0.00023254036689181578
Position 196: 0.0001647516944591106
Position 683: 0.0001450219705135742
Position 1220: 0.00012533692424481234
Position 465: 0.00011334539075601894
Position 1347: 0.00010188514588784956
Position 335: 8.957618050262374e-05
Position 404: 7.798634581306167e-05
Position 1334: 6.71395337076564e-05
Position 282: 4.662093937284988e-05
Position 1001: 4.602069497417958e-05
Position 1175: 4.131508241675371e-05
Position 215: 3.693429239293043e-05
Position 1148: 3.5548766514326525e-05
Position 1133: 3.0215937283667093e-05
Position 917: 2.6894503963270807e-05
Position 348: 2.4541081554000892e-05
Position 1437: 2.2278967329001906e-05
Position 1420: 2.1274196640794932e-05
Position 649: 1.8105231827820802e-05
Position 694: 1.4759304733021893e-05
Position 409: 1.3452726554201992e-05
Position 107: 1.028800878095033e-05
Position 1290: 9.83967478697302e-06
Position 1238: 6.637695256067274e-06
Position 391: 6.482028563863104e-06
Position 1316: 5.422887765858115e-06
Position 1281: 5.317106372902386e-06
Position 293: 4.3993566117920275e-06
Position 662: 3.4535153680358853e-06
Position 886: 3.3402292896884337e-06
Position 206: 3.1549795221295985e-06
Position 218: 3.1304311175743568e-06
Position 691: 2.675402343643565e-06
Position 245: 1.1955429395552824e-06
Position 897: 6.77042593254074e-07
Position 1424: 5.642872264304569e-07
Position 890: 4.752366547969007e-07
Position 242: 2.9317332614328284e-07
Position 1246: 2.6453428475892884e-07
Position 1301: 1.4153144429325376e-07
Position 1231: 1.2325191391208333e-07
Position 1217: 1.1122141558712602e-07
Position 908: 5.713172095547443e-08
Position 470: 5.180305639360193e-08
Position 250: 9.070453247013451e-11
Position 253: 5.954686418389295e-11
