Gene = bora
index = 1632
Annotated 5SS: [373]
Annotated 3SS: [430]
SMsplice 5SS: [373]
SMsplice 3SS: [430]
top_k =  500
Partition function (log Z): -5.523069558037052

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9998237204681759
Position 1798: 0.009593965355489337
Position 1185: 0.0051401566203597105
Position 729: 0.004265176813514685
Position 948: 0.0028366004125741783
Position 1455: 0.0021086705973233856
Position 110: 0.001335801399653143
Position 980: 0.001012842235950334
Position 633: 0.0008408563969478428
Position 498: 0.0005565496594700828
Position 621: 0.0005396175670839827
Position 628: 0.0004378362566793625
Position 1314: 0.0004259770554761556
Position 841: 0.00038665716414201383
Position 1084: 0.0003793500491556299
Position 1927: 0.00036455471568650974
Position 1018: 0.0002783494815414347
Position 704: 0.00025127879788950004
Position 787: 0.00018147557703538427
Position 595: 0.00014954744596756416
Position 611: 0.0001261737004614349
Position 1347: 0.00011828037994467082
Position 314: 0.00011011123823829918
Position 836: 0.00010265541663880019
Position 1585: 9.613882525994422e-05
Position 584: 6.98775231301613e-05
Position 1623: 6.048666452613728e-05
Position 522: 4.907258389888399e-05
Position 1955: 4.055130410040141e-05
Position 1967: 3.624499728248125e-05
Position 995: 3.498500266000629e-05
Position 1915: 2.4275363079564126e-05
Position 941: 2.418773686069869e-05
Position 180: 2.2677142333566008e-05
Position 1588: 2.0451282947322596e-05
Position 152: 1.982617657095292e-05
Position 865: 1.702496064799591e-05
Position 844: 1.35990209779079e-05
Position 958: 1.1570685162171774e-05
Position 97: 9.565181104345381e-06
Position 281: 9.262217946221824e-06
Position 1921: 8.849234005799683e-06
Position 791: 7.382822768163841e-06
Position 542: 6.685619836623515e-06
Position 63: 1.7810491935354102e-06
Position 82: 1.4539787934857546e-06
Position 208: 3.64054343374062e-07
Position 51: 2.6902630723130444e-07
Position 1241: 2.3067947914141563e-07
Position 217: 2.1253050371485492e-07
Position 271: 1.9709754859569086e-07
Position 476: 1.947470887132169e-07
Position 166: 1.4419162636588471e-07
Position 33: 7.768480048391678e-08
Position 348: 2.7724317899003404e-08
Position 906: 2.755664465624101e-08
Position 283: 1.8579519943310243e-08
Position 377: 1.1886006992073651e-08
Position 482: 1.0244686429589684e-08
Position 847: 9.821744648685505e-09
Position 384: 2.468066801702981e-09
Position 821: 1.642702243184569e-09
Position 467: 3.011855902899845e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 430: 0.9439962714672688
Position 476: 0.022122686827167296
Position 1853: 0.011180530710686594
Position 676: 0.010510945601417963
Position 1788: 0.005467315756780732
Position 1824: 0.005321145727355661
Position 1715: 0.004575476082917977
Position 800: 0.003925194519589379
Position 1541: 0.0036394487135668506
Position 991: 0.0029337318022157003
Position 1045: 0.0028979972227470073
Position 656: 0.00264041946315423
Position 569: 0.0017991769161483837
Position 920: 0.0016549791834958739
Position 1549: 0.0016163044185087112
Position 2011: 0.0011481985646883597
Position 865: 0.001047907496356117
Position 166: 0.0009345586743330993
Position 1940: 0.0008840982926611501
Position 704: 0.0005683784920896307
Position 2016: 0.00045650831503527554
Position 1300: 0.00034150185096809094
Position 1794: 0.0002501089050789921
Position 198: 0.00019981147315612104
Position 1251: 0.00019249590481074488
Position 608: 0.00015718983795059163
Position 1471: 0.0001498744402222633
Position 201: 0.0001384605610220792
Position 1529: 0.00013070176780286146
Position 1346: 0.0001261523798134261
Position 566: 0.00011047528361907556
Position 829: 0.00010118905933818771
Position 1255: 9.924858042921128e-05
Position 186: 7.393215083875187e-05
Position 482: 5.9116427880935044e-05
Position 2031: 5.424127721301765e-05
Position 542: 4.830233730720486e-05
Position 628: 4.307548891715986e-05
Position 1507: 3.67781124621801e-05
Position 712: 3.649037885174198e-05
Position 1955: 3.621614458474608e-05
Position 774: 3.520242823421068e-05
Position 1241: 3.047448845112647e-05
Position 1637: 2.737297292002711e-05
Position 1184: 2.5434571232413345e-05
Position 768: 2.5170170019679038e-05
Position 261: 1.9443421186061722e-05
Position 1485: 1.5862163170672647e-05
Position 1021: 1.537360059191313e-05
Position 1208: 1.3226287684319055e-05
Position 372: 9.918004369647977e-06
Position 1102: 9.104587178897443e-06
Position 303: 5.845246084574459e-06
Position 595: 5.116365445509155e-06
Position 332: 4.900395579481365e-06
Position 268: 3.6157997088101552e-06
Position 245: 8.876286770615712e-07
Position 133: 1.1386121950270843e-07
Position 313: 8.546735805059908e-08
Position 94: 6.917560333299284e-08
Position 578: 3.280091627349586e-08
Position 125: 2.5586409112888835e-08
Position 965: 1.4522080180844211e-08
Position 335: 1.197682660896186e-08
Position 611: 7.97100003773709e-09
Position 82: 2.8571663537805513e-09
Position 584: 2.7144822062847808e-09
Position 109: 2.640954393953418e-09
Position 527: 9.346860754918725e-11
Position 377: 3.350187173186121e-12
Position 680: 3.236745408419018e-12
Position 497: 5.678734194173736e-18
