Gene = Nup98
index = 775
Annotated 5SS: [  159 14392 15228 15516 18274 23545 24316 25371 26714 29800 33864 40814
 46488 49636 53125 56382 57041 57859 62977 64620 70709 71445 75613 77545
 80361 81233 82413 83727 85074 86024 86639 89418]
Annotated 3SS: [14287 15125 15338 18133 23436 24134 25206 26575 29660 33770 40672 46353
 49447 53007 56082 56926 57719 62798 64454 70525 71290 75182 77314 80093
 81074 82268 83583 84851 85781 86483 89305 89504]
SMsplice 5SS: [  108 14392 15228 15516 18274 23545 25371 25779 26714 29900 33864 40814
 46488 49636 51360 53125 56382 57041 57859 62977 64620 70709 74447 75304
 75613 77545 81233 82413 83727 86024 86639 89418]
SMsplice 3SS: [14287 15125 15338 18133 23436 25206 25686 26561 29660 33770 40672 46353
 49447 51242 53007 56082 56926 57719 62798 64454 70525 74328 75182 75516
 77314 81074 82268 83583 85781 86483 89305 89504]
top_k =  500
Partition function (log Z): 39.57739237849908

Sorted 5' Splice Sites (High to Low Probability):
Position 33864: 1.000000000000014
Position 49636: 0.9998471768764551
Position 81233: 0.9970828182410336
Position 15228: 0.9970743697277787
Position 53125: 0.9946585645338827
Position 23545: 0.9926358329747292
Position 40814: 0.9827982471841877
Position 25371: 0.979141036491033
Position 89418: 0.9723456192837264
Position 64620: 0.9660072863090245
Position 15516: 0.9635164886241987
Position 83727: 0.9607807785412255
Position 57041: 0.9504895552899612
Position 86639: 0.945686221186182
Position 26714: 0.9158196378768356
Position 18274: 0.8848440080992498
Position 25779: 0.8782991131682606
Position 75304: 0.8597120214174265
Position 108: 0.8169936353151901
Position 62977: 0.8122330282582241
Position 75613: 0.8061846131185602
Position 46488: 0.8046231565133646
Position 57859: 0.8031587226327868
Position 70709: 0.7771851092449342
Position 82413: 0.7567232310356772
Position 77545: 0.7082383705668746
Position 56382: 0.6456760554993335
Position 51360: 0.6186774043162598
Position 752: 0.5043020216654737
Position 60248: 0.4736750580636716
Position 80361: 0.43952230263812786
Position 29900: 0.4334254419559555
Position 25579: 0.4248905728883317
Position 84097: 0.3914971770886614
Position 67457: 0.37279126422090686
Position 86024: 0.3583885461793259
Position 16048: 0.3562922464470988
Position 22130: 0.33413556772151976
Position 86042: 0.314598083085883
Position 19727: 0.30700748114424664
Position 29749: 0.27652968930026484
Position 84190: 0.2435521223503194
Position 65859: 0.23993882233298985
Position 41208: 0.2320603439435249
Position 85074: 0.2162844173551518
Position 18568: 0.20509121800016689
Position 71445: 0.17741862095740096
Position 83996: 0.17310803660788232
Position 89719: 0.17063059307962325
Position 31253: 0.16619848388977948
Position 72548: 0.1488220695971982
Position 35637: 0.1467467758075366
Position 67631: 0.14289186085293423
Position 30272: 0.14007443678284148
Position 25555: 0.12250600370756692
Position 84983: 0.119401156766525
Position 28380: 0.11736477615338506
Position 52423: 0.11490544338829917
Position 52924: 0.11047443719609336
Position 82438: 0.1100147641985657
Position 56061: 0.10965019484378867
Position 24316: 0.102463984364066
Position 159: 0.10185605637541974
Position 63633: 0.09802928605907335
Position 58079: 0.09245603765685367
Position 51081: 0.08573657877692155
Position 58416: 0.08033555414106759
Position 46856: 0.07659692294168736
Position 65763: 0.06369753632909264
Position 29817: 0.061494403846080084
Position 50971: 0.06084505734411944
Position 57269: 0.05805747716160395
Position 62943: 0.05800718842795092
Position 18843: 0.057765072294608893
Position 85155: 0.050884964279429866
Position 47517: 0.050674870331338114
Position 438: 0.05038771161487155
Position 18081: 0.04718988022438789
Position 52590: 0.045959573336996074
Position 58186: 0.045450364231109985
Position 17638: 0.044609261470822836
Position 62968: 0.042228529903766514
Position 24289: 0.041327836119770804
Position 54880: 0.041236624658434196
Position 57047: 0.04106001526422192
Position 66723: 0.040043662356302086
Position 19502: 0.03742365987608744
Position 30057: 0.03613948510950891
Position 57960: 0.03582015280663252
Position 40050: 0.03528602188038022
Position 58206: 0.032520099931540355
Position 16931: 0.03187290137292919
Position 87166: 0.03165027921141388
Position 21171: 0.03148727241862088
Position 65557: 0.029442182582868445
Position 67675: 0.029430860461126564
Position 80897: 0.029399930247543088
Position 46935: 0.028765197137492593
Position 37787: 0.028274758037705593
Position 26718: 0.026707385076419905
Position 65230: 0.025864491246595876
Position 57839: 0.025228245532767334
Position 82450: 0.025105369166413163
Position 20213: 0.02369026687402573
Position 17268: 0.023274155363331966
Position 65345: 0.023048521727514266
Position 17864: 0.022814126526522864
Position 24425: 0.022510330712054025
Position 64654: 0.021334380690428003
Position 20217: 0.019209519524243206
Position 82394: 0.01915555434521448
Position 64026: 0.01883748980040223
Position 47546: 0.018636309162002974
Position 67144: 0.018132940709630136
Position 90241: 0.017863581144694374
Position 47941: 0.017785286850692018
Position 88419: 0.01768197112283246
Position 86202: 0.017373067581071478
Position 31274: 0.017177480320624276
Position 35963: 0.017095584454887555
Position 83209: 0.01633780549774902
Position 84706: 0.0161414196544721
Position 18394: 0.015869097418937314
Position 82494: 0.015509267462991635
Position 40810: 0.015505829904111642
Position 56756: 0.014270027747715576
Position 75689: 0.013353995733213778
Position 49915: 0.01296497633694187
Position 54892: 0.012618608853404576
Position 24670: 0.01235535638873733
Position 52694: 0.011395368091558992
Position 565: 0.011029601242373463
Position 88173: 0.010873679425208697
Position 83746: 0.010831180172651693
Position 46817: 0.010772607983021971
Position 25330: 0.010738695107315253
Position 86759: 0.01000359756539621
Position 452: 0.009921844380846567
Position 39093: 0.009729856560486529
Position 29149: 0.009368213424093203
Position 58126: 0.009252820257313029
Position 73245: 0.009110100375255524
Position 17826: 0.009011205969530974
Position 76984: 0.008883567355096676
Position 30556: 0.008644030866426646
Position 60196: 0.007803341445113261
Position 86609: 0.0071878299945361285
Position 15981: 0.006826617658171827
Position 90276: 0.006797821719045147
Position 15520: 0.006716955037039023
Position 81027: 0.00662636223806859
Position 15447: 0.006473766407744608
Position 87343: 0.006454229901414731
Position 59486: 0.006403706653108545
Position 65835: 0.00601660337503844
Position 84805: 0.00600231716737374
Position 54617: 0.005721355863659887
Position 82349: 0.005699755737508177
Position 25721: 0.005459406993617276
Position 87607: 0.005302064706331201
Position 56592: 0.005296820470851174
Position 86628: 0.005291855529115481
Position 22258: 0.005226671608611301
Position 20856: 0.005093158661674079
Position 119: 0.005013513276932915
Position 64967: 0.00496082091396187
Position 27778: 0.004545417969877425
Position 18230: 0.0044119075365156015
Position 58273: 0.003847253757824727
Position 56147: 0.0037992228558558615
Position 22360: 0.003788320933548559
Position 64472: 0.0036862909109037284
Position 17859: 0.0036388710322560964
Position 20807: 0.003633956096726727
Position 81740: 0.003598105120624843
Position 54040: 0.0035406896084989176
Position 59160: 0.0034711555781552113
Position 57843: 0.003435832424269748
Position 45752: 0.0033974155255279545
Position 26238: 0.0030463839396961605
Position 54380: 0.0028884003454427774
Position 17891: 0.0028691252664173024
Position 58004: 0.0027787457359551883
Position 84030: 0.002768778591075044
Position 86193: 0.0026646980026929627
Position 17085: 0.002533196068618801
Position 88161: 0.002338948513853597
Position 29800: 0.0023086910056129193
Position 84041: 0.002200319485385368
Position 89426: 0.002174288107013432
Position 53706: 0.0020956756056573463
Position 82454: 0.0020455572034055857
Position 283: 0.0019647004184401274
Position 57605: 0.001924945817860133
Position 82768: 0.0017508621666548303
Position 57627: 0.0017312626040670387
Position 84330: 0.0016968525667740116
Position 83199: 0.0016933503474063694
Position 87197: 0.0016059343435077657
Position 23629: 0.0015894558189299506
Position 60: 0.0015019052093432513
Position 89537: 0.001493851556625853
Position 82537: 0.0014557764295848453
Position 19327: 0.0014177718113713876
Position 18278: 0.0014162694322389614
Position 83063: 0.001261792819195669
Position 42269: 0.0011094180348643137
Position 55940: 0.001058184306806665
Position 26243: 0.0009829641157698735
Position 57360: 0.0009207087584792563
Position 56875: 0.0008793419753057854
Position 84272: 0.0008212844759408562
Position 190: 0.0007171340354215221
Position 17715: 0.0006555470391412698
Position 65381: 0.000506176917970175
Position 81776: 0.00048509267896770954
Position 57502: 0.00047882988172252605
Position 81868: 0.00045331596102304655
Position 54295: 0.0004496268798021163
Position 16951: 0.00043169322765039954
Position 23535: 0.0003955535719282583
Position 16970: 0.0003729174422505299
Position 81872: 0.00036651471468411806
Position 23549: 0.0002566000733972948
Position 88: 0.00025611710103826205
Position 26670: 0.00017777131324187375
Position 27794: 0.00017319405136351305
Position 82128: 0.00016743709271753283
Position 84034: 0.00013458836719617109
Position 23695: 0.00012317096886608158
Position 89519: 0.00011068651732244044
Position 354: 8.394136729193352e-05
Position 27023: 7.349720967438565e-05
Position 64639: 7.186939841420966e-05
Position 83653: 6.001279245791762e-05
Position 23447: 5.561287487898843e-05
Position 493: 5.033389241340512e-05
Position 251: 4.772453333303299e-05
Position 498: 3.6796817456325874e-05
Position 410: 3.5117081642855646e-05
Position 27461: 2.5862218080000565e-05
Position 42450: 2.452455077802611e-05
Position 560: 2.1948292065966546e-05
Position 16096: 2.187856519723045e-05
Position 42091: 2.155762493582952e-05
Position 42247: 1.813246024752736e-05
Position 547: 1.0249183054943966e-05
Position 16056: 8.830189561156933e-06
Position 64: 8.637955664175896e-06
Position 569: 8.32693968020454e-06
Position 206: 8.318908333862295e-06
Position 16659: 7.594130932174153e-06
Position 474: 7.185954559182151e-06
Position 432: 6.107438076962645e-06
Position 471: 6.06983558831507e-06
Position 540: 5.441938196690908e-06
Position 18200: 5.167749390446506e-06
Position 535: 4.46163383487222e-06
Position 391: 3.6433041979428732e-06
Position 374: 2.7211895193674493e-06
Position 163: 2.689438229615838e-06
Position 53104: 2.0160832438465903e-06
Position 347: 1.8343652171531706e-06
Position 256: 1.8186611747188636e-06
Position 345: 1.6824853623903645e-06
Position 367: 1.5136131736024198e-06
Position 580: 1.2162020765082947e-06
Position 25400: 7.984859306735463e-07
Position 57815: 7.250442375749276e-07
