Gene = Rp9
index = 913
Annotated 5SS: [  275  9638 10976 14570 18547]
Annotated 3SS: [ 9606 10845 14477 18484 19493]
SMsplice 5SS: [  275 10976 11168 14570 18547]
SMsplice 3SS: [10845 11071 14477 18484 19063]
top_k =  1000
Partition function (log Z): -0.8709287393331562

Sorted 5' Splice Sites (High to Low Probability):
Position 14570: 0.9969432890407145
Position 10976: 0.9664100554027129
Position 11168: 0.9148504064931434
Position 18547: 0.7073340806562004
Position 275: 0.551976323447952
Position 4394: 0.44504028070801604
Position 16240: 0.3849400657270543
Position 6929: 0.37991812789368207
Position 13513: 0.3477006787535084
Position 9451: 0.22663813551935746
Position 629: 0.21946244501931225
Position 1174: 0.20920062801948391
Position 11553: 0.1997008590559943
Position 4380: 0.15134729748538983
Position 3163: 0.14207397683636402
Position 18842: 0.09672286657728012
Position 9638: 0.09289050554670258
Position 13508: 0.07877156460472838
Position 7464: 0.0744496655788627
Position 16207: 0.06757916827801766
Position 3290: 0.06649314522566047
Position 293: 0.06399993124939683
Position 5828: 0.06224245175680994
Position 12734: 0.042671943051443895
Position 3903: 0.04034470902159547
Position 16862: 0.04025728454474498
Position 17861: 0.03568559020759029
Position 302: 0.03560326912574841
Position 12312: 0.032182650573628256
Position 672: 0.03142822503327087
Position 73: 0.031210778463451445
Position 625: 0.028687858737298965
Position 14318: 0.026113901352319363
Position 10393: 0.024084933360738997
Position 10136: 0.02342387797996618
Position 3244: 0.023361367345889242
Position 19271: 0.022519562467234747
Position 2856: 0.01915854255289006
Position 718: 0.01911397247474854
Position 10960: 0.019036578058757112
Position 322: 0.018461781240052093
Position 7125: 0.017133756530012426
Position 4049: 0.014946811096637291
Position 12914: 0.014733906165944671
Position 3984: 0.012695912195846815
Position 18853: 0.012395952107273824
Position 7070: 0.01126409822460785
Position 639: 0.010836447818385319
Position 12816: 0.01014641449861851
Position 13605: 0.009950023517708718
Position 9515: 0.009585052056021068
Position 8802: 0.009279805119985749
Position 16698: 0.008817517698950365
Position 2827: 0.007966164895500494
Position 18542: 0.0076980779256010465
Position 2562: 0.007476835431164473
Position 14833: 0.0072998735930095
Position 6579: 0.006502322896915818
Position 13461: 0.006492620507178303
Position 13680: 0.006067047266597751
Position 2470: 0.006019881223959586
Position 1975: 0.005995681008337012
Position 4223: 0.005801632805518743
Position 15193: 0.005328930291373834
Position 6453: 0.0037695536862204153
Position 4568: 0.003168288237034297
Position 14750: 0.002946422489603792
Position 4847: 0.0028056290157558775
Position 2515: 0.002602901903159333
Position 11789: 0.00252665939029109
Position 10381: 0.002445841915823765
Position 84: 0.0023447317049886925
Position 10966: 0.002305705493724314
Position 8123: 0.0021058942184786476
Position 80: 0.0018653446844420836
Position 11029: 0.0017605291908977814
Position 11607: 0.0017572799637561433
Position 15227: 0.001600382215984737
Position 7208: 0.0015274044598995562
Position 9475: 0.001431537950910852
Position 1168: 0.0014223768068599763
Position 12868: 0.0014210293128022456
Position 12360: 0.0014025320607956998
Position 12606: 0.0013159306611168976
Position 13408: 0.001253397513600021
Position 5072: 0.0012430497409513402
Position 11650: 0.0012430239287399031
Position 14225: 0.0011368444600503833
Position 7157: 0.0011279196012940623
Position 7144: 0.0011172211624289096
Position 6185: 0.0010810510840437194
Position 14322: 0.0009371923988784896
Position 698: 0.0008445443168555469
Position 11390: 0.0007731362120690272
Position 11040: 0.0007241224488802703
Position 1481: 0.0006661044084278134
Position 12948: 0.0006489010691503812
Position 11036: 0.0006355772022036314
Position 12813: 0.0005638657547685586
Position 10980: 0.0005150561208546822
Position 10908: 0.0004036288314462001
Position 11314: 0.0003557614093196428
Position 16526: 0.00033099757086359747
Position 613: 0.000297199962252942
Position 14821: 0.0002671191155634231
Position 10996: 0.0001826461573371752
Position 1875: 0.00016772084195191677
Position 608: 0.00016470029108994107
Position 13459: 0.00016143267395011233
Position 440: 0.00015400326610820486
Position 14574: 0.00014346367239270342
Position 328: 0.00013893762550014753
Position 3: 0.00011888187664723162
Position 15078: 0.0001099067841335553
Position 734: 0.00010312400473438022
Position 582: 9.501958003746257e-05
Position 2952: 9.471006080114044e-05
Position 775: 8.608586814200133e-05
Position 14744: 8.051017438382507e-05
Position 10938: 7.746856787937811e-05
Position 269: 7.442804685762667e-05
Position 15495: 7.026536827239274e-05
Position 89: 5.397096769218642e-05
Position 14494: 5.3705702104666244e-05
Position 793: 4.1026802122482005e-05
Position 801: 3.6465532952679897e-05
Position 141: 3.378036668548576e-05
Position 490: 2.971686777314912e-05
Position 678: 2.8023327666021417e-05
Position 55: 2.1686274989348023e-05
Position 773: 2.1046587816159075e-05
Position 11435: 1.9539098839758776e-05
Position 470: 1.8099953754047697e-05
Position 618: 1.7121405644935452e-05
Position 861: 1.685481855029832e-05
Position 830: 1.561804470286688e-05
Position 15309: 1.4600153780925833e-05
Position 777: 1.3847668357995431e-05
Position 1863: 1.2885637617737802e-05
Position 1047: 1.2645848615696421e-05
Position 279: 1.2563960301454385e-05
Position 828: 1.1953900910788954e-05
Position 1127: 1.1778506147168633e-05
Position 164: 1.1741156501787676e-05
Position 527: 1.1536581455883012e-05
Position 1780: 1.1419515425526756e-05
Position 753: 9.64056191226453e-06
Position 49: 9.348351933886368e-06
Position 1178: 7.511108395525594e-06
Position 805: 6.762902210205622e-06
Position 1691: 6.190549091938071e-06
Position 822: 5.977021650579285e-06
Position 402: 5.678452563682881e-06
Position 149: 3.984196913698733e-06
Position 715: 3.9519842120145736e-06
Position 14560: 3.5780002935746542e-06
Position 744: 3.5598983838780637e-06
Position 14706: 2.5366734706861355e-06
Position 152: 2.4166790698061787e-06
Position 14990: 2.2105833271350143e-06
Position 836: 2.1566125062657973e-06
Position 834: 2.1166080787133445e-06
Position 15719: 2.0642866797624427e-06
Position 832: 2.0507777084993703e-06
Position 42: 2.0168119460652997e-06
Position 653: 1.905466808559383e-06
Position 838: 1.8126720232284184e-06
Position 840: 1.7063456662472084e-06
Position 432: 1.704600577760878e-06
Position 842: 1.4466010571120366e-06
Position 844: 1.1711273540783016e-06
Position 846: 8.860958741824751e-07
Position 1003: 8.663237187065592e-07
Position 757: 7.342485616483296e-07
Position 848: 7.136094591034728e-07
Position 781: 6.240094962918164e-07
Position 850: 6.085939004521139e-07
Position 420: 5.486798796825156e-07
Position 852: 5.268166058213538e-07
Position 854: 4.3432694176642476e-07
