Gene = CHTOP
index = 371
Annotated 5SS: [ 295 2605 4400 8381 9316]
Annotated 3SS: [ 2522  4245  8196  9177 11014]
SMsplice 5SS: [ 295 2605 4400 5403 6362 9316]
SMsplice 3SS: [ 2522  4245  5318  6158  9177 11014]
top_k =  1000
Partition function (log Z): 3.601742712622794

Sorted 5' Splice Sites (High to Low Probability):
Position 2605: 0.9946204195996775
Position 9316: 0.9421490990897287
Position 295: 0.8993794952433332
Position 6362: 0.7974824531610439
Position 5403: 0.7900239594782734
Position 4400: 0.6544384323886353
Position 94: 0.47393082279328697
Position 7804: 0.2138111607266771
Position 4561: 0.17283426129788595
Position 8216: 0.1694578885737784
Position 7614: 0.14961975182357212
Position 11629: 0.14122491643428195
Position 8381: 0.1407133192274654
Position 12061: 0.08214536534332044
Position 11084: 0.07471787479345629
Position 6068: 0.059893878188923805
Position 8601: 0.04662882304740946
Position 11251: 0.021864837238729347
Position 7026: 0.021735155327161478
Position 7936: 0.0194733315101077
Position 3260: 0.01731114758142341
Position 2205: 0.016548610309209892
Position 219: 0.01634366280925378
Position 10398: 0.01385115895017448
Position 328: 0.012648311483485133
Position 4975: 0.01255666058017468
Position 5668: 0.012532030240893596
Position 9842: 0.009990143752292124
Position 9256: 0.009875269638215733
Position 5415: 0.009581638534578744
Position 7769: 0.008238061751608121
Position 7568: 0.008112307132743763
Position 1554: 0.007948348095788711
Position 10542: 0.006723405731258381
Position 11015: 0.0055447856685650835
Position 8238: 0.004918814546841062
Position 305: 0.004388154018217916
Position 1541: 0.00401166673676831
Position 2016: 0.0039027473950213583
Position 11021: 0.003796686441598228
Position 9310: 0.0037335150886073885
Position 668: 0.003344166160336343
Position 5686: 0.003203776167089575
Position 11717: 0.0031152657608647036
Position 5139: 0.0027084048058183905
Position 1037: 0.0025821304121861803
Position 3214: 0.002316408750628228
Position 8943: 0.002187629869857537
Position 6664: 0.0021332429839359002
Position 2984: 0.001954839428740092
Position 8572: 0.001901614373179875
Position 3902: 0.0018176136070068524
Position 568: 0.0017183230679713574
Position 9247: 0.0016801443585889768
Position 3386: 0.001642123724141543
Position 3201: 0.00159178702986385
Position 1496: 0.0015146610112969693
Position 6403: 0.001488387929717009
Position 6715: 0.0013614668607998964
Position 2973: 0.0012619298120268491
Position 3503: 0.0012424896056065556
Position 1081: 0.0011889312157083544
Position 11267: 0.0010553282800628676
Position 2277: 0.0010551590985655068
Position 4144: 0.0009752403832112759
Position 3036: 0.0009144986836365208
