Gene = AURKAIP1
index = 120
Annotated 5SS: [ 342  791 1496]
Annotated 3SS: [ 704 1049 1592]
SMsplice 5SS: [ 791 1496]
SMsplice 3SS: [1375 1592]
top_k =  1000
Partition function (log Z): -0.21424137167379798

Sorted 5' Splice Sites (High to Low Probability):
Position 1496: 0.988833549206014
Position 1134: 0.5593645315389225
Position 791: 0.5243508965820536
Position 237: 0.19347540391455023
Position 342: 0.19080459882280743
Position 499: 0.1003794920487901
Position 45: 0.08126027710567786
Position 100: 0.0446522949646527
Position 358: 0.03074675530169182
Position 241: 0.011645360465593871
Position 1466: 0.008993976521044597
Position 953: 0.0043047224097417175
Position 1023: 0.0034791499843368043
Position 580: 0.002990959242790595
Position 832: 0.0027217269104062684
Position 1204: 0.0017472154064787472
Position 321: 0.0016944572046523275
Position 84: 0.0015837442648227638
Position 421: 0.0015808422125507039
Position 336: 0.0013596606762443948
Position 454: 0.0009762731039457316
Position 297: 0.0006779655495883171
Position 1094: 0.0006321665488569205
Position 255: 0.0005469514301698687
Position 584: 0.00040561886161828665
Position 1305: 0.0003776509776325672
Position 75: 0.00023869157681041169
Position 571: 0.00023300493645547768
Position 1436: 0.00019007427180364015
Position 1423: 0.0001809470263265947
Position 19: 0.00016073601012869817
Position 525: 0.00014181410967874328
Position 1208: 0.00014129915103755538
Position 407: 9.865689345459148e-05
Position 839: 6.597122424561079e-05
Position 1190: 4.621793645648725e-05
Position 1450: 4.3633822188560555e-05
Position 768: 3.662278955158415e-05
Position 503: 2.0881275219648567e-05
Position 16: 2.0556269657871188e-05
Position 845: 1.3888248160261329e-05
Position 616: 1.2344870169691911e-05
Position 935: 1.1041815989199393e-05
Position 874: 9.75663226656649e-06
Position 1011: 9.750781266686175e-06
Position 559: 9.431525849486635e-06
Position 590: 8.885189087284459e-06
Position 145: 8.067378457243618e-06
Position 1039: 2.50068553237662e-06
Position 1006: 1.5192140372523868e-06
Position 1500: 7.816987037520452e-07
Position 557: 7.352437501464342e-07
Position 1034: 1.8673732285628717e-07
Position 640: 1.8465445933639072e-07
Position 1598: 1.553489383808677e-07
Position 167: 7.977103968693394e-08
Position 87: 5.717919582827964e-08
Position 719: 1.3525166161421685e-08
Position 696: 1.4303384491120096e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1592: 0.999857242314207
Position 1375: 0.7132921420950301
Position 1049: 0.31376956226121083
Position 704: 0.17649394402405677
Position 1254: 0.14380217425007055
Position 920: 0.08483777424412874
Position 904: 0.07471204636893647
Position 1393: 0.04953219567456
Position 666: 0.04460524672017423
Position 1113: 0.04182989514200736
Position 1408: 0.03097657053156599
Position 735: 0.027110866759939473
Position 1318: 0.018632847759623872
Position 1303: 0.01152860165563911
Position 631: 0.0049186600657229575
Position 244: 0.00374936169857761
Position 1197: 0.0034672337996306092
Position 1274: 0.0031446056367560402
Position 1314: 0.0022174215285537978
Position 1133: 0.0016013805592425406
Position 1159: 0.0015811191781645872
Position 640: 0.0013277639697679366
Position 316: 0.001034098589654566
Position 395: 0.0007926890928761994
Position 1349: 0.0007504934332805624
Position 790: 0.0007464765224007575
Position 940: 0.0005073278122730146
Position 1339: 0.0005072378455870872
Position 1168: 0.0004970643122789785
Position 945: 0.0004098621696714605
Position 111: 0.0003321415926359431
Position 1020: 0.0003177176693270989
Position 868: 0.0003093079042233522
Position 1201: 0.0003040582498579706
Position 765: 0.00028326281887982576
Position 433: 0.00022195389182166553
Position 932: 0.00016847136987045269
Position 1322: 0.0001633859433294516
Position 204: 9.842670253864527e-05
Position 598: 9.379866921541996e-05
Position 1598: 8.664814636833274e-05
Position 922: 8.010807378806247e-05
Position 1089: 4.998295233617328e-05
Position 412: 4.671317889301938e-05
Position 605: 4.527753736483303e-05
Position 1423: 4.507713455229183e-05
Position 1222: 4.201503502925471e-05
Position 952: 3.972346028799788e-05
Position 228: 3.78537987426103e-05
Position 1079: 3.3096575548656636e-05
Position 854: 2.6173245565998883e-05
Position 1432: 2.6029707390498243e-05
Position 602: 2.411483301045408e-05
Position 1224: 2.1462566928047848e-05
Position 1212: 2.0907387845399434e-05
Position 836: 2.0354695362961942e-05
Position 566: 1.7672338726955826e-05
Position 104: 1.4863114589356578e-05
Position 1137: 1.2917309077619e-05
Position 362: 8.1057228938015e-06
Position 571: 8.031514146513878e-06
Position 1737: 7.726690452416077e-06
Position 305: 7.193668036263798e-06
Position 614: 6.90990091890826e-06
Position 1631: 4.9278226750321515e-06
Position 419: 4.337686024562997e-06
Position 610: 4.28423082596538e-06
Position 297: 3.6195666143880007e-06
Position 220: 3.3935139816851446e-06
Position 794: 2.395312780160951e-06
Position 1751: 2.2133785357043884e-06
Position 341: 1.9526208988577114e-06
Position 331: 1.7390490295898253e-06
Position 554: 1.4048976846793638e-06
Position 1608: 1.353361352829879e-06
Position 195: 1.3016608380445035e-06
Position 134: 1.224721654215737e-06
Position 509: 1.0794130850830504e-06
Position 356: 7.429255534574514e-07
Position 773: 5.560556058352276e-07
Position 540: 5.153270810940698e-07
Position 851: 3.5154902350970144e-07
Position 375: 3.2379532667122137e-07
Position 1656: 2.927094437384151e-07
Position 87: 2.6195056684013394e-07
Position 417: 1.8700555024834724e-07
Position 117: 1.7474744686192323e-07
Position 839: 1.388288762161397e-07
Position 1664: 1.0957987603393444e-07
Position 467: 9.705962477066122e-08
Position 368: 7.164013448819056e-08
Position 1643: 6.438452648013949e-08
Position 1673: 6.112825344541555e-08
Position 1760: 3.061735135556969e-08
Position 1531: 2.3365784435145997e-08
Position 1524: 2.3149293463787317e-08
Position 1753: 1.8634414783782224e-08
Position 1695: 1.735228528356023e-08
Position 1615: 1.3746028303393433e-08
Position 1604: 1.2883099681627608e-08
Position 122: 1.2370379262152306e-08
Position 1647: 1.1734425361728736e-08
