Gene = SPDL1
index = 1307
Annotated 5SS: [  256  4942  7591  9915 10661 10859 11048 13068 14946 15526 17992]
Annotated 3SS: [ 4759  7413  9719 10510 10759 10936 12926 14841 15337 17645 20425]
SMsplice 5SS: [  256   533  4942  9915 10661 10859 11048 13068 14946 15526]
SMsplice 3SS: [  453  4759  9719 10510 10759 10936 12950 14841 15337 17235]
top_k =  100
Partition function (log Z): 8.336797192829474

Sorted 5' Splice Sites (High to Low Probability):
Position 11048: 0.9999999999999999
Position 9915: 0.9991171489427205
Position 10859: 0.9781837835960108
Position 13068: 0.9743077082414681
Position 14946: 0.950694564168839
Position 10661: 0.844330541002628
Position 533: 0.8016643890564711
Position 256: 0.7708306269576144
Position 15526: 0.7018134202533518
Position 4942: 0.5642231874399602
Position 7591: 0.5438635523649109
Position 4857: 0.4332109768245261
Position 956: 0.3067461054862752
Position 1610: 0.23474020052966413
Position 249: 0.1412705144796815
Position 15921: 0.1379660421649508
Position 17557: 0.09509708214429544
Position 1978: 0.0919095321048187
Position 938: 0.08988176513613752
Position 1111: 0.07770720101523296
Position 14568: 0.07225589261242985
Position 538: 0.06687461368329517
Position 10592: 0.05238403291023474
Position 9564: 0.051841063196248996
Position 12397: 0.049813215427280524
Position 15060: 0.04705557438972675
Position 281: 0.04662257550260011
Position 14443: 0.03850579051579464
Position 5294: 0.037296524893118646
Position 1069: 0.016366947470787454
Position 481: 0.012729172674643041
Position 864: 0.008433178060355418
Position 10833: 0.006729542165302159
Position 10869: 0.005436015427191704
Position 565: 0.0038081777329049445
Position 10790: 0.0032721950282664407
Position 274: 0.002988591637791565
Position 15875: 0.002944079744287804
Position 10268: 0.0016341496011273026
Position 4916: 0.0014408849821875248
Position 10191: 0.0011173222803733947
Position 612: 0.0011022445946073166
Position 796: 0.0007595965449096053
Position 4873: 0.000615039639899028
Position 528: 0.0004847129415270819
Position 25: 0.0004293411175001855
Position 88: 0.0002905788818136469
Position 179: 0.00021144359714452766
Position 285: 0.00019279301351152615
Position 15: 0.0001380431719781006
Position 493: 8.149217749353343e-05
Position 589: 7.474145077996599e-05
Position 684: 6.417486884373139e-05
Position 194: 6.089127188311194e-05
Position 343: 4.1162343545563094e-05
Position 95: 1.3567468286846834e-05
Position 9: 1.051289329799859e-05
Position 83: 5.9425596701456195e-06
Position 300: 4.991663903932945e-06
Position 174: 3.361032373574254e-06
Position 53: 3.382202873146246e-08
Position 43: 5.695652943623043e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10936: 0.9999522846308802
Position 4759: 0.9994900888865725
Position 9719: 0.9991171489427204
Position 10759: 0.9856263832224164
Position 14841: 0.912513587608667
Position 453: 0.8482169404539408
Position 10510: 0.774666702186532
Position 15337: 0.6435227949671674
Position 7413: 0.5438635523649108
Position 12950: 0.4831565318779934
Position 891: 0.4825873045828602
Position 12926: 0.4478292867846679
Position 17235: 0.3553617623005593
Position 17645: 0.23777379940660337
Position 17611: 0.18875289795845068
Position 1475: 0.17918663392872342
Position 19891: 0.12767769258108932
Position 1876: 0.08562000891912495
Position 15377: 0.07852862475367775
Position 20425: 0.07769504308300088
Position 15803: 0.07297100381395012
Position 10410: 0.06914979355033325
Position 15679: 0.06348994126210547
Position 14476: 0.0565753678112655
Position 1506: 0.05502775621152598
Position 14343: 0.05418631531695898
Position 10377: 0.052898078175997225
Position 9316: 0.05184106319624903
Position 14855: 0.050836838340353685
Position 18014: 0.046165989616433624
Position 12296: 0.04400568625242685
Position 12980: 0.0433218895788068
Position 5124: 0.037296524893118646
Position 15832: 0.03495403110576816
Position 14816: 0.019013080180179557
Position 734: 0.01475581525643792
Position 15039: 0.011366027962384456
Position 10763: 0.008042868363473898
Position 16696: 0.007911294343855148
Position 1751: 0.006289523185693712
Position 12130: 0.0050619900785941405
Position 14914: 0.004020604466979696
Position 15851: 0.0022506016186571373
Position 10134: 0.0021691864217250516
Position 852: 0.0015587827075357102
Position 362: 0.0013964823088301178
Position 15228: 0.0007651474955683625
Position 12356: 0.0007455390962595318
Position 414: 0.0006328983327956034
Position 10069: 0.0005822854597756459
Position 782: 0.0005123059393844075
Position 1577: 0.00027252505483055006
Position 1483: 0.00025328533458420725
Position 354: 0.00022287051240297762
Position 132: 9.720838092198463e-06
Position 334: 2.1820694782605838e-07
Position 330: 8.54032789989308e-08
Position 326: 6.033594836619206e-08
