Gene = GSTK1
index = 626
Annotated 5SS: [ 143  725 1234 1650 1854 4291 4742]
Annotated 3SS: [ 642 1104 1548 1817 4173 4647 5344]
SMsplice 5SS: [ 143  725 1650 1854 4291 4742]
SMsplice 3SS: [ 642 1548 1817 4173 4647 5344]
top_k =  100
Partition function (log Z): 3.890562342935339

Sorted 5' Splice Sites (High to Low Probability):
Position 1650: 0.9987958199073339
Position 1854: 0.953057870137818
Position 143: 0.9101310350030128
Position 725: 0.8327091942955561
Position 4742: 0.6915911380083081
Position 4291: 0.3990333608714481
Position 4746: 0.20576815895160333
Position 4243: 0.18773784155066933
Position 1234: 0.11387690241389202
Position 4307: 0.06410198311085576
Position 943: 0.0579790128912416
Position 1918: 0.04306064682936078
Position 4058: 0.04222212302701189
Position 199: 0.021612166752029545
Position 738: 0.020740258638519707
Position 530: 0.017264099468509087
Position 3659: 0.01563714543436739
Position 1436: 0.015414615807564074
Position 2352: 0.011994750437642173
Position 224: 0.011360414920899667
Position 289: 0.010342024340014905
Position 1259: 0.009706182830285457
Position 181: 0.008872621119377437
Position 495: 0.005191415198524218
Position 3770: 0.004503055667420839
Position 684: 0.0036826114419277393
Position 654: 0.0031846021262200855
Position 492: 0.003135425289497016
Position 2105: 0.0028975083627700636
Position 2109: 0.0023720107130353334
Position 4774: 0.0023558802040325247
Position 366: 0.001753645644398856
Position 2047: 0.0015372354859491085
Position 231: 0.001406880666951616
Position 750: 0.0012599473963094408
Position 255: 0.001159861929336786
Position 110: 0.0009587405183430403
Position 864: 0.0006751520063134687
Position 1120: 0.0005562888217772264
Position 535: 0.0005484280020160925
Position 158: 0.0004722903522714253
Position 537: 0.0004157517817198717
Position 1643: 0.00016384998262018746
Position 172: 0.00014070147181342619
Position 356: 0.00012218137439497706
Position 1656: 0.0001045452656340817
Position 21: 8.806784236018046e-05
Position 1654: 3.4440926220140836e-05
Position 92: 1.6706968608021975e-05
Position 115: 1.51575536052771e-05
Position 170: 1.50334807284834e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 1548: 0.9963959005945918
Position 4647: 0.9162204201208457
Position 642: 0.9025502675877016
Position 1817: 0.8432409054780095
Position 5344: 0.8061518475550646
Position 4173: 0.6563761044963421
Position 1767: 0.11693132536123137
Position 1104: 0.09999546208849133
Position 5548: 0.09848422435957804
Position 1723: 0.03637656216077804
Position 4201: 0.023107555336906168
Position 3882: 0.020999997748094336
Position 1137: 0.019871041238107894
Position 4000: 0.016783835002661444
Position 5143: 0.016243267878239126
Position 1993: 0.015055337743637522
Position 3243: 0.007681849447171843
Position 1081: 0.006368085978417704
Position 1205: 0.006223454780273437
Position 3654: 0.005906964327436974
Position 3263: 0.005181154407314389
Position 5239: 0.005105513971990839
Position 5498: 0.004992553837491444
Position 4455: 0.004909668995609499
Position 807: 0.004567916369581643
Position 3803: 0.00443829027625611
Position 5213: 0.004303202256519472
Position 356: 0.004124377995396018
Position 2208: 0.0038866443448346147
Position 5467: 0.0035205946391353186
Position 3428: 0.0035079416063824318
Position 1358: 0.002895590683097141
Position 5299: 0.0023748617692074007
Position 887: 0.0023217738597356326
Position 398: 0.0019920425469824106
Position 564: 0.0019869454430395134
Position 2608: 0.0019333150518865277
Position 3401: 0.0017822319074518
Position 1065: 0.0016361555721326386
Position 1954: 0.0014137835600317793
Position 1552: 0.0012683267934291177
Position 1502: 0.001145250549740646
Position 2632: 0.0005634847308803865
Position 3087: 0.000382801195642071
Position 428: 0.00029107077105135936
Position 315: 0.00021721276563707603
Position 336: 2.466198968590752e-05
Position 464: 2.2038231529836872e-05
Position 252: 9.047749349900387e-06
Position 1824: 7.89096278694233e-06
Position 1841: 2.29551246880369e-06
Position 1711: 2.1132478463867087e-06
Position 660: 1.3527600292729824e-06
Position 533: 2.675843826889468e-07
