Gene = COMMD10
index = 394
Annotated 5SS: [   103   2597   6199   7710  49188 206586]
Annotated 3SS: [  2505   6087   7553  49076 206525 207459]
SMsplice 5SS: [   103   2597   6199   7710  49188  62196  86667 130284 133371]
SMsplice 3SS: [  2505   6087   7553  49076  62113  86552 130169 133171 203260]
top_k =  100
Partition function (log Z): -96.86582224753604

Sorted 5' Splice Sites (High to Low Probability):
Position 7710: 0.9680640051126912
Position 6199: 0.9272146187139915
Position 103: 0.8963521053205811
Position 2597: 0.8945371562106924
Position 5421: 0.3427409653628707
Position 3607: 0.15193582901494107
Position 6505: 0.14326445849230704
Position 2861: 0.12193225538564935
Position 4273: 0.08716088555220593
Position 11644: 0.061633393776137996
Position 2834: 0.04971452407367315
Position 452: 0.039454314387832326
Position 7081: 0.032695129314181066
Position 8448: 0.03238491200505302
Position 492: 0.028661823843801212
Position 340: 0.02779236492249887
Position 7705: 0.021120169410434517
Position 7065: 0.015709150838530993
Position 4232: 0.014672632272212407
Position 478: 0.012784898030542129
Position 7144: 0.010677504588509006
Position 5654: 0.007340188050864733
Position 6295: 0.005532382137054236
Position 1036: 0.004582165869459034
Position 2312: 0.00020295749175059923
Position 344: 9.346309867742311e-05
Position 210: 8.286647277313462e-05
Position 773: 6.056966520461541e-05
Position 128: 5.1238395509564125e-05
Position 265: 2.2740399386195437e-05
Position 322: 2.218527831791912e-05
Position 588: 1.8868365213366842e-05
Position 400: 1.3308957470057707e-05
Position 220: 1.063441750132507e-05
Position 829: 8.021417951973711e-06
Position 230: 5.266843241393772e-06
Position 562: 4.28612991190318e-06
Position 374: 9.25839574928139e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 7553: 0.998661258388772
Position 6087: 0.933580431165528
Position 2505: 0.7491215049000726
Position 5340: 0.3500811534137362
Position 10608: 0.2172388726651079
Position 14100: 0.16759571517871746
Position 2706: 0.15993409132121386
Position 3494: 0.14743684707122381
Position 2393: 0.1395112241261519
Position 12695: 0.13437126782558134
Position 6405: 0.12321683037560242
Position 4066: 0.1018335178244191
Position 11579: 0.09945624255640101
Position 14640: 0.0748220028392756
Position 11680: 0.06824919215023773
Position 6922: 0.059081784741220535
Position 8197: 0.04741257222962459
Position 10773: 0.03851216162149046
Position 14518: 0.03692872571690809
Position 7805: 0.031818913316377394
Position 11317: 0.031692690691890665
Position 8487: 0.02306311669230066
Position 12050: 0.022355773869590173
Position 11523: 0.022102565692345935
Position 13387: 0.02036851407750727
Position 10696: 0.01741245930536778
Position 11289: 0.016024249567351406
Position 6327: 0.012279507163852748
Position 7809: 0.01177331285730279
Position 5990: 0.006934690638371145
Position 2808: 0.005513109390392457
Position 2173: 0.005403778033219672
Position 922: 0.004582165869459066
Position 3474: 0.004498981943717148
Position 2708: 0.0043653130382681005
Position 429: 0.00411653860158706
Position 7811: 0.0013708116428824979
Position 7557: 0.00133874161122752
Position 2680: 0.0011185573246460035
Position 2238: 0.0010637761069340495
Position 8231: 0.0006333198080598088
Position 472: 0.0005399730033094606
Position 322: 0.00045102279880340263
Position 2726: 0.00035553892087808285
Position 406: 0.0003323473822860584
