Gene = CENPK
index = 344
Annotated 5SS: [   71  1672  8372 10676 11605 20367 34052 34250 34717 41694]
Annotated 3SS: [ 1603  8221 10618 11531 20319 33968 34150 34589 41639 44534]
SMsplice 5SS: [   71  4509  8372 10708 11605 20367 34052 34250 34717]
SMsplice 3SS: [ 4388  8221 10507 11531 20319 33968 34150 34589 35758]
top_k =  100
Partition function (log Z): -15.45719790769601

Sorted 5' Splice Sites (High to Low Probability):
Position 4509: 1.0000000000000013
Position 8372: 0.9712582431572037
Position 11605: 0.9638275105628156
Position 71: 0.9025348777206277
Position 6153: 0.631576896282333
Position 10708: 0.5882132998535455
Position 1706: 0.4821310590478717
Position 366: 0.2424990170988051
Position 11176: 0.2363753068710439
Position 1975: 0.19612730415172702
Position 10676: 0.19311686466566902
Position 16571: 0.12162263295057102
Position 548: 0.10969211746285558
Position 18569: 0.08771919218695438
Position 1866: 0.0636156392195685
Position 14127: 0.06260145859015578
Position 18105: 0.042250701883002166
Position 12063: 0.030291486749928452
Position 11133: 0.020971254481329527
Position 133: 0.005061274107914767
Position 262: 0.000982380199232157
Position 468: 0.0005821243037771982
Position 363: 0.00025909815098170937
Position 91: 0.00018355622165591856
Position 103: 7.070134167632887e-05
Position 53: 3.699564197327707e-05
Position 65: 2.2134021980753225e-05
Position 1068: 2.0501112505442637e-05
Position 392: 8.121424045546485e-06
Position 293: 5.64895788156492e-06
Position 187: 3.624324236854148e-06
Position 6: 1.6208111948523165e-06
Position 57: 1.0228237724866113e-06
Position 370: 9.738510982101401e-08
Position 278: 8.253905912343341e-08
Position 281: 6.443066775529739e-08
Position 113: 1.4822730985266594e-14
Position 124: 8.412529647680021e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 11531: 0.9852597957938722
Position 4388: 0.8764742294261824
Position 8221: 0.799988659673728
Position 1603: 0.6510874048481686
Position 10507: 0.48284124453965405
Position 20319: 0.4645526750547263
Position 16406: 0.3615013835268518
Position 6002: 0.30110984807407637
Position 10410: 0.2984889199795597
Position 6080: 0.2781513789166931
Position 10983: 0.22114457743947427
Position 18470: 0.1250178092791353
Position 11925: 0.11011147315476306
Position 473: 0.10624161749389523
Position 17979: 0.10482899799003631
Position 8154: 0.10201445991130866
Position 14005: 0.10030708618868889
Position 304: 0.08762497050675709
Position 4364: 0.07002230269297219
Position 8090: 0.06925512357216823
Position 159: 0.06795648172676695
Position 1671: 0.06251633103777182
Position 4199: 0.053503467880847394
Position 10912: 0.03877019530718579
Position 5955: 0.036896302315108556
Position 11673: 0.03389529394395796
Position 1495: 0.015921768413290353
Position 6110: 0.01541936697645401
Position 1824: 0.012143906799391237
Position 14075: 0.004289596618614208
Position 15205: 0.004064256699943664
Position 11921: 0.0035656937652287484
Position 12307: 0.0024690602952681245
Position 11857: 0.0020936217436260825
Position 10074: 0.0020257445744689432
Position 11801: 0.0016058748913322157
Position 1870: 0.00020459132054503548
Position 4637: 0.00015640800862883053
Position 175: 5.249914052754557e-05
Position 359: 2.7805487692629965e-05
Position 223: 2.6240717376817217e-05
Position 247: 1.1970341352916474e-05
Position 928: 1.1013476084364192e-05
Position 966: 9.487636421078434e-06
Position 362: 2.5039850359861286e-06
Position 187: 2.3605542857844478e-07
Position 253: 1.4340979195300523e-07
Position 249: 6.44557060667162e-08
Position 271: 2.5647138165209438e-08
