Gene = TADA1
index = 1370
Annotated 5SS: [  168  6565  6883 12504 14125 16142 18209]
Annotated 3SS: [ 6472  6816 12405 13914 15989 18045 18607]
SMsplice 5SS: [  168  6565  6883 12504 16142 18209]
SMsplice 3SS: [ 6472  6816 12405 15989 18045 18607]
top_k =  100
Partition function (log Z): 0.6364629360724878

Sorted 5' Splice Sites (High to Low Probability):
Position 16142: 0.9998292732635736
Position 6565: 0.9874140468540915
Position 12504: 0.9831216182257
Position 18209: 0.9618106977015928
Position 6883: 0.6440835006599068
Position 168: 0.6341327297424179
Position 988: 0.267657461950899
Position 14125: 0.2634691200478729
Position 6912: 0.23384760092146906
Position 9140: 0.2044730289304288
Position 958: 0.20318781726761584
Position 631: 0.19548434061962713
Position 7649: 0.1804665946650345
Position 465: 0.14531577908437376
Position 1010: 0.08131811597281732
Position 13665: 0.08049095626555015
Position 7699: 0.07621685637435471
Position 17818: 0.05923432614835431
Position 17849: 0.05517598978492669
Position 4086: 0.05223094824761951
Position 18519: 0.0500079981388358
Position 8092: 0.038631241404410724
Position 7813: 0.03816396560667007
Position 18184: 0.027604120939905875
Position 993: 0.014356465641524591
Position 846: 0.013430007490653687
Position 18477: 0.013115394630207161
Position 12652: 0.01290427955223454
Position 655: 0.012085192045916652
Position 17626: 0.006401008765625428
Position 18492: 0.005911313629428221
Position 4035: 0.0037076393652676677
Position 106: 0.00334608555462967
Position 12508: 0.0021812520401582125
Position 419: 0.002096003941861299
Position 676: 0.0020554048306746092
Position 12933: 0.0016376621654009128
Position 160: 0.001280838148867182
Position 516: 0.0012729072640052484
Position 589: 0.0007409231024804726
Position 721: 0.0005549647647254703
Position 208: 0.00037147857992830645
Position 608: 0.000368713312934687
Position 71: 0.0002910888643247249
Position 64: 0.00020662060891820538
Position 281: 0.0002016795359083439
Position 18176: 0.0001785820302486412
Position 16078: 0.00017072673642470104
Position 304: 7.164888751156836e-05
Position 28: 6.56507256266579e-05
Position 485: 3.98608969680485e-05
Position 599: 1.653135798099586e-05
Position 190: 8.28636401234145e-07
Position 269: 7.29493916091277e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 15989: 0.9999999999999982
Position 12405: 0.9982071498180926
Position 6472: 0.9874140468540915
Position 18045: 0.9141900205277579
Position 6816: 0.8750544466753236
Position 816: 0.5744634987468347
Position 18607: 0.5669737100445926
Position 18320: 0.32951345201506826
Position 7547: 0.2527248432623103
Position 9042: 0.20447302893042874
Position 13914: 0.16571231774613346
Position 17705: 0.11441031593328098
Position 13945: 0.09775680230173943
Position 13624: 0.08049095626555015
Position 3942: 0.05593858761288717
Position 18660: 0.04227109241019214
Position 7948: 0.038631241404410724
Position 18003: 0.038570952626502515
Position 18079: 0.037989961660807786
Position 18972: 0.03280271381459461
Position 18444: 0.031208353687635065
Position 7430: 0.029051799169899865
Position 19500: 0.02790876365093228
Position 19187: 0.024009914109821513
Position 7450: 0.013070774213849078
Position 17522: 0.006401008765625433
Position 779: 0.00548636957667606
Position 18400: 0.004697908005947305
Position 17902: 0.0034617066705095673
Position 18554: 0.002967460728541779
Position 12773: 0.0016376621654009128
Position 6863: 0.0014947462879976257
Position 6673: 0.001381908618054718
Position 17880: 0.0010460796610449077
Position 16237: 0.0010160174562701128
