Gene = U2SURP
index = 1516
Annotated 5SS: [  135  9321 10815 12871 14833 15437 18498 19155 19847 20017 21124 21526
 22480 25715 26868 27108 31408 31812 33437 34566 35797 36665 37422 41738
 49511 52256 53581]
Annotated 3SS: [ 9275 10682 12771 14717 15302 18429 19059 19810 19933 20957 21313 22435
 25609 26800 26943 31244 31731 33348 34442 35639 36568 37354 41577 49399
 52136 53403 54772]
SMsplice 5SS: [  135  9665 10835 12871 14833 15437 18498 19155 20017 21124 21526 25715
 26868 27108 33437 34566 35797 36665 37422 41738 41986 49511 52256 53581]
SMsplice 3SS: [ 9456 10682 12771 14717 15302 18429 19059 19933 20957 21313 25609 26800
 26943 33348 34442 35639 36568 37354 41577 41852 49399 52136 53403 54772]
top_k =  100
Partition function (log Z): 14.9582067107237

Sorted 5' Splice Sites (High to Low Probability):
Position 33437: 0.9999999999999999
Position 37422: 0.9994343036670893
Position 25715: 0.9977967436488658
Position 21124: 0.9964817122023406
Position 15437: 0.9746448265295258
Position 36665: 0.9656953873884423
Position 14833: 0.9517999332902336
Position 21526: 0.9443760524526978
Position 18498: 0.928693753684951
Position 12871: 0.9272249033553559
Position 20017: 0.9113603872938707
Position 19155: 0.8902136444911376
Position 35797: 0.8845309820846636
Position 135: 0.8769466376176502
Position 34566: 0.8586224860513794
Position 41738: 0.8011797024263516
Position 10835: 0.7535116007318379
Position 9665: 0.7279490795673207
Position 41986: 0.5479507800506596
Position 27108: 0.4449432117933779
Position 31812: 0.3659548431966308
Position 9321: 0.3125992716362402
Position 14003: 0.24806438490571453
Position 10815: 0.2464883992681595
Position 34777: 0.19145583105245334
Position 155: 0.12305336238234857
Position 36966: 0.12257665572610947
Position 35428: 0.11963569137996258
Position 23297: 0.09850200049767129
Position 19847: 0.09496960422532898
Position 37176: 0.0805516416866247
Position 20027: 0.06526208714243745
Position 38816: 0.06514882086588233
Position 37180: 0.05897982443758822
Position 20829: 0.041936787135724324
Position 22480: 0.035288383098604666
Position 20439: 0.034879114206678274
Position 40341: 0.03374815745855555
Position 24703: 0.027742696311356767
Position 19140: 0.026009957500646518
Position 22564: 0.022703050885741524
Position 23010: 0.021694295789132085
Position 15771: 0.020574882577115285
Position 41990: 0.02046360535219872
Position 14782: 0.019810018651857376
Position 20368: 0.013203508791579638
Position 20151: 0.01226302562089614
Position 37182: 0.012045246532198827
Position 18139: 0.011853055320434647
Position 19746: 0.00811814114017943
