Gene = Nhej1
index = 746
Annotated 5SS: [  139  1331 77845 78471]
Annotated 3SS: [ 1271 77726 78363 78870]
SMsplice 5SS: [  139 69191 77845 78471]
SMsplice 3SS: [69085 77694 78363 78870]
top_k =  1000
Partition function (log Z): -50.697183421612095

Sorted 5' Splice Sites (High to Low Probability):
Position 139: 0.9800557332277543
Position 1331: 0.4559765822446853
Position 7999: 0.3920409182016751
Position 1595: 0.09338599068532166
Position 13607: 0.09255820635711834
Position 7742: 0.07614981159780398
Position 4918: 0.03362487431050166
Position 1553: 0.021038615352347814
Position 2201: 0.0200326090363863
Position 11127: 0.020032018724394453
Position 1336: 0.018450828352756278
Position 1515: 0.008148505041272725
Position 342: 0.007610415488794143
Position 165: 0.006044059613681491
Position 8506: 0.005296387874156621
Position 1494: 0.004927683542077605
Position 949: 0.0023635972744659255
Position 8599: 0.0022183768977294556
Position 57: 0.0014007000034711031
Position 246: 0.001079699588579182
Position 5036: 0.0010371666359448991
Position 1213: 0.0009158417306078701
Position 2967: 0.000825734404868317
Position 2973: 0.0005389782394902252
Position 2995: 0.0004951914658997326
Position 1560: 0.00045241515959416775
Position 1521: 0.0003974718531613283
Position 3421: 0.00025032205277675555
Position 4960: 0.00024349872266739815
Position 118: 0.00022557111086304334
Position 33: 0.00021911828840124912
Position 356: 0.0002082175414665468
Position 1481: 0.00012049461702840858
Position 379: 9.979776860311554e-05
Position 4378: 8.449093706746628e-05
Position 126: 8.244686750977387e-05
Position 3590: 7.475525339834361e-05
Position 409: 7.410223347716073e-05
Position 997: 7.410085292611222e-05
Position 391: 6.896881106568961e-05
Position 5251: 5.9538167718632356e-05
Position 180: 4.734361070375109e-05
Position 31: 4.685828334726321e-05
Position 1272: 4.314622524900966e-05
Position 172: 3.3459419099611514e-05
Position 1345: 3.168522141132841e-05
Position 1318: 2.30620176058616e-05
Position 280: 2.28424294407625e-05
Position 242: 2.2694934449210447e-05
Position 205: 2.2389475182880496e-05
Position 1411: 1.814087364173689e-05
Position 234: 1.6924967238809963e-05
Position 303: 1.47717539645365e-05
Position 1506: 1.1159691628202563e-05
Position 251: 1.1101157015228906e-05
Position 1020: 7.237814182104679e-06
Position 1342: 4.678713139755679e-06
Position 470: 4.57675512813338e-06
Position 1093: 3.102933164047775e-06
Position 2572: 2.950736456803607e-06
Position 1219: 2.9386705081226593e-06
Position 52: 2.788518161637332e-06
Position 1165: 2.4574138406745247e-06
Position 555: 1.9059642635615254e-06
Position 311: 1.8193050114694131e-06
Position 1423: 1.5157604011492309e-06
Position 888: 1.4542253205955041e-06
Position 603: 1.272130407380734e-06
Position 1448: 1.2519571654028408e-06
Position 1038: 1.218489765079541e-06
Position 905: 1.1722866371242175e-06
Position 925: 1.1482689439788344e-06
Position 1472: 1.0832397967907014e-06
Position 1462: 1.036474549913983e-06
Position 698: 9.159770404367062e-07
Position 1485: 8.774077768950188e-07
Position 423: 7.591243008185954e-07
Position 746: 7.490815747047957e-07
Position 1083: 7.010974314123117e-07
Position 915: 6.916891679343779e-07
Position 794: 6.474244950007282e-07
Position 1006: 4.617091020289886e-07
Position 564: 3.655703971330465e-07
Position 225: 3.039052872404854e-07
Position 651: 2.6185478469017e-07
Position 612: 2.599167004773798e-07
Position 659: 2.283679436215581e-07
Position 508: 2.2797109830281037e-07
Position 707: 2.0621829352908503e-07
Position 842: 2.0023255519725874e-07
Position 516: 1.943482635835527e-07
Position 1100: 1.889012645120053e-07
Position 755: 1.4082239079854526e-07
Position 1159: 1.1213509768443229e-07
Position 1113: 6.674772400799384e-09
Position 1036: 2.62825245557744e-09
Position 1041: 2.4022378174694514e-09
Position 803: 3.693286764012754e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1271: 0.41382260845105445
Position 7910: 0.3702167905163073
Position 16215: 0.3685550464237497
Position 13501: 0.1610313182730055
Position 1410: 0.10118388176043994
Position 7466: 0.08939396786067318
Position 8661: 0.07326754285526212
Position 11716: 0.07086573121661756
Position 13662: 0.059813173359856926
Position 1190: 0.05845267708362206
Position 7659: 0.04905461671618513
Position 9875: 0.03793785318450603
Position 11891: 0.035260398276825776
Position 7601: 0.027224727143417355
Position 11345: 0.022947732402409347
Position 11009: 0.022895641759206116
