Gene = St5
index = 1035
Annotated 5SS: [   90 47141 60937 64173 72071 74828 75812 76756 77486 78214 78872 81854
 82514 86066 89534 89804 90922 91609 91885]
Annotated 3SS: [47035 59685 64035 71918 74611 75714 76710 77300 78103 78801 81775 82372
 85916 89355 89761 90809 91368 91797 92466]
SMsplice 5SS: [  850 13376 14593 43233 47141 47625 60937 64173 72071 75812 76756 77486
 78214 78872 81854 86066 89534 89804 90922 91609 91885]
SMsplice 3SS: [13280 14517 43104 47035 47413 60875 64035 71918 75714 76710 77311 78103
 78801 81775 85916 89355 89761 90809 91368 91797 92466]
top_k =  1000
Partition function (log Z): -55.586653806361284

Sorted 5' Splice Sites (High to Low Probability):
Position 13376: 0.956583580660845
Position 14593: 0.8936235384570853
Position 850: 0.6446530690450591
Position 90: 0.5055552454590924
Position 3387: 0.18790178594021117
Position 4131: 0.1637601515375833
Position 7180: 0.11571480766035738
Position 7863: 0.11182808324575745
Position 10659: 0.10815246639959304
Position 1282: 0.07095517753777544
Position 5829: 0.052381836791189504
Position 430: 0.03487408076293216
Position 19408: 0.03304170523375577
Position 8016: 0.032597249615662065
Position 739: 0.012584136525651561
Position 4053: 0.007127224323937991
Position 5886: 0.005198867215444467
Position 2285: 0.004834784542417038
Position 5891: 0.0036433785829254246
Position 7848: 0.0030923829103592475
Position 1687: 0.002514697469625886
Position 5608: 0.0024171731561314263
Position 705: 0.0021542231714326023
Position 3449: 0.0017834971128670803
Position 1646: 0.0014560403720811224
Position 1187: 0.0011297796009409427
Position 2036: 0.0010955835675697156
Position 3062: 0.0007585960577139769
Position 3967: 0.0007188925031166296
Position 7826: 0.0006528468503287835
Position 536: 0.0005633814070197485
Position 181: 0.0005260991675318431
Position 3920: 0.00047044585795639327
Position 7145: 0.0004541014526220298
Position 7260: 0.00039900361175267547
Position 1551: 0.00036905479269630585
Position 2268: 0.00035171114915318416
Position 2652: 0.00033700048622286124
Position 242: 0.0002724068063722098
Position 127: 0.00020774541249220536
Position 631: 0.00013732910912530235
Position 591: 0.00012432899046880712
Position 63: 0.00011689132523748603
Position 303: 0.00011483232220532698
Position 611: 6.896624501171966e-05
Position 202: 6.628933379168073e-05
Position 7811: 5.992216861511967e-05
Position 7815: 5.217309220345527e-05
Position 796: 2.968037612853724e-05
Position 1111: 1.7976090988138833e-05
Position 47: 1.3875600479945498e-05
Position 613: 1.3810763114804061e-05
Position 568: 1.3165831681377655e-05
Position 1976: 1.2917839165873815e-05
Position 81: 1.0082641748697843e-05
Position 32: 6.560480201308345e-06
Position 542: 4.824936454632415e-06
Position 794: 4.013163883405316e-06
Position 414: 2.9475818231853657e-06
Position 106: 1.8634482416575074e-06
Position 136: 9.412848263059044e-07
Position 134: 6.148875567521838e-07
Position 2062: 2.603900102384188e-07
Position 3641: 2.1369379969201588e-07
Position 387: 2.0507661370604927e-07
Position 374: 1.8410049032919972e-07
Position 340: 1.190311557499584e-07
Position 1251: 1.0164686012988954e-07
Position 510: 4.623470384140473e-08
Position 1369: 4.432357440055923e-08
Position 615: 3.164806111722422e-08
Position 512: 3.0549793217337976e-08
Position 1191: 2.85812631998986e-08
Position 481: 2.7456729066602643e-08
Position 1236: 1.5105250325911906e-08
Position 1597: 1.2145021584901172e-08
Position 1286: 1.1477719183563301e-08
Position 1293: 1.1357033829701676e-08
Position 351: 3.882326150473562e-09
Position 1151: 3.222131403317061e-09
Position 728: 1.5715493137158014e-09
Position 822: 1.4291630041925666e-09
Position 1599: 9.198306410223635e-10
Position 377: 9.100244053089019e-10
Position 1636: 3.41179891421154e-10
Position 960: 1.776049855874833e-10
Position 1053: 2.880075917786588e-11
Position 791: 5.990019066793457e-16
Position 810: 5.197556663490107e-16
Position 757: 3.0036501028525526e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 13280: 0.976969833930376
Position 14517: 0.8866825648227966
Position 20101: 0.22984721473633973
Position 20257: 0.15985739441162058
Position 3998: 0.1455649554352537
Position 3273: 0.12634050962285867
Position 7754: 0.11632062371203873
Position 19356: 0.11407554953795843
Position 10410: 0.10930783554799545
