Gene = Mrps18c
index = 713
Annotated 5SS: [ 234  987 3365 4484 5403]
Annotated 3SS: [ 924 3280 4425 5342 5704]
SMsplice 5SS: [ 234 3365]
SMsplice 3SS: [3280 5704]
top_k =  1000
Partition function (log Z): -6.448920145554258

Sorted 5' Splice Sites (High to Low Probability):
Position 234: 0.9208307179163553
Position 3365: 0.7155056474993788
Position 987: 0.43932186864140654
Position 5403: 0.38247450038781255
Position 5605: 0.24344987963884968
Position 966: 0.1769930598120957
Position 273: 0.049794100356733484
Position 4965: 0.04076332989838338
Position 5609: 0.022112354360695807
Position 5601: 0.020921785058978314
Position 2417: 0.017817461039187583
Position 2026: 0.01640378216984225
Position 1691: 0.016132757045118507
Position 3797: 0.012616056829445802
Position 2129: 0.012195608092760976
Position 1487: 0.011569621752345246
Position 4484: 0.010999462885073903
Position 2035: 0.00828517491189971
Position 5595: 0.0067835363481800175
Position 2224: 0.006452616721437125
Position 1414: 0.005759436668622615
Position 4333: 0.004989240271892714
Position 1110: 0.004861539031352426
Position 2241: 0.004445856086964821
Position 1433: 0.0037130704685442465
Position 561: 0.0028882480422988796
Position 5569: 0.002197851662327473
Position 2269: 0.002117064551686288
Position 795: 0.0020848003481257846
Position 1104: 0.0017447842143605418
Position 1640: 0.0016262622174993693
Position 269: 0.0015627724519903252
Position 2316: 0.0015063453903028537
Position 3375: 0.0014421904641229869
Position 1122: 0.0013991215402233371
Position 318: 0.0013314076517587634
Position 2764: 0.001246820301496852
Position 2365: 0.0011969164333713305
Position 241: 0.0011582495673704604
Position 4842: 0.0010872702785803346
Position 1418: 0.001000625051421348
Position 3857: 0.0008625432145436823
Position 2813: 0.0008596273544907691
Position 1038: 0.0007656912840991015
Position 3421: 0.0007485747831414532
Position 1128: 0.0007206939155946864
Position 2819: 0.0006800505577465126
Position 2499: 0.0006455848127541147
Position 7: 0.0006293786416814739
Position 1124: 0.0005730878764414506
Position 3453: 0.0004939357458063151
