Gene = Hyls1
index = 552
Annotated 5SS: [ 522 1944 6336]
Annotated 3SS: [1892 6220 8293]
SMsplice 5SS: [ 522 5798 6118 6336]
SMsplice 3SS: [5577 5996 6220 8293]
top_k =  1000
Partition function (log Z): -5.825487932310371

Sorted 5' Splice Sites (High to Low Probability):
Position 6336: 0.9168282579441995
Position 6118: 0.6788939675499784
Position 5798: 0.5505273836284161
Position 522: 0.4378861616554233
Position 353: 0.35604352140536255
Position 397: 0.261552401200983
Position 5645: 0.24570897424136443
Position 95: 0.236597692312335
Position 731: 0.15246963579784897
Position 636: 0.11975283979514346
Position 6616: 0.0826302654144412
Position 3994: 0.07854422391567306
Position 9459: 0.07464985724000078
Position 8613: 0.0718498681615885
Position 3842: 0.06170917985816766
Position 6133: 0.05956155797405244
Position 150: 0.058248881412728166
Position 8425: 0.045622373979674495
Position 778: 0.044342771127345464
Position 594: 0.04186395607129653
Position 5640: 0.041043654138212426
Position 9152: 0.037487362430087344
Position 1944: 0.03696011966993952
Position 8749: 0.035149817140951126
Position 4659: 0.026233059156367068
Position 1021: 0.018797938162101954
Position 6482: 0.017960447663656124
Position 1541: 0.0178347423613408
Position 233: 0.016665151969283077
Position 602: 0.013949738009491215
Position 5001: 0.013865005646186666
Position 9360: 0.013830144108187335
Position 8381: 0.013054395779473772
Position 6456: 0.00923843248169865
Position 8462: 0.007646722899055693
Position 6598: 0.007073430687402098
Position 9159: 0.0067680356583988315
Position 7438: 0.005667065771787113
Position 5090: 0.004855837818369246
Position 314: 0.004854014061756138
Position 3188: 0.004290975238328685
Position 8476: 0.0036039215415354007
Position 9098: 0.003581844846933761
Position 7269: 0.0031923389756885637
Position 3306: 0.003104299919738738
Position 7306: 0.0031030517811704507
Position 8015: 0.0026359024035859115
Position 9157: 0.002499840491757527
Position 5666: 0.0023645595993831247
Position 607: 0.0021325576185317304
Position 6093: 0.002095108673370705
Position 7025: 0.0018143960371658433
Position 3881: 0.00152953629127172
Position 8487: 0.0013595766704703302
Position 688: 0.0011781689950945942
Position 8674: 0.001085983466220985
Position 6106: 0.0008298718696999406
Position 441: 0.0008003045796150629
Position 9013: 0.0007954195249036986
Position 8692: 0.000759582395613658
Position 289: 0.0006474116496606204
Position 420: 0.0005965277531848137
Position 319: 0.0005579501789704635
Position 104: 0.0005336791282088359
Position 5708: 0.00043730533078779047
Position 8668: 0.00038530217286971585
Position 308: 0.00036517020509329614
Position 8657: 0.0003557515630245136
Position 333: 0.00033013719366364544
Position 5608: 0.0002012626576821005
Position 173: 0.0001896689904007946
Position 768: 0.00018287406603985856
Position 2198: 0.00015971838323141418
Position 2467: 0.000159717414164035
Position 251: 0.00014599411814317364
Position 1339: 0.0001371517344856125
Position 1219: 0.00011992811565219958
Position 8640: 0.00011644368732428372
Position 507: 9.646248035118618e-05
Position 184: 8.429146989368213e-05
Position 700: 8.3645779778175e-05
Position 316: 6.79478707284511e-05
Position 195: 6.50048198465537e-05
Position 1778: 5.102202534461922e-05
Position 1795: 4.634544602115635e-05
Position 740: 4.4199998696962316e-05
