Gene = lama
index = 1756
Annotated 5SS: [  230  8296 10087 10268]
Annotated 3SS: [ 8239  9422 10150 10327]
SMsplice 5SS: [  230 10087 10268]
SMsplice 3SS: [ 9422 10150 10327]
top_k =  100
Partition function (log Z): 0.07509874754478418

Sorted 5' Splice Sites (High to Low Probability):
Position 10268: 0.9999865551999331
Position 10087: 0.9805580914825113
Position 230: 0.5146170763103513
Position 2245: 0.475220589805049
Position 1309: 0.35471333825659696
Position 8296: 0.35261422046286206
Position 105: 0.14282784664720116
Position 10743: 0.09523504630283595
Position 374: 0.019291645120802038
Position 9986: 0.015311628714544896
Position 11904: 0.01389458905632254
Position 12039: 0.011816845419486745
Position 189: 0.008975154096422848
Position 303: 0.006567326862932628
Position 11924: 0.004983723614022618
Position 1394: 0.004315920235552503
Position 1130: 0.0017415954141224701
Position 10811: 0.0013792515904689456
Position 11151: 0.0007783412523520426
Position 389: 0.00011834344411136722
Position 331: 7.695282978312783e-05
Position 235: 6.023083430302953e-05
Position 10259: 7.939913226817714e-06
Position 10262: 5.371537514914614e-06
Position 10639: 5.092978951604882e-06
Position 10378: 2.572117574003084e-06
Position 10780: 1.3083527155219696e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9422: 0.9999999999999999
Position 10327: 0.9998923094844305
Position 10150: 0.9958696241347177
Position 2135: 0.3863807893808472
Position 7870: 0.35261422046286206
Position 2159: 0.053744655239004735
Position 10956: 0.046690948598242354
Position 11962: 0.04033234585801678
Position 2010: 0.035095145185196866
Position 498: 0.013679473602213825
Position 12107: 0.01321815205834935
Position 1180: 0.012440742045971145
Position 10931: 0.0059787787867969745
Position 12167: 0.004869305246973034
Position 438: 0.004803220564420882
Position 1108: 0.0042323825274490105
Position 11288: 0.0036948757112775163
Position 493: 0.0035058411416176733
Position 531: 0.002924990527196572
Position 11639: 0.0028426314519501023
Position 12256: 0.0026653653036919547
Position 11181: 0.002648304463683769
Position 10808: 0.002449714349157343
Position 188: 0.002380037225271974
Position 254: 0.0022013763547895525
Position 12083: 0.001474445949222153
Position 426: 0.001446785590367292
Position 1152: 0.0011013429703368655
Position 858: 0.0008214476595752721
Position 289: 0.0007933239495542205
Position 11211: 0.0007783412523520427
Position 928: 0.0006230217983447504
Position 1193: 0.0005319175790692396
Position 991: 0.0005178199736296797
Position 10805: 0.00044692967490321756
Position 1228: 0.00039092319361257405
Position 351: 0.0003826592024475362
Position 164: 0.0003142615192972192
Position 567: 0.00019553775545341483
Position 10484: 9.680459000723007e-05
Position 893: 1.832487156095372e-05
Position 10387: 1.2967413107375828e-05
Position 10696: 4.05986253929271e-06
Position 10598: 3.986437345269413e-07
Position 10463: 5.4699308274400755e-08
