Gene = Eig71Ee
index = 1149
Annotated 5SS: [52]
Annotated 3SS: [104]
SMsplice 5SS: [52]
SMsplice 3SS: [131]
top_k =  1000
Partition function (log Z): -7.0510612260578185

Sorted 5' Splice Sites (High to Low Probability):
Position 52: 0.9784886602700761
Position 282: 0.1831006378438939
Position 1171: 0.0374385097565344
Position 1194: 0.03008756681861719
Position 1113: 0.015374444680218372
Position 242: 0.010287102666787578
Position 1128: 0.008417157630424738
Position 155: 0.004859499704827089
Position 726: 0.0040375392848507954
Position 48: 0.0036673079255591778
Position 366: 0.0022738045662402838
Position 480: 0.002060639358109435
Position 846: 0.0019612144477289734
Position 642: 0.0014312075652916033
Position 395: 0.001282951906912168
Position 1011: 0.0010268782753897314
Position 195: 0.0008080765711039216
Position 684: 0.0006767632804730116
Position 438: 0.000555602123722194
Position 522: 0.0005363406350117009
Position 720: 0.0004870188543773598
Position 516: 0.00035956504862643106
Position 1095: 0.0003505028679411465
Position 803: 0.00033781451324652414
Position 1047: 0.00022837197588480507
Position 1136: 0.0002077806306688662
Position 678: 0.00019567746214944887
Position 564: 0.0001789758235937466
Position 39: 0.00017702109292757218
Position 762: 0.0001251057425476932
Position 558: 0.00011981149227150787
Position 104: 0.00010926180476441777
Position 474: 6.32844191992957e-05
Position 882: 5.545953761084304e-05
Position 36: 4.60715711825306e-05
Position 1175: 3.817603371940888e-05
Position 228: 3.0992892180966486e-05
Position 599: 1.797296051025937e-05
Position 16: 1.74213019611912e-05
Position 1209: 1.2609396692944128e-05
Position 1476: 8.274427799505605e-06
Position 56: 6.49626714990687e-06
Position 1468: 3.376638388378891e-06
Position 874: 2.528275179638639e-06
Position 359: 1.5237261329733989e-06
Position 174: 1.4437872422261844e-06
Position 1014: 1.3847640381342628e-06
Position 138: 8.259841636587286e-08
Position 169: 4.215703809086249e-09
Position 198: 8.648926331749113e-10
Position 184: 1.218293611172825e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 131: 0.7082411157537568
Position 1242: 0.11649559895726302
Position 104: 0.10020012667330133
Position 1193: 0.07484353942257209
Position 773: 0.07253258089037351
Position 1112: 0.061545789978433636
Position 983: 0.03732726717100652
Position 569: 0.0351684911054389
Position 108: 0.02164956624690975
Position 969: 0.013474030530604576
Position 401: 0.008581224648597608
Position 1271: 0.006922919319855225
Position 138: 0.005519655577372657
Position 194: 0.005382711687704516
Position 1017: 0.00259563627988037
Position 693: 0.0017502051703429636
Position 447: 0.001551089938943273
Position 1317: 0.0015502837092110692
Position 213: 0.0013260879679135608
Position 1380: 0.0012901126672811162
Position 706: 0.0012213978061988964
Position 599: 0.000977046650239325
Position 342: 0.0009725699437040982
Position 531: 0.0009654909972031694
Position 1301: 0.0008986659098908993
Position 809: 0.0007989996228676196
Position 651: 0.0005789707495465551
Position 315: 0.0005603339915604059
Position 942: 0.0005043972535349271
Position 460: 0.0004760652925814039
Position 1014: 0.0004652053285400714
Position 376: 0.00045430910070212173
Position 855: 0.00040811680419003366
Position 1062: 0.0003457871060120531
Position 544: 0.0003223264941638094
Position 225: 0.00030775940536155314
Position 735: 0.00030603797140648845
Position 489: 0.0002763089173294636
Position 258: 0.00025130906428491367
Position 868: 0.00024172261536104772
Position 1081: 0.00022632980669445298
Position 154: 0.0002177766534666388
Position 351: 0.0002155275374975746
Position 664: 0.00019496916913508132
Position 346: 0.0001886193143088872
Position 1446: 0.00016901931953239318
Position 605: 0.00016103554504607367
Position 874: 0.00015983553516689953
Position 255: 0.0001396863107062726
Position 893: 9.242791068034593e-05
Position 133: 7.207316349395476e-05
Position 317: 6.33308016022663e-05
Position 1535: 5.057681833580579e-05
Position 94: 4.483985825672211e-05
Position 1456: 3.348999285776017e-05
Position 882: 2.8517217736066727e-05
Position 919: 2.8168770344312603e-05
Position 748: 2.7710805132134662e-05
Position 163: 2.350161896704188e-05
Position 502: 2.123376789831441e-05
Position 916: 1.9826393347095485e-05
Position 949: 1.92333137529082e-05
Position 167: 1.6759903321746963e-05
Position 745: 1.3300689843130901e-05
Position 279: 9.206851404920906e-06
Position 985: 8.941478858815166e-06
Position 1247: 8.478819207886654e-06
Position 1503: 7.460320296910125e-06
Position 77: 5.45296091429413e-06
Position 236: 3.9261106011966076e-06
Position 276: 2.9762334359663513e-06
Position 86: 8.285567069748435e-07
Position 294: 1.1836766044175133e-10
Position 267: 2.6412212438826863e-11
Position 324: 4.3313044122612025e-12
Position 217: 7.013674908164525e-13
Position 246: 2.815662742411791e-13
Position 286: 2.628117814207092e-13
Position 378: 2.552059896022522e-13
