Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  1000
Partition function (log Z): -4.736441355012339

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.9697142129698113
Position 815: 0.7938411264454637
Position 734: 0.12183473768343143
Position 303: 0.009505344709568854
Position 880: 0.005412715309193869
Position 2099: 0.0036607923847861252
Position 152: 0.0034045646977855165
Position 1322: 0.0026574287168913717
Position 353: 0.0025614881018557194
Position 1528: 0.0020677474833769804
Position 1669: 0.001893153769678179
Position 763: 0.0013200148277276132
Position 757: 0.0009525742783456999
Position 1407: 0.000881417972406634
Position 652: 0.0008413520408014101
Position 594: 0.0007496131615309908
Position 922: 0.0006252862030947117
Position 936: 0.0005462952781200554
Position 520: 0.0004841440294474289
Position 1691: 0.0004467842158175967
Position 864: 0.0004430647134247576
Position 1313: 0.0004230690260206347
Position 664: 0.0004137672165232905
Position 356: 0.0003691401727779958
Position 819: 0.00021246921644337919
Position 1327: 0.0001697141149394466
Position 1072: 0.0001015102392423805
Position 258: 7.038183078278862e-05
Position 853: 6.87966047237927e-05
Position 646: 6.318329456606221e-05
Position 1343: 5.594374607886689e-05
Position 517: 5.5735915714226425e-05
Position 627: 4.836224320902597e-05
Position 454: 4.140527191794779e-05
Position 1682: 3.2612143624313294e-05
Position 40: 3.059187504490114e-05
Position 1532: 2.824192437817013e-05
Position 1238: 2.3209376837972445e-05
Position 111: 2.0379260299712116e-05
Position 1747: 1.8758788266470664e-05
Position 61: 1.8520159379466526e-05
Position 403: 1.3737742554762139e-05
Position 1555: 1.3564773462667006e-05
Position 1666: 8.979249430873273e-06
Position 82: 7.4587268397154615e-06
Position 1463: 7.225182455636704e-06
Position 487: 6.979498427185744e-06
Position 212: 6.355838643108233e-06
Position 1564: 5.331240343571903e-06
Position 1126: 4.188327193745705e-06
Position 787: 2.3322803674295e-06
Position 666: 2.305304422294243e-06
Position 84: 2.291081456134633e-06
Position 114: 6.78885103314252e-07
Position 156: 5.615702132758113e-07
Position 536: 4.792222901650965e-07
Position 131: 4.0801839659174556e-07
Position 56: 3.370065039040971e-07
Position 227: 2.7548142717512355e-07
Position 1294: 4.865509641059614e-08
