Gene = Gug
index = 1204
Annotated 5SS: [  536  2207 12182 13316 18153 18337 18562 18783 19002 19572 19761 20266
 20458 20562]
Annotated 3SS: [ 1852 12049 13081 13378 18212 18416 18621 18944 19487 19642 20165 20362
 20508 21229]
SMsplice 5SS: [  536 18153 18337 18562 18783 19572 19761 20266 20608 21118]
SMsplice 3SS: [16402 18212 18416 18621 19487 19642 20165 20362 20832 21229]
top_k =  500
Partition function (log Z): 16.891153729331858

Sorted 5' Splice Sites (High to Low Probability):
Position 18562: 0.9990011392938515
Position 18783: 0.9948420669496958
Position 19572: 0.9937349652013784
Position 536: 0.9600784107983845
Position 20266: 0.934566357653382
Position 20608: 0.5617985504144444
Position 19761: 0.5150291386594957
Position 21118: 0.49808332673894795
Position 19770: 0.46081342917653806
Position 20562: 0.4247607693286665
Position 2207: 0.37212435563606033
Position 19002: 0.22085529230522633
Position 10132: 0.21648356240416256
Position 12167: 0.2034769176435953
Position 21122: 0.190014329346552
Position 9386: 0.07742846109726628
Position 22371: 0.07398045860595413
Position 9390: 0.06943967541904508
Position 20458: 0.04681145798034393
Position 21671: 0.04486133814246931
Position 21111: 0.03287206431963992
Position 19328: 0.026748341677502153
Position 21430: 0.021505240001318652
Position 1418: 0.01811615580018726
Position 8851: 0.013253656276282373
Position 20288: 0.010988229008139732
Position 21083: 0.010947874052493856
Position 20911: 0.009484428401979671
Position 9784: 0.007971962247812676
Position 766: 0.00696121376173725
Position 245: 0.0060065266086217
Position 22325: 0.005743405107688106
Position 8855: 0.004712998656094059
Position 8859: 0.004117060429811428
Position 1614: 0.0038343418369527252
Position 21039: 0.0034082797499792967
Position 9365: 0.0034022315347828867
Position 21170: 0.002927224674409719
Position 20928: 0.002843210511039985
Position 19576: 0.002735284766903179
Position 8863: 0.00269802652471323
Position 21150: 0.00261001073079627
Position 19586: 0.0024855014595571868
Position 19739: 0.0024158614977427295
Position 19765: 0.0021261188968194774
Position 9509: 0.002087963223179795
Position 275: 0.001989596091556109
Position 9984: 0.0019553622416838504
Position 557: 0.0019491005247587742
Position 18990: 0.0018887099607881712
Position 19335: 0.0018545658374546161
Position 19223: 0.0018141177466555114
Position 9782: 0.0016090208422050885
Position 18720: 0.0014533750890000678
Position 21103: 0.0012363871681213847
Position 1444: 0.001167144906429021
Position 21828: 0.0011443511687593958
Position 20926: 0.0011386124715961896
Position 1104: 0.0010471755720417553
Position 21222: 0.0009817864882567203
Position 582: 0.0009685881716125629
Position 94: 0.0009602706111439774
Position 20612: 0.0009198754491175135
Position 11026: 0.0008601175898795609
Position 18548: 0.0008386766452434893
Position 18916: 0.0008134110443085281
