Gene = barc
index = 1621
Annotated 5SS: [  280  8417  8681 11774 12029 12217]
Annotated 3SS: [ 7588  8477 11606 11841 12079 12276]
SMsplice 5SS: [  280  8681 11774 12029 12217]
SMsplice 3SS: [ 8503 11606 11841 12079 12276]
top_k =  500
Partition function (log Z): 7.328386418420783

Sorted 5' Splice Sites (High to Low Probability):
Position 12217: 0.9963032343909737
Position 11774: 0.9927404045650186
Position 8681: 0.9844102470750842
Position 12029: 0.7168668298148823
Position 280: 0.6903949203663537
Position 295: 0.20989548757215828
Position 8417: 0.187621173307149
Position 12005: 0.15288822426275056
Position 524: 0.11727275622319178
Position 9521: 0.06409637285017328
Position 12014: 0.06253365033763943
Position 12009: 0.04241007539535017
Position 704: 0.022561041774011848
Position 11325: 0.021180395582071625
Position 326: 0.021097109605117077
Position 11586: 0.019214073481136844
Position 4774: 0.012349212088328485
Position 4902: 0.011750346309027127
Position 2867: 0.009454721619214691
Position 11390: 0.009439411422500285
Position 9820: 0.00894173063517633
Position 5066: 0.00747316593162387
Position 11563: 0.00739969388902945
Position 11778: 0.0068804914462796424
Position 9783: 0.005511082198951163
Position 9094: 0.005171929956866473
Position 25: 0.004913997274079497
Position 10810: 0.004089058023010301
Position 9830: 0.003906971640338814
Position 9503: 0.0035817134209557002
Position 9525: 0.0019289802416170372
Position 56: 0.001868887726445161
Position 12017: 0.0018251552340330178
Position 43: 0.0012805367401675972
Position 11979: 0.0012493858479711273
Position 93: 0.0002619941309787976
Position 8: 0.00019300113550377686
Position 8938: 0.00019156694423578041
Position 9727: 0.00015741274135868853
Position 6526: 0.00014310388550977816
Position 11986: 0.00014308697906885068
Position 69: 0.00013347535561113337
Position 199: 0.00011173209436356929
Position 9787: 0.00010801267037946605
Position 1776: 0.00010769345878514848
Position 12525: 9.26638915866403e-05
Position 514: 8.857234912762391e-05
Position 8919: 8.25440821200425e-05
Position 9055: 7.660009281665026e-05
Position 6648: 5.13093234852893e-05
Position 225: 5.0974413193828e-05
Position 1403: 5.066999309719546e-05
Position 11945: 4.808232048885911e-05
Position 9834: 4.6872933027334485e-05
Position 9560: 4.4197520370780344e-05
Position 30: 4.2473642665962925e-05
Position 12528: 3.953523932233187e-05
Position 2418: 3.113306251434396e-05
Position 12221: 2.705432245961861e-05
Position 3814: 2.2826419608356424e-05
Position 1380: 2.2081934159594952e-05
Position 687: 2.157592515614591e-05
Position 5655: 2.1050003937715368e-05
Position 12183: 2.103938898259233e-05
Position 1407: 2.0730569388651797e-05
Position 12511: 1.9928464977653866e-05
Position 11962: 1.5310302377211395e-05
Position 11881: 1.5149058747465804e-05
Position 12516: 1.4842885633811882e-05
Position 299: 1.2865486459241805e-05
Position 2473: 1.2462582439822702e-05
Position 12621: 9.637096443583216e-06
Position 132: 8.863687466826895e-06
Position 12665: 8.627424407889997e-06
Position 2079: 8.28231821917835e-06
Position 12464: 6.531688175143568e-06
Position 12537: 6.10132875927558e-06
Position 185: 5.6248210112699714e-06
Position 240: 5.607617247512787e-06
Position 12639: 4.716011440328678e-06
Position 1486: 4.4254378266785376e-06
Position 12042: 4.300212106548743e-06
Position 6513: 4.217719757229147e-06
Position 237: 3.957757251323438e-06
Position 12237: 2.577740848068765e-06
Position 602: 2.0108826304649592e-06
Position 229: 1.515810579805251e-06
Position 580: 1.4097220074949048e-06
Position 126: 1.2834593406927505e-06
Position 216: 1.1816198104580023e-06
Position 12651: 1.0029898384067877e-06
Position 527: 9.250197008783882e-07
Position 263: 8.540791447863991e-07
Position 12453: 7.920056547673681e-07
Position 11321: 6.285079939999718e-07
Position 974: 4.5492725703519127e-07
Position 779: 4.1626925965756874e-07
Position 138: 3.47488358822748e-07
Position 577: 3.04514181489527e-07
Position 231: 1.8855516693937775e-07
Position 450: 1.6609841575544508e-07
Position 12093: 1.0123811805424976e-07
Position 151: 8.263709746481615e-08
Position 606: 7.638570977020655e-08
Position 599: 3.538680287254278e-08
Position 1676: 1.9158773810064413e-08
Position 586: 1.478529163503669e-08
Position 352: 1.3249839843294683e-08
Position 641: 3.339908208186713e-09
Position 771: 2.0317164485065496e-09
Position 12250: 3.8025750859057027e-10
Position 12159: 1.1824112778205867e-10
Position 12433: 1.9661302775842028e-11
Position 466: 1.6858252218638334e-11
Position 11900: 2.4000517222717083e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11841: 0.9969684653392403
Position 12276: 0.9747122289376723
Position 12079: 0.962339518054212
Position 11606: 0.7685857128080602
Position 8503: 0.5955715266307032
Position 8477: 0.37117407040718636
Position 7714: 0.1959612303821751
Position 11063: 0.11948960865705287
Position 11016: 0.0830224851772262
Position 9456: 0.0560227007110604
Position 11640: 0.03956194276825783
Position 398: 0.03955286984344677
Position 9948: 0.02334987888950627
Position 4252: 0.020450543325936155
Position 572: 0.01679993021398961
Position 12338: 0.01392762189835234
Position 9013: 0.008368502671268886
Position 12067: 0.007707395368724332
Position 12098: 0.007302147883896428
Position 9177: 0.0070343233699633
Position 10992: 0.006016833792787144
Position 11225: 0.005862067042201697
Position 8773: 0.005514566458960461
Position 102: 0.005422832173929666
Position 9232: 0.004809635762307789
Position 9164: 0.004728401634404128
Position 4418: 0.004700281657074138
Position 2021: 0.003975704575136805
Position 9578: 0.0037049118823672894
Position 12344: 0.003632750655075072
Position 10049: 0.0031959913991911676
Position 6257: 0.003159250710428061
Position 7588: 0.0029860657983249938
Position 450: 0.0028302490648039213
Position 4715: 0.0027498049394220924
Position 12283: 0.0025394903358176065
Position 9136: 0.0023394789880339345
Position 8917: 0.002302873531277283
Position 9180: 0.0021678913145302915
Position 121: 0.0020274131413167964
Position 2078: 0.0018731639904285887
Position 593: 0.0018478179195926692
Position 6882: 0.0017478784162614763
Position 2393: 0.0017330124271258982
Position 11861: 0.0016396995912530158
Position 7918: 0.0016172624407052793
Position 4455: 0.001602871986179324
Position 9909: 0.0014992126712112506
Position 9221: 0.0014980362545302184
Position 4556: 0.0014521294913084008
Position 11927: 0.0011805783085037744
Position 2661: 0.001165995814021872
Position 10250: 0.0010732086417244192
Position 10268: 0.0009770568058819764
Position 10473: 0.0009525313082669136
Position 156: 0.000809182862752775
Position 8942: 0.0007820987146355426
Position 9743: 0.0007328036745140058
Position 425: 0.0006747613930240636
Position 4582: 0.0006293001924556623
Position 12103: 0.0005718523610141043
Position 12510: 0.0003918571277213325
Position 1203: 0.00034453718104553773
Position 325: 0.00030821044598807016
Position 12590: 0.00030746797290237635
Position 12406: 0.00024182801384911037
Position 10563: 0.0002256737697402204
Position 12290: 0.00022145072063560904
Position 10254: 0.00021726992423341237
Position 364: 0.00020474039799127695
Position 9229: 0.00020249396958078723
Position 12341: 0.00015461879537602167
Position 664: 0.00015306533969493028
Position 12419: 0.00015298343987375012
Position 12049: 0.00014946397895698567
