Gene = THG1L
index = 1397
Annotated 5SS: [ 435 1848 3549 4738 6798]
Annotated 3SS: [1670 3378 4648 6689 8123]
SMsplice 5SS: [ 435 1848 3378 3549 4738 6798]
SMsplice 3SS: [1670 3302 3473 4648 6689 8123]
top_k =  500
Partition function (log Z): -0.8685540412084989

Sorted 5' Splice Sites (High to Low Probability):
Position 3549: 0.9534395457728149
Position 1848: 0.9348145345242818
Position 3378: 0.8759899169720743
Position 4738: 0.8733331897442034
Position 435: 0.7129154705959325
Position 6798: 0.7094593856670177
Position 7538: 0.41433927933497056
Position 5656: 0.11915214569264293
Position 351: 0.10532465484620374
Position 538: 0.07444537373118693
Position 2540: 0.06428941196843739
Position 8307: 0.06276802739147595
Position 86: 0.05889182413275367
Position 5726: 0.03605924432164341
Position 5926: 0.0315770234724335
Position 5879: 0.030597763213016355
Position 6114: 0.029680336677470595
Position 130: 0.028490171194821435
Position 4565: 0.02792279780554863
Position 1419: 0.027101281632860234
Position 3604: 0.023135864866903378
Position 3361: 0.022794040863628882
Position 9326: 0.017098552720163238
Position 6520: 0.01034742993019336
Position 1779: 0.008716957205545946
Position 6064: 0.008281987178499591
Position 2594: 0.007377615602508101
Position 3220: 0.006039013981103863
Position 355: 0.005207824889321035
Position 9342: 0.004924599988397041
Position 7857: 0.0044017506168759135
Position 309: 0.0037870334963566936
Position 6306: 0.0035536703961298296
Position 8390: 0.0034694112417037633
Position 813: 0.002779158387090435
Position 1797: 0.0026622318089249302
Position 557: 0.002484210988380301
Position 9649: 0.002179320166367979
Position 546: 0.0021590601262373057
Position 1736: 0.002138382391924183
Position 1371: 0.0021095963436469265
Position 262: 0.002103195161069872
Position 6883: 0.0020742095391297023
Position 36: 0.0020310338169496575
Position 3977: 0.002003613149690011
Position 5196: 0.001989591735740475
Position 5019: 0.001977582878147207
Position 3573: 0.0019629109941012145
Position 1534: 0.0019152693051985585
Position 7216: 0.001835114170505947
Position 7503: 0.0016885008228536094
Position 3496: 0.0015958628315065513
Position 403: 0.0012916195181110225
Position 529: 0.0012912055273385274
Position 182: 0.001266089597545991
Position 5602: 0.0012113566153660442
Position 4405: 0.0011739031289788988
Position 5029: 0.0011681379982614634
Position 1201: 0.0011452129146997628
Position 4021: 0.001110050221485835
Position 4784: 0.0009861495904583248
Position 8301: 0.0009192020135341957
Position 4382: 0.0008559574872503349
Position 1194: 0.0008557284620052725
Position 2569: 0.0008343895665084601
Position 5721: 0.0007701096944276297
Position 268: 0.0007335461052065488
Position 6611: 0.0007082171574043753
Position 680: 0.0006960294482821743
Position 246: 0.0006664985840066468
Position 505: 0.0006567257143799266
Position 1790: 0.0006509538075634886
Position 6497: 0.0005833859267998277
Position 4904: 0.000539840857402309
Position 1671: 0.0004433959078311599
Position 2321: 0.0004287143241884303
Position 6145: 0.0003928949602898016
Position 2262: 0.00032826950499698304
Position 685: 0.0003197277481430884
Position 2717: 0.00028901369267421147
Position 4504: 0.00028743271866257163
Position 4500: 0.0002714771043612513
Position 1544: 0.0002343410938559099
Position 1456: 0.00020980087722551798
Position 2147: 0.00019335920335050935
Position 626: 0.00019188695299338475
Position 2127: 0.0001911547669356832
Position 1228: 0.00018785072553077707
Position 1771: 0.0001862750808412037
Position 3868: 0.000180888901553596
Position 2481: 0.00018026988500975693
Position 1747: 0.0001706475606653825
Position 257: 0.0001652049416426573
Position 239: 0.00012555341082311572
Position 3576: 0.00012460723849018286
Position 620: 0.0001037222477409617
Position 2461: 8.554024126349971e-05
Position 1973: 8.490958729122524e-05
Position 345: 7.20262394370126e-05
Position 1182: 7.005175921754723e-05
Position 4515: 6.70706739290711e-05
Position 5560: 6.545859502966373e-05
Position 4245: 6.238840525003168e-05
Position 799: 5.856977233394276e-05
Position 3700: 5.6525970007053194e-05
Position 3670: 5.3431884451826045e-05
Position 807: 5.272455335080976e-05
Position 4426: 4.120813901816885e-05
Position 699: 4.0977868291044734e-05
Position 1156: 3.9496470328894106e-05
Position 4249: 3.881028859189218e-05
Position 842: 3.6939135688730515e-05
Position 3463: 3.6559915678548685e-05
Position 4577: 3.461805187497984e-05
Position 723: 3.303322699636103e-05
Position 7531: 2.1301641528342352e-05
Position 3658: 1.8717432904893608e-05
Position 6764: 1.796759346564259e-05
Position 3723: 1.7270731657303336e-05
Position 3332: 1.689236938988624e-05
Position 6829: 1.5083095848370464e-05
Position 3943: 1.4582514258135626e-05
Position 3947: 1.3932172308697434e-05
Position 1809: 1.0745434710465668e-05
Position 79: 1.0424241938431764e-05
Position 2978: 7.5337731216915744e-06
Position 1830: 5.367000323614997e-06
Position 1967: 4.104789259651939e-06
Position 2247: 2.060099430820027e-06
Position 1322: 1.679671806617682e-06
Position 4777: 6.439479779736241e-07
Position 400: 1.062200322450713e-07
Position 237: 9.335547883804531e-08
Position 406: 3.991488413990101e-08
Position 4714: 1.4022997045969457e-08
Position 4649: 1.3003841174575617e-08
Position 523: 7.671587945641004e-09
Position 3693: 1.3570714593555693e-09
Position 457: 1.0583261899632785e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3473: 0.9759223175299354
Position 4648: 0.8720720213343607
Position 3302: 0.8462840201707745
Position 1670: 0.7176892525993739
Position 8123: 0.7119188587756371
Position 6689: 0.6931538423024575
Position 7384: 0.18867775776540535
Position 7337: 0.1315475986678393
Position 10176: 0.11381804760914825
Position 1722: 0.10814556863179287
Position 5549: 0.10556497403965605
Position 1709: 0.0991246885654047
Position 3275: 0.05562529294111415
Position 5811: 0.05278860177809739
Position 9195: 0.0396990197510163
Position 2318: 0.037686773029090806
Position 5787: 0.03577864955646462
Position 2344: 0.03198485342297351
Position 7424: 0.03061401764328682
Position 7508: 0.02960412497007608
Position 10060: 0.028225064588111526
Position 7470: 0.02819673404595637
Position 8473: 0.02611484037035663
Position 9456: 0.026089709199706143
Position 5459: 0.023797577389872086
Position 6471: 0.022284858074044556
Position 6045: 0.021800304507391424
Position 7652: 0.021523641336953774
Position 305: 0.01921618567262915
Position 6610: 0.018713264247791336
Position 4507: 0.017648784754628666
Position 7648: 0.017636425199232513
Position 5594: 0.015092049865119016
Position 1404: 0.013812453151732905
Position 4836: 0.012738684645494384
Position 4319: 0.012018297886857968
Position 1743: 0.011852727079431922
Position 8746: 0.011613839757625175
Position 8683: 0.011431711504055647
Position 7530: 0.011411890393030007
Position 5559: 0.011227315080416266
Position 8470: 0.008952699737954954
Position 7605: 0.00691004937308511
Position 4458: 0.0057132491698503075
Position 242: 0.0054445165733055636
Position 8537: 0.0049860161230171835
Position 1631: 0.004711650965794514
Position 7046: 0.004192825620938042
Position 6705: 0.0040438845459918
Position 4675: 0.0038780884330789486
Position 4955: 0.003316919306364777
Position 3077: 0.0029504659202156144
Position 3785: 0.0026355149653886725
Position 8514: 0.0025064444584100205
Position 1495: 0.0024746390515096857
Position 8795: 0.0021503011285450035
Position 2397: 0.002142509845602019
Position 5692: 0.002093766757212367
Position 7265: 0.0018598018127411544
Position 2942: 0.0018149179886995177
Position 1116: 0.0017892952563919292
Position 1592: 0.001489309895179049
Position 3764: 0.0012386158756572166
Position 5970: 0.0012359772081581813
Position 1606: 0.0011328516224899318
Position 8301: 0.0011261851692371079
Position 8625: 0.001098878288775489
Position 6702: 0.0010985916734701326
Position 8200: 0.0010664271211428536
Position 8979: 0.0009988049304619222
Position 1363: 0.000970014706851467
Position 523: 0.0009343029647818057
Position 6769: 0.000889031077722479
Position 5073: 0.0008623496690448249
Position 6902: 0.0008075257064524286
Position 7761: 0.0007315742608764925
Position 7672: 0.0006942259385404736
Position 1447: 0.0006794679353151504
Position 5097: 0.0005964544915656992
Position 3760: 0.0005118663186893027
Position 1989: 0.0004946003648943659
Position 3417: 0.00046057754246554166
Position 598: 0.00041801180203904063
Position 1683: 0.0004073808566118308
Position 3241: 0.0004061927511212483
Position 3117: 0.0003566589125550917
Position 2370: 0.00035265698889455936
Position 2320: 0.00033968898916199563
Position 1353: 0.00033815211168178354
Position 2146: 0.00033749466720796003
Position 3120: 0.000279742396729515
Position 3162: 0.00027175941635756344
Position 3406: 0.0002596073184835629
Position 3045: 0.00024706242689016464
Position 8341: 0.0002442673850391958
Position 4862: 0.0002198223693164083
Position 3486: 0.00021854938027447986
Position 5570: 0.00021229443368696248
Position 505: 0.00019478120119858898
Position 4881: 0.00018643190328770974
Position 1922: 0.00018588490006689256
Position 1310: 0.00018118229438188668
Position 2835: 0.0001806690444107059
Position 5637: 0.00018044784281165047
Position 860: 0.00018040585887855608
Position 4333: 0.00017329532984124854
Position 2373: 0.00017256769683941288
Position 5314: 0.00016767756934779265
Position 5993: 0.00016649461654614855
Position 6818: 0.00016190485791090897
Position 6002: 0.0001601841522590946
Position 7562: 0.00015439221975828676
Position 2247: 0.0001538912938584306
Position 2403: 0.0001527009452164377
Position 4412: 0.0001446892655949034
Position 180: 0.0001432225622586816
Position 2914: 0.00013582308403971605
Position 6862: 0.00012792199868465507
Position 4466: 0.00012116505742748473
