Gene = REPIN1
index = 1129
Annotated 5SS: [ 152 1079 2095]
Annotated 3SS: [ 880 1969 2437]
SMsplice 5SS: [152]
SMsplice 3SS: [3578]
top_k =  500
Partition function (log Z): -7.6076139223828125

Sorted 5' Splice Sites (High to Low Probability):
Position 152: 0.8501172106415482
Position 2095: 0.34234281286010104
Position 881: 0.21281809682743227
Position 1013: 0.1157790617458217
Position 224: 0.10630759257239202
Position 2580: 0.06551012549182952
Position 4160: 0.04759057635912733
Position 774: 0.04046811578147647
Position 4986: 0.034834375338005805
Position 738: 0.024510482685582927
Position 1079: 0.018856360532736923
Position 810: 0.008204265149221087
Position 244: 0.0075595891398402065
Position 908: 0.002362586777360504
Position 3490: 0.0023191272729620703
Position 413: 0.002028864780302405
Position 2597: 0.0017073743251153223
Position 3672: 0.0009976806392589168
Position 3339: 0.0007435885212404086
Position 323: 0.0007427689675309335
Position 3043: 0.000646036947209988
Position 4532: 0.0006407262484497822
Position 3255: 0.0006357071183886275
Position 1412: 0.0006319394568205836
Position 2397: 0.00044343101894524955
Position 665: 0.00039594794761977536
Position 2069: 0.00025959975045615675
Position 686: 0.0002571650718406399
Position 2767: 0.00023802598280839069
Position 248: 0.00019481900167029213
Position 1746: 0.00019124740825958504
Position 230: 0.00012004433222725675
Position 240: 9.297949932887209e-05
Position 684: 8.510674215847162e-05
Position 400: 6.0631390727473315e-05
Position 14: 5.7756882451522303e-05
Position 282: 3.787192494536968e-05
Position 1924: 3.430926786810996e-05
Position 1593: 2.3592374079412886e-05
Position 758: 2.0967217500933823e-05
Position 2162: 1.690520880922348e-05
Position 1538: 1.3015232468249938e-05
Position 1282: 8.8934891216309e-06
Position 365: 8.762011851141662e-06
Position 367: 8.134873732293148e-06
Position 696: 6.839401537065404e-06
Position 644: 6.8221523032834324e-06
Position 527: 6.6581857057129055e-06
Position 228: 6.0708078975195655e-06
Position 83: 4.267520966301965e-06
Position 379: 4.266874707243187e-06
Position 469: 3.169324076714911e-06
Position 218: 2.6984445892020615e-06
Position 415: 2.586823289970456e-06
Position 472: 2.1022568008510447e-06
Position 475: 2.0649662569684828e-06
Position 242: 1.404890710418302e-06
Position 800: 1.2493572344735091e-06
Position 327: 9.619897557832192e-07
Position 728: 8.04294824580332e-07
Position 780: 7.474988492390408e-07
Position 788: 4.015415353267179e-07
Position 33: 2.969321781475106e-08
Position 778: 1.2005147104352712e-09
