Gene = BROX
index = 144
Annotated 5SS: [  390  3248  6479  6807  9962 11612 13003 14705 16276 17149 17625 18964]
Annotated 3SS: [ 3130  6371  6709  9865 11538 12896 14614 16189 17066 17473 18803 20074]
SMsplice 5SS: [  390  2717  3248  6479  6807 11612 13003 14705 16276 17149 17625]
SMsplice 3SS: [ 2591  3130  6371  6709 11495 12896 14614 16189 17066 17473 20074]
top_k =  500
Partition function (log Z): 13.586597618875677

Sorted 5' Splice Sites (High to Low Probability):
Position 6807: 0.9995022268518681
Position 17625: 0.948235247604736
Position 14705: 0.9455378972333437
Position 13003: 0.9229564314108443
Position 11612: 0.9223458780511613
Position 6479: 0.8718282872448877
Position 2717: 0.7169021689550052
Position 16276: 0.7141166600651108
Position 17149: 0.6790116986786824
Position 3248: 0.663311056098581
Position 390: 0.6226574062404142
Position 864: 0.41145121209597024
Position 3283: 0.31807701732978855
Position 20193: 0.2958858652451405
Position 9962: 0.2687878950118845
Position 10414: 0.21684286470207195
Position 16979: 0.2158514199343707
Position 63: 0.18754964193579537
Position 2974: 0.17867918076113137
Position 7544: 0.10459689876558742
Position 1115: 0.09141897545406025
Position 20487: 0.08918202733224087
Position 16945: 0.07893487826646627
Position 18964: 0.0731688869503405
Position 12518: 0.07229299847945704
Position 10007: 0.07079217363175128
Position 11988: 0.06627217839361654
Position 20456: 0.06197941196357505
Position 1154: 0.06153367403786963
Position 20832: 0.04991092025622131
Position 13017: 0.04705022922647457
Position 20146: 0.04242321749066574
Position 6627: 0.041879479035758234
Position 10456: 0.03741071151941901
Position 8131: 0.031984608705861374
Position 394: 0.028477767890642058
Position 18425: 0.025093715216249375
Position 2506: 0.02496848010731214
Position 16926: 0.024569191796726397
Position 9143: 0.024184191625517177
Position 15474: 0.02268803543891467
Position 6205: 0.018810924153759213
Position 22215: 0.017964654355699706
Position 821: 0.017578439697685057
Position 218: 0.014093039454424484
Position 1204: 0.012870029774165277
Position 15228: 0.01203314017774214
Position 1176: 0.011686201943079932
Position 2660: 0.010331852456441672
Position 15500: 0.009567961573853348
Position 17370: 0.00939674943978011
Position 20402: 0.008801211408885925
Position 2942: 0.007851651440208484
Position 661: 0.007223579923199321
Position 15504: 0.0068233175934314565
Position 17603: 0.0059769010890478175
Position 2764: 0.005784383936914221
Position 15453: 0.00474158205126586
Position 10127: 0.00432576846961843
Position 5542: 0.003987171766288575
Position 2497: 0.003708611288262584
Position 18421: 0.003701819836685018
Position 7572: 0.0036626432765095637
Position 12520: 0.0028854050989570055
Position 1004: 0.0028128577188030763
Position 8078: 0.0027497389632149946
Position 11720: 0.002737827119277653
Position 1377: 0.002369781315699426
Position 13343: 0.002361207845824755
Position 11997: 0.0021518671731514103
Position 17629: 0.0018818594135844228
Position 1225: 0.0017285328158526154
Position 13300: 0.0017071461581188985
Position 7110: 0.0015077911020664001
Position 6503: 0.0014548528687563904
Position 12384: 0.0013415362842963355
Position 18026: 0.001322419246282002
Position 1213: 0.0012188770484490043
Position 1350: 0.0010832373247241331
Position 16303: 0.0010115061434580388
Position 16971: 0.0008515734497641947
Position 18901: 0.0008266973160395455
Position 19022: 0.0008107459229665986
Position 6256: 0.0007848078466410859
Position 7531: 0.0007556549018237503
Position 14106: 0.0006915087823952674
Position 15162: 0.0006259079605465937
Position 2984: 0.0005406365063932337
Position 3517: 0.0004607891968308694
Position 7015: 0.0004104657402949461
Position 12982: 0.0003822132922350607
Position 19379: 0.00030512176766490153
Position 4287: 0.00025973569338040526
Position 6799: 0.00025130993470261616
Position 17947: 0.00020869928028649642
Position 243: 0.00018571965697273578
Position 2928: 0.00018116809971609085
Position 7635: 0.00014260329979140943
Position 238: 0.00013106228788669705
Position 832: 0.00010752198511728075
Position 130: 0.0001030621410949052
Position 2728: 9.843663023949397e-05
Position 284: 8.799971142234582e-05
Position 298: 7.417984947631974e-05
Position 6822: 7.298576495891035e-05
Position 626: 6.598638645487968e-05
Position 292: 6.015999606918981e-05
Position 420: 5.510564575241748e-05
Position 7628: 5.380370086057129e-05
Position 7566: 4.7330675113885364e-05
Position 7548: 4.146269739908399e-05
Position 6906: 4.030041766160978e-05
Position 7666: 3.534115076634694e-05
Position 398: 3.053607923772061e-05
Position 268: 2.5005234781533223e-05
Position 702: 2.4929492804485392e-05
Position 936: 2.3553491047918415e-05
Position 1008: 1.8339431289594043e-05
Position 868: 1.748158372819777e-05
Position 512: 1.675899159640755e-05
Position 896: 1.5621009644890384e-05
Position 759: 1.1484837207351475e-05
Position 410: 9.148151092657165e-06
Position 561: 8.461748809383614e-06
Position 7679: 7.020601869178384e-06
Position 818: 5.154960577203504e-06
Position 275: 4.369463774822371e-06
