Gene = Sras
index = 1518
Annotated 5SS: [493]
Annotated 3SS: [551]
SMsplice 5SS: [493]
SMsplice 3SS: [551]
top_k =  1000
Partition function (log Z): -5.285666969295521

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9779118373326708
Position 763: 0.04416940556778856
Position 177: 0.022254302862442357
Position 354: 0.015468326229057408
Position 628: 0.014653219122768284
Position 790: 0.009682635094424881
Position 796: 0.006688898210084611
Position 499: 0.004855760788507375
Position 593: 0.00446124713234513
Position 206: 0.0027271550377648496
Position 376: 0.002532905587693747
Position 758: 0.0019027406414931134
Position 283: 0.0018330374680967034
Position 210: 0.0018244754550478808
Position 100: 0.0011623740254056315
Position 605: 0.0010825511915951202
Position 294: 0.0009692780246328288
Position 473: 0.0009058255846454805
Position 477: 0.0005331315348189928
Position 634: 0.0004512549069720402
Position 716: 0.0003267054984400245
Position 214: 0.0002530869344352652
Position 135: 0.00023559432805299126
Position 6: 0.00011721989745543435
Position 689: 9.911800668460504e-05
Position 1067: 9.779075121412869e-05
Position 429: 8.153079745492402e-05
Position 632: 7.794331813106981e-05
Position 683: 6.524606511369709e-05
Position 55: 3.2285849706726794e-05
Position 900: 3.118108456613384e-05
Position 264: 3.096245708797666e-05
Position 32: 2.946419198697065e-05
Position 852: 1.750558107512481e-05
Position 408: 1.6694485162215608e-05
Position 405: 1.525578601221234e-05
Position 318: 1.4179385067059315e-05
Position 857: 1.2897685807214814e-05
Position 998: 1.2582039324214989e-05
Position 395: 5.347983096740661e-06
Position 846: 4.806866621568096e-06
Position 1141: 2.3665152729949097e-06
Position 875: 1.9865498373441573e-06
Position 1059: 1.970966458763635e-06
Position 947: 1.8182271340121185e-06
Position 287: 1.6869040234705291e-06
Position 138: 1.5887412031673299e-06
Position 117: 1.3341811728896886e-06
Position 285: 1.2940916161094368e-06
Position 165: 1.2685200589025866e-06
Position 1106: 1.0791608351389614e-06
Position 1213: 1.0064905783636951e-06
Position 311: 9.464430333022706e-07
Position 1090: 8.682940730171054e-07
Position 456: 8.649246515474864e-07
Position 1071: 7.787974459978242e-07
Position 1094: 6.183091247425074e-07
Position 30: 1.685475068304615e-07
Position 201: 1.6613758388281974e-07
Position 184: 1.4500905197704435e-07
Position 24: 1.1256018556053319e-07
Position 1120: 1.1164634029226533e-07
Position 27: 8.614679363455959e-08
Position 192: 2.4096945718145462e-08
Position 922: 4.191605354761816e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 551: 0.9841224486879105
Position 851: 0.09595478802878044
Position 421: 0.028503104758709912
Position 467: 0.0020344879899211986
Position 667: 0.0014178137599274525
Position 158: 0.001065730014309572
Position 269: 0.0007625775231474051
Position 341: 0.000711722009318539
Position 274: 0.0005500150201429283
Position 368: 0.00045236045924883754
Position 401: 0.0002779095178770905
Position 737: 0.0002720784673946954
Position 971: 0.0002499179853154494
Position 796: 0.00024306656897084912
Position 306: 0.00021647935248639955
Position 719: 0.00011026993677290694
Position 55: 9.796625138599511e-05
Position 582: 9.615264559533157e-05
Position 916: 8.82321608308974e-05
Position 1186: 8.750095181728956e-05
Position 521: 7.597390420092466e-05
Position 271: 4.5342045847264e-05
Position 217: 3.880797395856116e-05
Position 232: 3.6388014388795315e-05
Position 283: 3.438002624862324e-05
Position 611: 2.4188657005921536e-05
Position 1237: 2.0092963780106954e-05
Position 755: 1.8521793575461926e-05
Position 349: 1.5768385528840442e-05
Position 389: 9.689473785393196e-06
Position 1202: 9.311772329559645e-06
Position 1059: 8.449327144771127e-06
Position 499: 6.178972562205789e-06
Position 505: 4.019233184190223e-06
Position 931: 1.3746508823747935e-06
Position 1267: 1.3440500541400068e-06
Position 928: 1.012497267733443e-06
Position 138: 6.005083844064544e-07
Position 1218: 5.754720335295685e-07
Position 1163: 5.039984879135415e-07
Position 567: 4.993362273161154e-07
Position 59: 4.832067418321585e-07
Position 1213: 4.440292206978205e-07
Position 1241: 4.3509255714226106e-07
Position 473: 3.7255911505322783e-07
Position 100: 2.124530698371266e-07
Position 1209: 1.6134602414009425e-07
Position 129: 1.50828949055201e-07
Position 1269: 6.603629832690345e-08
Position 111: 4.09012677573502e-08
Position 117: 2.2891051861353402e-08
Position 64: 1.7396497421239797e-08
Position 104: 2.018881991499246e-10
Position 181: 4.1726756821986825e-12
